split,task_index,task_id,selected_adam_start,adam_multistart_tmax_scipy256,sens_r25_tmax_scipy256,relative_gap_to_adam_multistart
test_id,0,a746f619e99c7c064560bca9645916a6952abbc2fb70f63162e002135684a2a4,3,0.137002405205824,0.12868301733181464,-0.0607243928419418
test_id,1,dac92434b1112767532908874080455af868f9b7cabff3cd0627f8a6f747629b,0,0.18739669694181194,0.17470825282218125,-0.06770900622421612
test_id,2,e36c90a2cc957c80b807b0b307d221d93d1637052e1a449599ab418b50b192f7,1,0.19705770500008457,0.18471735251984275,-0.06262303968391655
test_id,3,f1729ffe682a09f712fea620f6a866e1078ebb8e1f881b22fb78006ea555aaaa,0,0.16355796796908953,0.15684187896350707,-0.0410624385285327
test_id,4,6961218c30291666205b2e2865e35c5992c3217207e94bc3a7d015110b340b88,0,0.14696736048844683,0.14471589625805795,-0.015319484699909758
test_id,5,e0b1103b307c209eea192ea6b3e715434ca5e77b5fb3f5345f0e69cd8d0094cb,2,0.18249579473184077,0.1724948135294908,-0.05480115975847772
test_id,6,924fe3323e600dd7260c44f8efd0f08263d30b375986c1c9139ae64c7fe91a75,3,0.1710022986788223,0.15952076404851856,-0.06714257480168988
test_id,7,015ca74b31339c6c46529f8d28b0a29315a8ae5fe3806584d1fb811908f1f1e9,0,0.15669048016359782,0.15551622996779293,-0.007494074908564155
test_ood,0,d4ac626e8bf36b34e3bcdd3bc9c510f6adb0d1dd65f69c0cde211f43298ef2fd,2,0.16034344953536606,0.16717108614116177,0.04258132543350194
test_ood,1,e7ca5ff6903af17f47bcb20fada43e20fcf7be04e35cd256a2414f98483585c0,3,0.18852233503100163,0.17203951383701782,-0.08743166262646432
test_ood,2,7aa093b6df76e52e4a8221a3a6bcbdbda94b4c3a8ba0173f670c1ceace17c226,2,0.19167778546468597,0.2056073787432332,0.07267192306493737
test_ood,3,4a5838a22a425357a668a3fb0b761132402480a84b0a8294ad7d8ee0586847bf,1,0.2017171432539279,0.19538317301905175,-0.03140025747292455
test_ood,4,f8811ae5fcfda78deb21ee13558799e2e161e88d2734f3d911932b7edb623d9d,3,0.15605490429804808,0.15924815163976255,0.020462332510971352
test_ood,5,5bf285616633c2d50fa93240af7f292a1f71602fe3831998893c9f1ff0395d6a,1,0.19725473534803808,0.19322957343464217,-0.02040590765181825
test_ood,6,e8d74da2d5b6ebc990734a22dfd51a604e81c5c97d4228a0e6eab0d328766d0d,2,0.13822678227740812,0.14587902093480196,0.05536002886934399
test_ood,7,a32e7e0091a3e543def22020cda85ac574b1c2b25974f90eff1c648be3390c8b,1,0.1683296795746519,0.1724653541158936,0.024568896891457467
