split,task_index,family,task_id,resolution,design_hash_64,transferred_design_hash,material_fraction,scenario_peaks,worst_peak,maximum_normalized_residual,wall_seconds
test_id,2,FIELD_UNET_BEST4_R25,e36c90a2cc957c80b807b0b307d221d93d1637052e1a449599ab418b50b192f7,256,2687100221ca066700b5389d5a3b16aecfbee6dd2c23b6e05490d96b7beaa4d1,260516c1ef18597c0970da82085592e242cb2febd8d7d5287915765da1ef683e,0.25,"(0.17669404891942264, 0.17714655580368474, 0.17604364499477254)",0.17714655580368474,8.128551269688113e-12,2.0852032881230116
test_id,2,SENS_UNET_BEST4,e36c90a2cc957c80b807b0b307d221d93d1637052e1a449599ab418b50b192f7,256,0c8908beefb48fc4d6bae38b7a61df291eb14e9337a21ff88d0eee5d6d48be1f,b73c6abd3b356d29db7a2ab64e1322565aff150fb09045f3818fecb1426582b1,0.25,"(0.1843309897264582, 0.17882815080637712, 0.18445630192612303)",0.18445630192612303,8.307427403136431e-12,2.098037227988243
test_id,2,SENS_UNET_BEST4_R50,e36c90a2cc957c80b807b0b307d221d93d1637052e1a449599ab418b50b192f7,256,96094e0dfb4d93c276647d5479bdfbd64dc64cfee2128f59c720ff2a11c91946,423607f24997406d97f6986c43953f359aa0c1b5242c02786458e81b18c16934,0.25,"(0.18432830562940045, 0.18443883515369022, 0.18355899633498107)",0.18443883515369022,8.23208980924366e-12,2.2949589416384697
test_id,2,ADAM_600,e36c90a2cc957c80b807b0b307d221d93d1637052e1a449599ab418b50b192f7,256,5ba7933fa259a305a2ac2760493a1deeeaaa854766f1765a067acfc32a623e42,d5bc3c9f4ed10bb9a9f4f374cd0328b8fd0b6ba04da37ff074d54877d8a95b6f,0.25,"(0.199687296607321, 0.19867436237424496, 0.19863948817250632)",0.199687296607321,9.405414229968707e-12,2.0069356728345156
test_id,2,MMA_600,e36c90a2cc957c80b807b0b307d221d93d1637052e1a449599ab418b50b192f7,256,ff64fc5ddaa9fda68d6635233df671ecd8a251fbf11f40bb0e07949f999f60bc,5eeefde6a71d12b4989d568e872e4a8a5658078f0749c92bfb79124488b8124b,0.25,"(0.21595106659203678, 0.1867875931141281, 0.20478647327829497)",0.21595106659203678,9.859917717318895e-12,2.494915882125497
test_id,3,SENS_UNET_BEST4_R25,f1729ffe682a09f712fea620f6a866e1078ebb8e1f881b22fb78006ea555aaaa,256,7b5e0b92f30740ad09a76645cb2cba4b51e329d4ff1c8cf740abd287bc148f02,071b82e9446ae00c21ea5715effea5beada855692e2898b125846d1e184da74b,0.25,"(0.15684187896350707, 0.1559501032418417, 0.1548977013737423)",0.15684187896350707,7.728906241816396e-12,1.8076864518225193
test_id,3,FIELD_UNET_BEST4_R25,f1729ffe682a09f712fea620f6a866e1078ebb8e1f881b22fb78006ea555aaaa,256,df653d5e00f3bb4b7654236bc9b9bc9be1bef52ab6eaa92be52cc7b131a994a2,a372d33fd945443b002cad7d98b291ea83783d047107402c47e6cdf53f0b0b1a,0.25,"(0.15350744858330437, 0.154817789865168, 0.15486651100582058)",0.15486651100582058,7.549833061928941e-12,1.9924392383545637
test_id,3,SENS_UNET_BEST4,f1729ffe682a09f712fea620f6a866e1078ebb8e1f881b22fb78006ea555aaaa,256,48c27bf8bc6d9dca041029983c7812c5fd0d90edeca0fb737cdca23c9283e408,d794eade51e72b73dd46771c4ead4054d7be474fee510d362797817354a6b7f8,0.25,"(0.15510643422205647, 0.15605584552341045, 0.1554152994145658)",0.15605584552341045,7.669483968197693e-12,2.004343194887042
test_id,3,SENS_UNET_BEST4_R50,f1729ffe682a09f712fea620f6a866e1078ebb8e1f881b22fb78006ea555aaaa,256,3ededa24690b1f2ce823d5753326544f13f19fc23bfd114557fc9a3613d54cc0,d108541fe56a0505a357dc15df556364b6ff6048c4105ed5d254f323c15eab8f,0.25,"(0.15491762175942267, 0.15668525339054398, 0.1559959513508356)",0.15668525339054398,7.569426882152494e-12,2.0177319291979074
test_id,3,ADAM_600,f1729ffe682a09f712fea620f6a866e1078ebb8e1f881b22fb78006ea555aaaa,256,72fb4451cc4f7bfe857322bc967f2a2a53aa442ee262507427aba22697fbd190,f73927b9790dd0f5ca924cc553c768157e8354bf8820eff8520dfd8bad409496,0.25,"(0.16186042235617543, 0.16271497785171884, 0.16355796796908953)",0.16355796796908953,7.794603267121612e-12,1.9891330879181623
