update,learning_rate,mean_loss,mean_candidate_thermal_smooth,best_candidate_thermal_smooth,worst_candidate_exact_tmax,mean_total_variation,mean_binarization_penalty,softmin,diversity_penalty,maximum_projection_absolute_error,gradient_norm_before_clipping,gradient_norm_after_clipping,wall_seconds
0,0.0003,0.706951743242956,0.7302051095092308,0.6946931710535931,0.8901840791936582,0.019344650208950043,0.17058205604553223,0.7061187373330025,0.00081366125959903,2.9802322387695312e-08,4.843101233021236,0.9999997730129582,1.6733855092898011
1,0.0003,0.6633261920336063,0.6891563239032161,0.6518819949684376,0.8496502117890813,0.017757192254066467,0.16539263725280762,0.6626518324022309,0.0006566024385392666,2.9802322387695312e-08,1.7737541052361858,0.999999494843715,1.6804901640862226
2,0.0003,0.5975146041930823,0.6637504344561183,0.5834901956176699,0.8526863603832744,0.01792650669813156,0.1658911108970642,0.5969121124656052,0.0005845652194693685,5.960464477539063e-08,1.2714781950736214,0.9999993828072102,1.6645426219329238
3,0.0003,0.5216583764421368,0.6160680951961419,0.507382077299271,0.8304704215242652,0.017565157264471054,0.16864624619483948,0.5209815665083435,0.0006592447753064334,2.9802322387695312e-08,1.6990540123806956,0.999999458101894,1.654474682174623
4,0.0003,0.6354862567273263,0.6948364556235003,0.6219107659052185,0.8836144641794973,0.014845406636595726,0.17111548781394958,0.634895030563293,0.0005763807566836476,2.9802322387695312e-08,3.5632898815753213,0.9999997826419312,1.6391254104673862
5,0.0003,0.5065747255197298,0.6392225415688378,0.49216304258760646,0.853343406433994,0.014545535668730736,0.1697758138179779,0.5060209662736984,0.0005392137099988759,2.9802322387695312e-08,1.8974093822546418,0.9999994539375262,1.6350984778255224
6,0.0003,0.480816439421999,0.6351518730595509,0.46645251410364574,0.9149812194138531,0.01690933108329773,0.16376455128192902,0.48031482453583757,0.0004847055533900857,2.9802322387695312e-08,1.5117968996035114,0.9999993685623039,1.631587146781385
7,0.0003,0.4776276439444799,0.6345591832388635,0.46329961505376177,0.852735785799589,0.017576422542333603,0.16019830107688904,0.4771564044624127,0.00045366305857896805,2.9802322387695312e-08,1.675441449735271,0.9999993762402558,1.6315989485010505
8,0.0003,0.3846824937368607,0.5944934140342013,0.3703617027919931,0.8980566556242858,0.017376113682985306,0.1598035842180252,0.3842246460203993,0.0004404716019053012,2.9802322387695312e-08,1.4477884435433441,0.9999993778085038,1.6561682038009167
9,0.0003,0.43975805603098683,0.6077966091031457,0.42541542844701863,0.809265565110901,0.017877524718642235,0.16133174300193787,0.4392782248416913,0.0004619536630343646,5.960464477539063e-08,1.1815444234202448,0.9999992239942318,1.6547150705009699
10,0.0003,0.366836967408186,0.5904074047308965,0.3525443710718608,0.9000510863937854,0.0175367072224617,0.15661005675792694,0.3664073145822713,0.0004121161182411015,4.470348358154297e-08,1.1695315599010119,0.9999991388668208,1.7168628741055727
11,0.0003,0.4072059211890758,0.5892597249823768,0.39289341532389355,0.8230697888872475,0.019969500601291656,0.15344884991645813,0.40675625880487704,0.00042969288188032806,2.9802322387695312e-08,3.19049042811686,0.9999997293679657,1.6901625115424395
