iteration,total_objective,exact_peak,gradient_norm_before_clipping,maximum_relative_residual,wall_seconds
0,0.6218224104111112,0.7236260090866611,0.014839379116892815,9.874969952429789e-07,0.752074284479022
1,0.6117156959222361,0.7126991520215088,0.015895511955022812,9.7458989191484e-07,0.7766799479722977
2,0.6007187423633462,0.7009685571398023,0.01681000180542469,9.610707862295863e-07,0.7609234265983105
3,0.5889613598603618,0.6882202392285925,0.01750185899436474,9.857909753202847e-07,0.7616466749459505
4,0.5766326695149636,0.6745324312074469,0.017869994044303894,9.969191934129165e-07,0.7986989207565784
5,0.5640067216438246,0.6600093465744484,0.017791643738746643,9.948484804212361e-07,0.7796783931553364
6,0.5514641089889202,0.6447890333501152,0.017145372927188873,9.709999839294238e-07,0.752377288416028
7,0.5394899635791129,0.6290563858827506,0.015894828364253044,9.515286596916441e-07,0.7835616804659367
8,0.5285893687794623,0.6130706844448567,0.014229344204068184,9.99947776699286e-07,0.7930296845734119
9,0.5190941520199057,0.6109815244744504,0.012594961561262608,9.94621603560919e-07,0.7689994182437658
10,0.5109953551786767,0.6083655054620932,0.011413264088332653,9.906308649073434e-07,0.7794685680419207
11,0.5039870968225943,0.6051215167187253,0.010774935595691204,9.976881565849766e-07,0.7866231109946966
12,0.4976744668015539,0.6013872703981602,0.01051571499556303,9.9797663989744e-07,0.7927809804677963
13,0.4917394644974552,0.5971869306375214,0.010454859584569931,9.702210765049088e-07,0.7785962112247944
14,0.48597884774819616,0.5926140952574908,0.010485295206308365,9.948877428304163e-07,0.8227761089801788
15,0.4802781727887642,0.5877452691672459,0.010556945577263832,9.795821450778337e-07,0.7944426108151674
16,0.4745767978442161,0.5826385663486202,0.010648689232766628,9.776801519237115e-07,0.7766941711306572
17,0.46884406277645785,0.5773369570566601,0.010752509348094463,9.80422424242476e-07,0.7881478201597929
18,0.4630644290645505,0.5718710232951525,0.0108663160353899,9.934854062668684e-07,0.7760190889239311
19,0.4572299149737387,0.5662620039953071,0.010990890674293041,9.962614364682195e-07,0.7975776717066765
20,0.45133545233103245,0.5605234068838341,0.011128327809274197,9.758792330936621e-07,0.7662051059305668
21,0.4453768974107493,0.5546626699869619,0.011281275190412998,9.867943927148035e-07,0.7618386428803205
22,0.4393499097281648,0.5486821662751752,0.011452301405370235,9.930051323772721e-07,0.7505863830447197
23,0.4332495647657473,0.5425800111384744,0.011643300764262676,9.661172443535526e-07,0.8417804595082998
24,0.42707049133481667,0.5363507693888141,0.011854873038828373,9.911442015054132e-07,0.794608311727643
25,0.42080735885108045,0.5299860907338677,0.012085472233593464,9.987737223750986e-07,0.7539290934801102
26,0.41445578429579294,0.5234754089499395,0.012330485507845879,9.97009290611447e-07,0.7615470644086599
27,0.4080135047397998,0.5168065618332696,0.012581028044223785,9.647246974879799e-07,0.7517346646636724
28,0.4014826808627333,0.509967188135142,0.012822654098272324,9.68257641333506e-07,0.7413325551897287
29,0.39487196348809006,0.5029455481868931,0.013034100644290447,9.823457911287267e-07,0.7326217815279961
30,0.38819967829806257,0.49573217895717936,0.013186560943722725,9.946647155383845e-07,0.7614232040941715
31,0.3814972376065387,0.48832183938952195,0.013244464993476868,9.914799936684383e-07,0.7560211401432753
32,0.37481210627054795,0.4807157942323637,0.01316955965012312,9.96204280386877e-07,0.8043098095804453
33,0.3682088991106251,0.4729246165513933,0.012930899858474731,9.768306875066887e-07,0.7403408586978912
34,0.3617665112999457,0.46513485238313707,0.01252259872853756,9.749224789098455e-07,0.7706789467483759
35,0.355567242355043,0.4572505410522805,0.011986642144620419,9.728657574684552e-07,0.7702766880393028
36,0.3496784491652421,0.44930539614909004,0.011426519602537155,9.97803245057649e-07,0.8088939376175404
37,0.34412995427386456,0.4413731770602706,0.010986185632646084,9.983059561787128e-07,0.768936475738883
38,0.3388986518584425,0.43354066022665755,0.010782870464026928,9.720193256797264e-07,0.735283799469471
39,0.33391195055999434,0.4258990038917798,0.010837261565029621,9.997256683413419e-07,0.7853140383958817
40,0.3290696979737189,0.42196670439236866,0.01107086706906557,9.74158987052054e-07,0.7947408147156239
41,0.3242726901884597,0.41835347377276305,0.011367072351276875,9.923917413238724e-07,0.771377706900239
42,0.319444865337955,0.41425134630016247,0.011627989821135998,9.964557025406678e-07,0.7765766959637403
43,0.31454244258581215,0.4096923108326516,0.011793781071901321,9.710988593263384e-07,0.7811353635042906
44,0.30955294864004856,0.40472558999715713,0.011837651953101158,9.925222206645445e-07,0.779380714520812
45,0.30448961285077714,0.39941219353374197,0.011755619198083878,9.802671644503696e-07,0.7841490395367146
46,0.2993833281181949,0.39382004560807077,0.011558618396520615,9.90659745945885e-07,0.776308685541153
47,0.29427482562567464,0.3880203286851682,0.011267624795436859,9.957226614314745e-07,0.7636516224592924
48,0.28920809555287175,0.3821405232145693,0.010910334065556526,9.991570049404274e-07,0.772029347717762
49,0.28422429315239955,0.37625836669609225,0.010517734102904797,9.980451021231943e-07,0.7923232205212116
50,0.27935774882625025,0.3703798724837652,0.010120054706931114,9.382700102928551e-07,0.7711740247905254
51,0.2746333122156471,0.36456247000143865,0.009742433205246925,9.981488583520009e-07,0.7653097603470087
52,0.27006589646134765,0.3588560788437141,0.009401381947100163,9.962883646920755e-07,0.7725959066301584
53,0.26566107840716374,0.3540373529126376,0.00910323765128851,9.930795994334709e-07,0.8190494570881128
54,0.26141766593983407,0.35034796924042566,0.008845267817378044,9.962626195420578e-07,0.8397893887013197
55,0.25732978767317954,0.3466753135324808,0.008618618361651897,9.846557964456798e-07,0.778095243498683
56,0.25338964206685255,0.3430087046560186,0.008411988615989685,9.981540603225157e-07,0.7902624234557152
57,0.2495892989822471,0.3393440085482702,0.008214708417654037,9.988138924253546e-07,0.8074176162481308
58,0.24592191157435103,0.33568263677056137,0.00801853183656931,9.950008287821363e-07,0.8196296878159046
59,0.24238224682616522,0.3320303513623155,0.007818365469574928,9.985996498367404e-07,0.7811737153679132
60,0.23896665131687525,0.3283959945619688,0.007612056098878384,9.728408485040636e-07,0.7540810666978359
61,0.23567275860198236,0.32479037130035976,0.007399753667414188,9.77086255660242e-07,0.7914846651256084
62,0.2324989619574903,0.32122515957416614,0.007183144334703684,9.809818694150519e-07,0.8028840031474829
63,0.22944414599355753,0.317712263850938,0.00696475338190794,9.840146886554705e-07,0.830912109464407
64,0.2265069798068627,0.31426930132003394,0.0067473482340574265,9.855896479932575e-07,0.80585284717381
65,0.223685970398356,0.3109780631054075,0.006533523555845022,9.849480130672558e-07,0.76564752869308
66,0.2209791085803163,0.30776868142794717,0.006325477734208107,9.909514969808984e-07,0.7776476945728064
