seed,case_id,tree_candidate_id,tree_peak,waveforge_candidate_id,waveforge_peak,relative_improvement,passed_two_percent
20260829,shift_A_2_up,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408512,robust_20260829,0.16540868524461055,-0.0018829801861122524,False
20260829,shift_A_2_down,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408512,robust_20260829,0.15737556496888783,0.04677375431445293,True
20260829,shift_B_1_left,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.16701959893274185,robust_20260829,0.15895138075747742,0.04830701442717193,True
20260829,shift_B_1_right,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408329,robust_20260829,0.1574716324313547,0.04619187219943355,True
20260829,shift_B_1_up,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.16703114361508625,robust_20260829,0.1594320960732259,0.04549479442810936,True
20260829,shift_B_1_down,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408329,robust_20260829,0.1574716324313547,0.04619187219943355,True
20260829,shift_B_2_left,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1691219004097215,robust_20260829,0.16074664543509165,0.04952200131585335,True
20260829,shift_B_2_right,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408329,robust_20260829,0.1574716324313547,0.04619187219943355,True
20260829,shift_B_2_up,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.16912639905960272,robust_20260829,0.16175970668599846,0.04355731816301565,True
20260829,shift_B_2_down,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408329,robust_20260829,0.1574716324313547,0.04619187219943355,True
20260829,shift_C_1_left,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408512,robust_20260829,0.1574716324313547,0.04619187219953922,True
20260829,shift_C_1_right,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.16701959893272308,robust_20260829,0.1578731914941484,0.0547624799545766,True
20260829,shift_C_1_up,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1670311436150679,robust_20260829,0.1577974155405313,0.05528147550624577,True
20260829,shift_C_1_down,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408512,robust_20260829,0.1574716324313547,0.04619187219953922,True
20260829,shift_C_2_left,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408512,robust_20260829,0.1574716324313547,0.04619187219953922,True
20260829,shift_C_2_right,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.16912190040970249,robust_20260829,0.16053372350980116,0.050780986253679904,True
20260829,shift_C_2_up,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1691263990595843,robust_20260829,0.1602541103836644,0.052459513862138804,True
20260829,shift_C_2_down,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408512,robust_20260829,0.1574716324313547,0.04619187219953922,True
20260829,intensity_minus_5pct,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1568429188738086,robust_20260829,0.1495980508097869,0.04619187219953957,True
20260829,intensity_plus_5pct,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.17335269980789367,robust_20260829,0.16534521405292224,0.046191872199539886,True
20260829,k_high_19,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.17199981016281482,robust_20260829,0.1641846172370824,0.04543721832212827,True
20260829,k_high_21,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.15876427527534892,robust_20260829,0.15257288230394536,0.038997393844841154,True
20260830,shift_A_1_left,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408512,robust_20260830,0.15663546358885735,0.05125655988882916,True
20260830,shift_A_1_right,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408512,robust_20260830,0.15663546358885735,0.05125655988882916,True
20260830,shift_A_1_up,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408512,robust_20260830,0.16000309766223555,0.030858747908019766,True
20260830,shift_A_1_down,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408512,robust_20260830,0.15663546358885735,0.05125655988882916,True
20260830,shift_A_2_left,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408512,robust_20260830,0.15663546358885735,0.05125655988882916,True
20260830,shift_A_2_right,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408512,robust_20260830,0.15663546358885735,0.05125655988882916,True
20260830,shift_A_2_up,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408512,robust_20260830,0.16392832655976,0.007083575401516965,False
20260830,shift_A_2_down,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408512,robust_20260830,0.15663546358885735,0.05125655988882916,True
20260830,shift_B_1_left,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.16701959893274185,robust_20260830,0.15807320962468135,0.05356490714400033,True
20260830,shift_B_1_right,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408329,robust_20260830,0.15663546358885735,0.05125655988872405,True
20260830,shift_B_1_up,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.16703114361508625,robust_20260830,0.15807447899297342,0.053622722255634914,True
20260830,shift_B_1_down,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.1650978093408329,robust_20260830,0.15663546358885735,0.05125655988872405,True
