rank,candidate_id,x_sink,x_junction,y_junction,trunk_to_branch_width_ratio,resolution,design_hash_64,transferred_design_hash,material_fraction,scenario_A_peak,scenario_B_peak,scenario_C_peak,worst_peak,average_peak,maximum_residual,wall_seconds
38799,tree_xs_0p700_xj_0p275_yj_0p425_r_1p25,0.7,0.275,0.425,1.25,64,09c1fe56bbfb10f726319813896ca74fd4c0cb90ad57c0ce5a1bd1e930274e5e,09c1fe56bbfb10f726319813896ca74fd4c0cb90ad57c0ce5a1bd1e930274e5e,0.25,0.1934740056554472,0.2001991425766714,0.2384827215168028,0.2384827215168028,0.2107186232496405,6.56970562507285e-13,0.02392560000589583
38800,tree_xs_0p375_xj_0p725_yj_0p650_r_2p00,0.375,0.725,0.65,2.0,64,2ea3a1b682a50f6c46e60ec46af742f6510e6e2d784195f18770fa8b8ba70a7d,2ea3a1b682a50f6c46e60ec46af742f6510e6e2d784195f18770fa8b8ba70a7d,0.25,0.1759230343464898,0.2384828707107775,0.16662299253773646,0.2384828707107775,0.1936762991983346,5.233567291447348e-13,0.018036499997833744
38801,tree_xs_0p625_xj_0p275_yj_0p650_r_2p00,0.625,0.275,0.65,2.0,64,f79d57145bdd15bea1bd1e6c68844482b486672ee5fc3c4dca8b57e41df60a37,f79d57145bdd15bea1bd1e6c68844482b486672ee5fc3c4dca8b57e41df60a37,0.25,0.17592303434649664,0.16662299253774399,0.23848287071078472,0.23848287071078472,0.19367629919834176,5.493167351882115e-13,0.023168900006567128
38802,tree_xs_0p350_xj_0p700_yj_0p350_r_0p75,0.35,0.7,0.35,0.75,64,f86186e88ecbefb4e055f5b1892b4de8e6a14ed4e99baa9b08ec03e43096c747,f86186e88ecbefb4e055f5b1892b4de8e6a14ed4e99baa9b08ec03e43096c747,0.25,0.20338475354343918,0.23848290690934054,0.21427718060941503,0.23848290690934054,0.21871494702073158,7.610417393214433e-13,0.017131499989773147
38803,tree_xs_0p600_xj_0p275_yj_0p125_r_1p00,0.6,0.275,0.125,1.0,64,18d7918e7f7cac39647859428aa32ad3e25170ac82a3a2aa5a57a3e6719708d3,18d7918e7f7cac39647859428aa32ad3e25170ac82a3a2aa5a57a3e6719708d3,0.25,0.19017395627083833,0.20964999234292184,0.2384858306255081,0.2384858306255081,0.21276992641308942,5.900686549421479e-13,0.0227796999970451
38804,tree_xs_0p400_xj_0p725_yj_0p125_r_1p00,0.4,0.725,0.125,1.0,64,46acbdacfceb47cb7fdc0fab054d232a0de54d6059193d310581606f5c4e321d,46acbdacfceb47cb7fdc0fab054d232a0de54d6059193d310581606f5c4e321d,0.25,0.19017395627085087,0.23848583062551681,0.20964999234293194,0.23848583062551681,0.21276992641309989,5.78785457247698e-13,0.0194958000065526
38805,tree_xs_0p575_xj_0p275_yj_0p250_r_2p00,0.575,0.275,0.25,2.0,64,3dfda1f5f0ffe1019132f6b1d4ffbcb0c5ff1911a512a8267d14f063426d1af4,3dfda1f5f0ffe1019132f6b1d4ffbcb0c5ff1911a512a8267d14f063426d1af4,0.25,0.1822709631750502,0.20026325441534354,0.23850136558401336,0.23850136558401336,0.2070118610581357,4.670647844558114e-13,0.023069700007908978
38806,tree_xs_0p425_xj_0p725_yj_0p250_r_2p00,0.425,0.725,0.25,2.0,64,cd37c2e2da86b18da0d64e8621e081e7ce5edc4c2f7d0ea4f40365f4b48143fa,cd37c2e2da86b18da0d64e8621e081e7ce5edc4c2f7d0ea4f40365f4b48143fa,0.25,0.18227096317505398,0.2385013655840188,0.20026325441534532,0.2385013655840188,0.20701186105813937,5.387436453370938e-13,0.019207199991797097
38807,tree_xs_0p625_xj_0p325_yj_0p200_r_0p75,0.625,0.325,0.2,0.75,64,1e3d8fa99c5e9b256d4379db79aea0d19d40f0fc282cf9d89a3312b0eba874ab,1e3d8fa99c5e9b256d4379db79aea0d19d40f0fc282cf9d89a3312b0eba874ab,0.25,0.19913760150008633,0.21955613255883386,0.2385189031726311,0.2385189031726311,0.21907087907718378,7.101462692403412e-13,0.022105800002464093
38808,tree_xs_0p375_xj_0p675_yj_0p200_r_0p75,0.375,0.675,0.2,0.75,64,478ecb662a8a7e3dddf052ed9ad9716d535ac3807f97f34c0ba37119e6687775,478ecb662a8a7e3dddf052ed9ad9716d535ac3807f97f34c0ba37119e6687775,0.25,0.19913760150009457,0.2385189031726464,0.21955613255883794,0.2385189031726464,0.219070879077193,7.33535555343787e-13,0.017802399990614504
