update,stage_id,learning_rate,task_exposures,mean_total_objective,mean_thermal_smooth,mean_exact_tmax,maximum_projection_absolute_error,maximum_material_fraction_error,gradient_norm_before_clipping,gradient_norm_after_clipping,all_gradients_finite,wall_seconds
2378,5,3e-05,1,0.20091074374766457,0.20061822950543273,0.21527633776187902,0.0,0.0,1.3635057289003651,0.9999993123492779,True,1.6345544619834982
2379,5,3e-05,1,0.16529686048736378,0.16499843238776132,0.1757648571327178,0.0,0.0,0.8814103682274375,0.8814103682274375,True,1.6827271200018004
2380,5,3e-05,1,0.21815514855589602,0.21792141214515898,0.2325456377932897,4.470348358154297e-08,4.470348358154297e-08,0.4703818654937117,0.4703818654937117,True,1.4347724190156441
2381,5,3e-05,1,0.19774613675244362,0.19749319889910727,0.21042915164335652,2.9802322387695312e-08,2.9802322387695312e-08,0.3212953666744274,0.3212953666744274,True,1.834666277980432
2382,5,3e-05,1,0.2954849608844704,0.2953349426245875,0.310563079423789,1.4901161193847656e-08,1.4901161193847656e-08,0.33468576622613794,0.33468576622613794,True,1.1871507510077208
2383,5,3e-05,1,0.20957109520798195,0.20934623167505134,0.2246057390538535,0.0,0.0,0.8767312739667064,0.8767312739667064,True,1.7810261209961027
2384,5,3e-05,1,0.1933647372049203,0.19314609279641118,0.20834219112417476,2.9802322387695312e-08,2.9802322387695312e-08,0.14160510072127583,0.14160510072127583,True,1.5079990360245574
2385,5,3e-05,1,0.16216092426576645,0.16191507832952767,0.1745646264958716,0.0,0.0,0.34799876393730206,0.34799876393730206,True,1.6877692279813346
2386,5,3e-05,1,0.16296297218352399,0.16276563705392022,0.17710293280518047,1.4901161193847656e-08,1.4901161193847656e-08,0.25156645780610404,0.25156645780610404,True,1.736204857006669
2387,5,3e-05,1,0.24214151475103976,0.24190611770088258,0.2568545639102075,0.0,0.0,1.2065172307256287,0.9999991186601216,True,1.1784216119849589
2388,5,3e-05,1,0.1471324105834202,0.1470126337943212,0.1610125681109729,0.0,0.0,0.08273839464359578,0.08273839464359578,True,1.435127812990686
2389,5,3e-05,1,0.21201995179959382,0.211778693986766,0.22715572022763061,1.4901161193847656e-08,1.4901161193847656e-08,0.8441935626620239,0.8441935626620239,True,1.358449474995723
2390,5,3e-05,1,0.1976561545432097,0.1974301767088956,0.21062764486415486,0.0,0.0,0.27280400186499526,0.27280400186499526,True,1.6636750439938623
2391,5,3e-05,1,0.14117164498956708,0.14097045140171258,0.15538626488640392,0.0,0.0,0.11615097103641786,0.11615097103641786,True,1.6969497880199924
2392,5,3e-05,1,0.18615488215774814,0.1859216807694785,0.20034331490111112,0.0,0.0,0.2849355721889317,0.2849355721889317,True,1.7185445039940532
2393,5,3e-05,1,0.17770898934926513,0.1774904064248097,0.19015127672740825,2.9802322387695312e-08,2.9802322387695312e-08,0.22200706872075648,0.22200706872075648,True,1.7147341679956298
2394,5,3e-05,1,0.193219804621213,0.1929854943257802,0.2057245733232992,1.4901161193847656e-08,1.4901161193847656e-08,0.18096975597000411,0.18096975597000411,True,1.6111447340226732
2395,5,3e-05,1,0.21285288845961126,0.21261206776862177,0.22749454100112043,0.0,0.0,0.4595178410543849,0.4595178410543849,True,1.4653806719870772
2396,5,3e-05,1,0.221420034270177,0.22119900673385928,0.23484057092362798,0.0,0.0,0.46126404564021484,0.46126404564021484,True,1.5064082260068972
2397,5,3e-05,1,0.25938446322998304,0.2591015305610587,0.27410922236316215,2.9802322387695312e-08,2.9802322387695312e-08,4.685721314446616,0.999999777759202,True,1.6794237099820748
2398,5,3e-05,1,0.24329905627452988,0.24305383476772566,0.2575953640146731,0.0,0.0,2.562634022540122,0.9999996426038799,True,1.39696320600342
2399,5,3e-05,1,0.20718959495235154,0.20694400219429204,0.22196293343291765,0.0,0.0,0.265760982434816,0.265760982434816,True,1.638932575006038
2400,5,3e-05,1,0.18564918286662535,0.18541510578554107,0.19820166215695326,1.4901161193847656e-08,1.4901161193847656e-08,0.3990900580549002,0.3990900580549002,True,1.5672404259967152
2401,5,3e-05,1,0.15489615171506438,0.15468666202492448,0.16994237893912773,1.4901161193847656e-08,1.4901161193847656e-08,0.31256109156546075,0.31256109156546075,True,1.7495090829906985
2402,5,3e-05,1,0.18623594404613766,0.18598009552663358,0.19803632651354933,2.9802322387695312e-08,2.9802322387695312e-08,0.3243617198662084,0.3243617198662084,True,1.5754360930004623
2403,5,3e-05,1,0.19095567661253157,0.1906972699175531,0.2029702624330636,2.9802322387695312e-08,2.9802322387695312e-08,0.24674361228166572,0.24674361228166572,True,1.5775824940064922
2404,5,3e-05,1,0.15990473240104072,0.1596775721931135,0.17413685012374855,1.4901161193847656e-08,1.4901161193847656e-08,0.10382417907348869,0.10382417907348869,True,1.684183067001868
2405,5,3e-05,1,0.1850333450779852,0.1848046474800047,0.1985132788225149,2.9802322387695312e-08,2.9802322387695312e-08,0.18720978691606605,0.18720978691606605,True,1.7614699370169546
2406,5,3e-05,1,0.19058167492576122,0.19035764963902713,0.2037880885886507,0.0,0.0,0.3440207714131746,0.3440207714131746,True,1.6412192209973
2407,5,3e-05,1,0.20697775162639684,0.20674046072247093,0.21927872789035224,2.9802322387695312e-08,2.9802322387695312e-08,0.2999350222657578,0.2999350222657578,True,1.6025802200019825
2408,5,3e-05,1,0.2185773606394078,0.21836755305720823,0.23297724794221086,1.4901161193847656e-08,1.4901161193847656e-08,0.39882389784611894,0.39882389784611894,True,1.2428574829827994
2409,5,3e-05,1,0.24983175285322928,0.24958141885487697,0.26456418318401087,1.4901161193847656e-08,1.4901161193847656e-08,0.3828503708545829,0.3828503708545829,True,1.4686280349851586
2410,5,3e-05,1,0.2023183603656647,0.20208436051729892,0.21465698860972265,1.4901161193847656e-08,1.4901161193847656e-08,0.4360220335334524,0.4360220335334524,True,1.6366814210196026
2411,5,3e-05,1,0.17405219482267686,0.173780975122102,0.18622033931870163,0.0,0.0,0.26955639097345857,0.26955639097345857,True,1.7282353280170355
2412,5,3e-05,1,0.16649492612817413,0.16628011329249567,0.1800231310576854,2.9802322387695312e-08,2.9802322387695312e-08,0.39433283176040373,0.39433283176040373,True,1.760217795992503
2413,5,3e-05,1,0.178285967646548,0.1780594365041791,0.19229855400276188,1.4901161193847656e-08,1.4901161193847656e-08,0.2214243979906353,0.2214243979906353,True,1.7951664160063956
