iteration,beta,alpha,binarization_weight,total_objective,exact_peak,continuous_material_fraction,binary_material_fraction,gradient_norm_before_clipping,maximum_cg_iterations,maximum_residual,wall_seconds
0,1.0,50.0,0.0,0.5707175356300271,0.6532137113081362,0.25,0.0,0.010183663107454777,150,9.836576528412597e-07,1.1709389999887208
1,1.0,50.0,0.0,0.5634019065204664,0.64592282580128,0.2499999850988388,0.0,0.010400892235338688,150,9.943492923759277e-07,1.1750939000048675
2,1.0,50.0,0.0,0.5559149706749651,0.6384468149738669,0.25,0.0,0.010569985955953598,150,9.71195336268832e-07,1.180374200004735
3,1.0,50.0,0.0,0.5482976802646353,0.6313524849863636,0.2499999850988388,0.0,0.010688426904380322,150,9.99939881620402e-07,1.1708532000047853
4,1.0,50.0,0.0,0.5405917791458064,0.6242895644192912,0.25,0.0,0.010757017880678177,150,9.215552447238218e-07,1.1672613999980967
5,1.0,50.0,0.0,0.5328392147805515,0.6171814340158497,0.2499999701976776,0.0,0.010777659714221954,150,9.505769949415327e-07,1.1649526999972295
6,1.0,50.0,0.0,0.5250814176635908,0.6100418484365184,0.2499999701976776,0.0,0.010753372684121132,150,9.870587915093816e-07,1.1944848999992246
7,1.0,50.0,0.0,0.517358683556912,0.6028863532190116,0.2499999850988388,0.0,0.010687748901546001,150,9.602712539651072e-07,1.1847163000056753
8,1.0,50.0,0.0,0.5097092622058644,0.5957362377694405,0.25,0.0,0.01058484148234129,150,9.96705954545721e-07,1.184966600005282
9,1.0,50.0,0.0,0.5021690528609676,0.5887196878861877,0.2499999701976776,0.0,0.010448895394802094,150,9.779694387464549e-07,1.1814084999932675
10,1.0,50.0,0.0,0.49477137081509603,0.5819220057184366,0.2499999850988388,0.0,0.010284091345965862,150,9.363045019789914e-07,1.2292913000128465
11,1.0,50.0,0.0,0.4875469060057626,0.57520274983045,0.2499999701976776,0.0,0.010094743221998215,150,9.843357448317426e-07,1.1846041999961017
12,1.0,50.0,0.0,0.48052249927922613,0.56859135380058,0.2499999701976776,0.0,0.009885230101644993,150,9.80422239123635e-07,1.2268442999920808
13,1.0,50.0,0.0,0.4737207252901332,0.5621132726466905,0.2499999701976776,0.0,0.009659849107265472,150,9.867998199687174e-07,1.1799116000038339
14,1.0,50.0,0.0,0.46715937634480237,0.5557892923981534,0.25,0.0,0.009422678500413895,150,9.763057370651324e-07,1.2127085999964038
15,1.0,50.0,0.0,0.46085155976897035,0.5496356129760605,0.25,0.0,0.009177482686936855,150,9.671843443326648e-07,1.218485100005637
16,1.0,50.0,0.0,0.4548055875178412,0.5436637617390239,0.25,0.0,0.00892767496407032,150,9.694467496799922e-07,1.1924227999988943
