candidate_id,category,seed,representation,fidelity,grid_ny,grid_nx,design_hash_64,transferred_design_hash,is_binary,material_fraction,total_variation,worst_peak,average_peak,protected_zone_peak,maximum_normalized_residual,verification_wall_seconds,source_runtime_seconds
evenly_dispersed_binary,dispersed,,binary,reference_256,256,256,b8833787d8d703775992a5d3ac5378d7d0b7e24496917de225ba10962a8c613b,55008df758f69ac045a20337c247ec4b609211380a5ba72dcb616f38c5e5833d,True,0.25,0.2470588235294117,0.5849495361189074,0.570783880892681,0.5135943878356823,2.175692614783596e-11,0.6144746999925701,1.3800003216601908e-05
single_A_20260828,single_A,20260828.0,binary,low_64,64,64,2bcc42fcc0dc8d29413adb4db8ff40a96bbef715d2c382b91b644ba38c9be2d1,2bcc42fcc0dc8d29413adb4db8ff40a96bbef715d2c382b91b644ba38c9be2d1,True,0.25048828125,0.0314980158730158,0.3188361656236627,0.2475324798800711,0.1631745130244611,3.374571507167637e-13,0.024817300014547,509.8811073997349
single_A_20260828,single_A,20260828.0,binary,reference_128,128,128,2bcc42fcc0dc8d29413adb4db8ff40a96bbef715d2c382b91b644ba38c9be2d1,e8d1d68d5acec73f2df6027bc9b42dc3607c588f3c9e91110f31b9628721c699,True,0.25048828125,0.015625,0.3178759152373122,0.2467573429848749,0.1676477586405795,1.3283884108639174e-12,0.1176948999927844,509.8811073997349
single_A_20260828,single_A,20260828.0,binary,reference_256,256,256,2bcc42fcc0dc8d29413adb4db8ff40a96bbef715d2c382b91b644ba38c9be2d1,bc0f88346b55c5ffeda007133281e0711c390bdc58587a60acaa26d1ac72179d,True,0.25048828125,0.007781862745098,0.3173623196911966,0.2463813672196618,0.168210502463074,5.33038936267566e-12,0.6105691000120714,509.8811073997349
single_A_20260829,single_A,20260829.0,binary,low_64,64,64,2d0de72cec5f92d16c3a0534c9bd67e6cf0d777b6fb9e573c0104fc44caa8d8a,2d0de72cec5f92d16c3a0534c9bd67e6cf0d777b6fb9e573c0104fc44caa8d8a,True,0.250244140625,0.0314980158730158,0.3189563497201179,0.248046952234492,0.1642227335099733,3.254369710777713e-13,0.025080200008233,361.68361150022247
single_A_20260829,single_A,20260829.0,binary,reference_128,128,128,2d0de72cec5f92d16c3a0534c9bd67e6cf0d777b6fb9e573c0104fc44caa8d8a,3ee7c3b9ea98bdbcaf2f050d7c4679eac802ddca7a257f29754e72d199ee4ebd,True,0.250244140625,0.015625,0.3178657187802614,0.2472381802023978,0.1687446742921531,1.3561427187049688e-12,0.1244497000006958,361.68361150022247
single_A_20260829,single_A,20260829.0,binary,reference_256,256,256,2d0de72cec5f92d16c3a0534c9bd67e6cf0d777b6fb9e573c0104fc44caa8d8a,2f782ea382ec6d14e1aeb583e3d311952af1bfba8aeb7a7a1b123bbe563c13db,True,0.250244140625,0.007781862745098,0.317343319776924,0.2468591751401948,0.1693160368417689,5.358510273179849e-12,0.6100701000104891,361.68361150022247
single_A_20260830,single_A,20260830.0,binary,low_64,64,64,5019dafb2f1462cbfcd955a51960603d8c046303897e2835d9a5d8820f5596a5,5019dafb2f1462cbfcd955a51960603d8c046303897e2835d9a5d8820f5596a5,True,0.25048828125,0.0314980158730158,0.3227111111312316,0.249367253780395,0.1654034685171213,3.4500296940511664e-13,0.0264179000078002,354.0953565999662
single_A_20260830,single_A,20260830.0,binary,reference_128,128,128,5019dafb2f1462cbfcd955a51960603d8c046303897e2835d9a5d8820f5596a5,37832bbbfec5aaa8f315ceb5b49f47369a61e60d8bb3bf0b6f7c38f0ab98d29f,True,0.25048828125,0.015625,0.3216834851745219,0.2485897127428411,0.1700418045129225,1.3072890473576412e-12,0.1197468000027583,354.0953565999662
single_A_20260830,single_A,20260830.0,binary,reference_256,256,256,5019dafb2f1462cbfcd955a51960603d8c046303897e2835d9a5d8820f5596a5,4cd1f5712b1188f1bfa069cbd51d3c718f63adde7da34874e0f1e998364e1a14,True,0.25048828125,0.007781862745098,0.3211513095413453,0.2482064991702622,0.1706369249924149,5.303405702257455e-12,0.6070008000097005,354.0953565999662
uniform_relaxed,uniform,,continuous,reference_128,128,128,6aad812971e26441cd87265209b034397294d65438d0a5fa8ea383d0421dcf1d,432f6abf8a5421bb54f1de37fd51c8d3bfc5626570ba1872abae5a13162ebdd2,False,0.25,0.0,0.7181674331815044,0.7019128424236513,0.6301419332754294,1.156620034339357e-12,0.1179331000166712,1.4000004739500582e-05
single_A_20260828_continuous,single_A,20260828.0,continuous,reference_128,128,128,1b7d70e81d23a6693de5b8a71fce477651b6d552ace3c34478576aebdd16d1f0,09ca08ab4070f2f24f1156de317eb8b4e278427b66b99cd668defd855103b6ec,False,0.2499999952130099,0.015630028864658,0.319003689446241,0.2475620167637865,0.1682852941957007,1.3424387734557705e-12,0.1178739000024506,509.8811073997349
single_A_20260829_continuous,single_A,20260829.0,continuous,reference_128,128,128,6924be1a4fe65c9fb7a05070159766636b0177bfee8248c6fbed578e7e566c51,d1c177e1396b758fbb6699f2a3c2b86ee7fae5e25f37822fd73593e49aa77b2e,False,0.2499999911956599,0.0156290691183955,0.3184679683324788,0.2474750873995225,0.1692655519568942,1.3296910210922632e-12,0.1176655999879585,361.68361150022247
single_A_20260830_continuous,single_A,20260830.0,continuous,reference_128,128,128,27ea2a1038e1c3d7457f3f4db6a8662fba84255a1c635a25b0f69cb6feb10b91,c0950a8754e1df1584a4d99ae99df5543cf9bdcc482390e549ea0c9db3d65e45,False,0.2499999996624193,0.0156288346892884,0.3222739598421245,0.2491999678996787,0.1706184514472984,1.3234883506538769e-12,0.1205287000047974,354.0953565999662
