seed,case_id,candidate_id,candidate_peak,strongest_baseline_id,strongest_baseline_peak,relative_improvement,passed_two_percent
20260828,shift_A_1_left,robust_20260828,0.156506824943584,straight_path,0.3169417981503212,0.506196955223448,True
20260828,shift_A_1_right,robust_20260828,0.156506824943584,straight_path,0.3169417981503212,0.506196955223448,True
20260828,shift_A_1_up,robust_20260828,0.1600343040810046,straight_path,0.3169417981503212,0.4950672173409501,True
20260828,shift_A_1_down,robust_20260828,0.156506824943584,straight_path,0.3169417981503212,0.506196955223448,True
20260828,shift_A_2_left,robust_20260828,0.156506824943584,straight_path,0.3169417981503212,0.506196955223448,True
20260828,shift_A_2_right,robust_20260828,0.156506824943584,straight_path,0.3169417981503212,0.506196955223448,True
20260828,shift_A_2_up,robust_20260828,0.1639936331504044,straight_path,0.3169417981503212,0.482574926666427,True
20260828,shift_A_2_down,robust_20260828,0.156506824943584,straight_path,0.3169417981503212,0.506196955223448,True
20260828,shift_B_1_left,robust_20260828,0.1584719188103772,straight_path,0.3230678557488895,0.5094779131058075,True
20260828,shift_B_1_right,robust_20260828,0.156506824943584,single_A_20260828,0.3145942271794342,0.5025120888365264,True
20260828,shift_B_1_up,robust_20260828,0.1579876267764563,straight_path,0.3180985052399126,0.5033374122355567,True
20260828,shift_B_1_down,robust_20260828,0.156506824943584,single_A_20260828,0.3145942271794342,0.5025120888365264,True
20260828,shift_B_2_left,robust_20260828,0.1611364236649549,straight_path,0.3292221476108558,0.510554120267085,True
20260828,shift_B_2_right,robust_20260828,0.156506824943584,single_A_20260828,0.3145942271794342,0.5025120888365264,True
20260828,shift_B_2_up,robust_20260828,0.1603670739569576,straight_path,0.3192720373147238,0.4977102432591833,True
20260828,shift_B_2_down,robust_20260828,0.1566999668631989,single_A_20260828,0.3145942271794342,0.5018981490279465,True
20260828,shift_C_1_left,robust_20260828,0.1561549568126332,straight_path,0.3169417981503212,0.5073071531620102,True
20260828,shift_C_1_right,robust_20260828,0.1589024353736917,single_A_20260828,0.3207356372408214,0.5045688195403703,True
20260828,shift_C_1_up,robust_20260828,0.1578541736412896,single_A_20260828,0.3179786548465389,0.5035699056042855,True
20260828,shift_C_1_down,robust_20260828,0.1568754104315839,straight_path,0.3169417981503212,0.5050340114585329,True
20260828,shift_C_2_left,robust_20260828,0.1561549568126332,straight_path,0.3169417981503212,0.5073071531620102,True
20260828,shift_C_2_right,robust_20260828,0.1614365979196864,single_A_20260828,0.3268853842443704,0.5061369957152906,True
20260828,shift_C_2_up,robust_20260828,0.1603268832780461,straight_path,0.3192720373147157,0.4978361254981837,True
20260828,shift_C_2_down,robust_20260828,0.1572637862958513,straight_path,0.3169417981503212,0.5038086260201526,True
20260828,intensity_minus_5pct,robust_20260828,0.1486814836964048,straight_path,0.3010947082428051,0.5061969552234478,True
20260828,intensity_plus_5pct,robust_20260828,0.1643321661907632,straight_path,0.3327888880578373,0.5061969552234479,True
20260828,k_high_19,robust_20260828,0.1627889753163079,single_A_20260828,0.321466291111764,0.4936048356631233,True
20260828,k_high_21,robust_20260828,0.1512473749312863,straight_path,0.3124272149677813,0.5158956464567802,True
20260829,shift_A_1_left,robust_20260829,0.1573755649688878,straight_path,0.3169417981503212,0.5034559471570654,True
20260829,shift_A_1_right,robust_20260829,0.1576320815036557,straight_path,0.3169417981503212,0.5026465981337908,True
20260829,shift_A_1_up,robust_20260829,0.1614009224813386,straight_path,0.3169417981503212,0.4907553266142941,True
20260829,shift_A_1_down,robust_20260829,0.1573755649688878,straight_path,0.3169417981503212,0.5034559471570654,True
20260829,shift_A_2_left,robust_20260829,0.1573755649688878,straight_path,0.3169417981503212,0.5034559471570654,True
20260829,shift_A_2_right,robust_20260829,0.1578024370811847,straight_path,0.3169417981503212,0.5021091001498605,True
20260829,shift_A_2_up,robust_20260829,0.1654086852446105,straight_path,0.3169417981503212,0.478110220204659,True
20260829,shift_A_2_down,robust_20260829,0.1573755649688878,straight_path,0.3169417981503212,0.5034559471570654,True
20260829,shift_B_1_left,robust_20260829,0.1589513807574774,straight_path,0.3230678557488895,0.5079938225701249,True
20260829,shift_B_1_right,robust_20260829,0.1574716324313547,single_A_20260829,0.3160184611432879,0.5017011605535461,True
20260829,shift_B_1_up,robust_20260829,0.1594320960732259,straight_path,0.3180985052399126,0.4987964625832465,True
20260829,shift_B_1_down,robust_20260829,0.1574716324313547,single_A_20260829,0.3160184611432879,0.5017011605535461,True
20260829,shift_B_2_left,robust_20260829,0.1607466454350916,straight_path,0.3292221476108558,0.5117380571094021,True
20260829,shift_B_2_right,robust_20260829,0.1574716324313547,single_A_20260829,0.3160184611432879,0.5017011605535461,True
20260829,shift_B_2_up,robust_20260829,0.1617597066859984,straight_path,0.3192720373147238,0.4933483431668553,True
20260829,shift_B_2_down,robust_20260829,0.1574716324313547,single_A_20260829,0.3160184611432879,0.5017011605535461,True
20260829,shift_C_1_left,robust_20260829,0.1574716324313547,straight_path,0.3169417981503212,0.5031528395738197,True
20260829,shift_C_1_right,robust_20260829,0.1578731914941484,single_A_20260829,0.3221731910816652,0.5099741509710832,True
20260829,shift_C_1_up,robust_20260829,0.1577974155405313,straight_path,0.3180985052399045,0.5039353755481399,True
20260829,shift_C_1_down,robust_20260829,0.1574716324313547,straight_path,0.3169417981503212,0.5031528395738197,True
20260829,shift_C_2_left,robust_20260829,0.1574716324313547,straight_path,0.3169417981503212,0.5031528395738197,True
20260829,shift_C_2_right,robust_20260829,0.1605337235098011,single_A_20260829,0.3283351471921035,0.5110675025726823,True
20260829,shift_C_2_up,robust_20260829,0.1602541103836644,straight_path,0.3192720373147157,0.4980640593159831,True
20260829,shift_C_2_down,robust_20260829,0.1574716324313547,straight_path,0.3169417981503212,0.5031528395738197,True
20260829,intensity_minus_5pct,robust_20260829,0.1495980508097869,straight_path,0.3010947082428051,0.50315283957382,True
20260829,intensity_plus_5pct,robust_20260829,0.1653452140529222,straight_path,0.3327888880578373,0.5031528395738203,True
20260829,k_high_19,robust_20260829,0.1641846172370824,single_A_20260829,0.3214381395497718,0.4892186177189472,True
20260829,k_high_21,robust_20260829,0.1525728823039453,straight_path,0.3124272149677813,0.5116530347086464,True
20260830,shift_A_1_left,robust_20260830,0.1566354635888573,straight_path,0.3169417981503212,0.50579108056121,True
20260830,shift_A_1_right,robust_20260830,0.1566354635888573,straight_path,0.3169417981503212,0.50579108056121,True
20260830,shift_A_1_up,robust_20260830,0.1600030976622355,straight_path,0.3169417981503212,0.4951656783800153,True
20260830,shift_A_1_down,robust_20260830,0.1566354635888573,straight_path,0.3169417981503212,0.50579108056121,True
20260830,shift_A_2_left,robust_20260830,0.1566354635888573,straight_path,0.3169417981503212,0.50579108056121,True
20260830,shift_A_2_right,robust_20260830,0.1566354635888573,straight_path,0.3169417981503212,0.50579108056121,True
20260830,shift_A_2_up,robust_20260830,0.16392832655976,straight_path,0.3169417981503212,0.4827809789795823,True
20260830,shift_A_2_down,robust_20260830,0.1566354635888573,straight_path,0.3169417981503212,0.50579108056121,True
20260830,shift_B_1_left,robust_20260830,0.1580732096246813,single_A_20260830,0.3223946835103343,0.509690395934788,True
20260830,shift_B_1_right,robust_20260830,0.1566354635888573,straight_path,0.3169417981503133,0.5057910805611977,True
20260830,shift_B_1_up,robust_20260830,0.1580744789929734,straight_path,0.3180985052399126,0.5030643766346771,True
20260830,shift_B_1_down,robust_20260830,0.1566354635888573,straight_path,0.3169417981503133,0.5057910805611977,True
20260830,shift_B_2_left,robust_20260830,0.1604693787068622,single_A_20260830,0.3285679528942897,0.5116097681063554,True
20260830,shift_B_2_right,robust_20260830,0.1566354635888573,straight_path,0.3169417981503133,0.5057910805611977,True
20260830,shift_B_2_up,robust_20260830,0.1604717314441053,straight_path,0.3192720373147238,0.4973824429042635,True
20260830,shift_B_2_down,robust_20260830,0.1566354635888573,straight_path,0.3169417981503133,0.5057910805611977,True
20260830,shift_C_1_left,robust_20260830,0.1561592157159316,single_A_20260830,0.3162283111856872,0.5061820520420262,True
20260830,shift_C_1_right,robust_20260830,0.1587589886043481,straight_path,0.3230678557488806,0.5085893388051861,True
20260830,shift_C_1_up,robust_20260830,0.1587140682904767,straight_path,0.3180985052399045,0.5010537123688235,True
20260830,shift_C_1_down,robust_20260830,0.1561592157159316,straight_path,0.3169417981503212,0.5072937156686812,True
20260830,shift_C_2_left,robust_20260830,0.1561592157159316,single_A_20260830,0.3162283111856872,0.5061820520420262,True
20260830,shift_C_2_right,robust_20260830,0.1611639828307641,straight_path,0.3292221476108469,0.5104704103283292,True
20260830,shift_C_2_up,robust_20260830,0.1610733285094106,straight_path,0.3192720373147157,0.4954981655639451,True
20260830,shift_C_2_down,robust_20260830,0.1561592157159316,single_A_20260830,0.3162283111856872,0.5061820520420262,True
20260830,intensity_minus_5pct,robust_20260830,0.1488036904094144,straight_path,0.3010947082428051,0.50579108056121,True
20260830,intensity_plus_5pct,robust_20260830,0.1644672367683002,straight_path,0.3327888880578373,0.50579108056121,True
20260830,k_high_19,robust_20260830,0.1633191665944796,straight_path,0.3218750403958192,0.4926007111528709,True
20260830,k_high_21,robust_20260830,0.1512371058390521,straight_path,0.3124272149677813,0.5159285152074594,True
