iteration,total_objective,exact_peak,gradient_norm_before_clipping,maximum_relative_residual,wall_seconds
0,0.6431498802211029,0.7482623225481025,0.011470441706478596,9.84945821913461e-07,0.8528425600379705
1,0.6362386569102679,0.7413613069745836,0.012355819344520569,9.812522063912565e-07,0.8512626383453608
2,0.6285598159862255,0.7336428826645945,0.013225502334535122,9.900744184511969e-07,0.841818256303668
3,0.6201616726626851,0.7251529842119986,0.014060836285352707,9.501652561308568e-07,0.8373198434710503
4,0.6110978874386316,0.7159476002111218,0.014841493219137192,9.769811972774541e-07,0.8346695136278868
5,0.6014302963870648,0.7060917027178626,0.015550946816802025,9.675099018876531e-07,0.8638073168694973
6,0.5912277213923869,0.6956569068121001,0.01617700792849064,9.97365849608205e-07,0.9030516128987074
7,0.5805651991486691,0.6847548980596818,0.016712626442313194,9.972538816741716e-07,0.8778224028646946
8,0.5695173783512072,0.6734587333219467,0.017156342044472694,9.834889118059672e-07,0.8528164457529783
9,0.558153571525261,0.6620209792125223,0.017510171979665756,9.920804369028636e-07,0.842339189723134
10,0.546537514611429,0.6502786316236784,0.01777692139148712,9.944947465759834e-07,0.8555303029716015
11,0.5347300454938089,0.6382913845326009,0.017959382385015488,9.968938234101195e-07,0.8526533097028732
12,0.5227903805078443,0.626117547313301,0.018060754984617233,9.946452774840598e-07,0.8728424273431301
13,0.5107750860850423,0.6138120326019368,0.018085602670907974,9.784184684019026e-07,0.8686937484890223
14,0.49873123857771107,0.6014186890702243,0.018040068447589874,9.66871238542886e-07,0.8859930243343115
15,0.4866937399135988,0.5889682781204938,0.01793106645345688,9.972375960717614e-07,0.884578900411725
16,0.4746865209395097,0.5764813722709646,0.017765184864401817,9.645915350440889e-07,0.8682639990001917
17,0.46273019615397193,0.5639777648914606,0.017547976225614548,9.775159375194326e-07,0.8641373589634895
18,0.4508509814155685,0.5514860009124721,0.017283955588936806,9.889798753954453e-07,0.8732650801539421
19,0.4390835390454008,0.5390453478073879,0.016977515071630478,9.849350573143844e-07,0.8721002731472254
20,0.42746786608594944,0.5267016743397677,0.016633540391921997,9.552437959360706e-07,0.8592620994895697
21,0.4160448936725735,0.5145025756214054,0.01625746488571167,9.931250803633263e-07,0.8421707041561604
22,0.40485366660715016,0.5024943281929971,0.015855012461543083,9.96939856627832e-07,0.8730118330568075
23,0.39392960116102665,0.4907199647651093,0.015431922860443592,9.916383083024602e-07,0.8839347418397665
24,0.38330317185860446,0.47921772621676234,0.01499373558908701,9.681130853506748e-07,0.8741702754050493
25,0.3729992960501939,0.468020257533976,0.014545568265020847,9.604224691807818e-07,0.8644397016614676
