role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,0,225,9.880164372320056e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.83771419594861e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.837714263042086e-07,True,CONVERGED,float64,cuda:0
adjoint,0,225,8.172633963253749e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.264873241594658e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.264873249774438e-07,True,CONVERGED,float64,cuda:0
forward,0,255,8.96056146962311e-07,True,CONVERGED,float64,cuda:0
forward,1,303,9.77402144255551e-07,True,CONVERGED,float64,cuda:0
forward,2,303,9.767647271200106e-07,True,CONVERGED,float64,cuda:0
adjoint,0,251,9.301774512470212e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.560530220819783e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.65338840979654e-07,True,CONVERGED,float64,cuda:0
forward,0,257,9.067337290724057e-07,True,CONVERGED,float64,cuda:0
forward,1,305,9.359927179713205e-07,True,CONVERGED,float64,cuda:0
forward,2,305,9.360142334692772e-07,True,CONVERGED,float64,cuda:0
adjoint,0,253,9.258092386727076e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.865111736713234e-07,True,CONVERGED,float64,cuda:0
adjoint,2,291,9.86975140247111e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.045406522885001e-07,True,CONVERGED,float64,cuda:0
forward,1,304,9.548860838393518e-07,True,CONVERGED,float64,cuda:0
forward,2,304,9.54910675028181e-07,True,CONVERGED,float64,cuda:0
adjoint,0,256,9.429094231214012e-07,True,CONVERGED,float64,cuda:0
adjoint,1,295,9.362767789509665e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.376246469313544e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.748301974766367e-07,True,CONVERGED,float64,cuda:0
forward,1,303,9.028377973377085e-07,True,CONVERGED,float64,cuda:0
forward,2,303,9.016268743764263e-07,True,CONVERGED,float64,cuda:0
adjoint,0,258,9.015698408386537e-07,True,CONVERGED,float64,cuda:0
adjoint,1,295,9.089477932727207e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.092239611084624e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.439400904168741e-07,True,CONVERGED,float64,cuda:0
forward,1,297,9.949363196437323e-07,True,CONVERGED,float64,cuda:0
forward,2,297,9.797852920691333e-07,True,CONVERGED,float64,cuda:0
adjoint,0,270,9.861425074999151e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,8.899123341739476e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,8.85939029830896e-07,True,CONVERGED,float64,cuda:0
forward,0,272,9.666173551875574e-07,True,CONVERGED,float64,cuda:0
forward,1,299,8.607205834999394e-07,True,CONVERGED,float64,cuda:0
forward,2,299,8.682729304019355e-07,True,CONVERGED,float64,cuda:0
adjoint,0,257,8.948635815051444e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.429546044510363e-07,True,CONVERGED,float64,cuda:0
adjoint,2,291,9.987498837584077e-07,True,CONVERGED,float64,cuda:0
forward,0,277,9.963634381181796e-07,True,CONVERGED,float64,cuda:0
forward,1,298,9.905335360085883e-07,True,CONVERGED,float64,cuda:0
forward,2,299,8.639109327572926e-07,True,CONVERGED,float64,cuda:0
adjoint,0,271,8.726479626090285e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.130810501527591e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.111689051821932e-07,True,CONVERGED,float64,cuda:0
forward,0,271,9.034037498955823e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.340516502671967e-07,True,CONVERGED,float64,cuda:0
forward,2,296,9.273707960206378e-07,True,CONVERGED,float64,cuda:0
adjoint,0,272,8.035205471476643e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.922889863214762e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.489870218354053e-07,True,CONVERGED,float64,cuda:0
forward,0,267,9.610521751328118e-07,True,CONVERGED,float64,cuda:0
forward,1,286,9.518986395074732e-07,True,CONVERGED,float64,cuda:0
forward,2,284,9.096408377737327e-07,True,CONVERGED,float64,cuda:0
adjoint,0,271,9.636201980867349e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.78767229514698e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.800798560003366e-07,True,CONVERGED,float64,cuda:0
forward,0,270,9.164731535700955e-07,True,CONVERGED,float64,cuda:0
forward,1,281,9.554440262356958e-07,True,CONVERGED,float64,cuda:0
forward,2,289,9.58582584602724e-07,True,CONVERGED,float64,cuda:0
adjoint,0,269,9.372465473006852e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.622808557060945e-07,True,CONVERGED,float64,cuda:0
adjoint,2,288,9.802406693223396e-07,True,CONVERGED,float64,cuda:0
