update,stage_id,learning_rate,task_exposures,mean_total_objective,mean_thermal_smooth,mean_exact_tmax,maximum_projection_absolute_error,maximum_material_fraction_error,gradient_norm_before_clipping,gradient_norm_after_clipping,all_gradients_finite,wall_seconds
0,1,0.001,1,0.6918244602293295,0.6918244602293295,0.7517316348422879,5.960464477539063e-08,5.960464477539063e-08,0.17781536992889063,0.17781536992889063,True,1.73709089399199
1,1,0.001,1,0.6779757211979736,0.677975382712451,0.7375885938911884,5.960464477539063e-08,5.960464477539063e-08,0.10346609989702858,0.10346609989702858,True,1.566330072004348
2,1,0.001,1,0.7324701229932008,0.7324693370568903,0.7916460520543267,2.9802322387695312e-08,2.9802322387695312e-08,0.12964870112135368,0.12964870112135368,True,1.5768607100180816
3,1,0.001,1,0.655853180914558,0.6558519031905099,0.7142307686565936,1.4901161193847656e-08,1.4901161193847656e-08,0.1902211065852703,0.1902211065852703,True,1.606770101992879
4,1,0.001,1,0.7635908899374045,0.7635889683724819,0.8224368453760464,0.0,0.0,0.21892112635166353,0.21892112635166353,True,1.5703760090109427
5,1,0.001,1,0.6981806543758995,0.6981781206814031,0.7512756673673725,1.4901161193847656e-08,1.4901161193847656e-08,0.247654524132857,0.247654524132857,True,1.577263977000257
6,1,0.001,1,0.7227199210488947,0.722716181928456,0.779005967624529,1.4901161193847656e-08,1.4901161193847656e-08,0.46755040873627124,0.46755040873627124,True,1.634453670005314
7,1,0.001,1,0.71354153835969,0.7135365242633033,0.769120385356364,0.0,0.0,0.37676989426348717,0.37676989426348717,True,1.58621582298656
8,1,0.001,1,0.7184216813546322,0.7184152098487779,0.7724579923482512,0.0,0.0,0.5507103634681456,0.5507103634681456,True,1.5650000239838846
9,1,0.001,1,0.7264711955738322,0.7264614917374285,0.777847945859126,0.0,0.0,0.23969676204104615,0.23969676204104615,True,1.556922198011307
10,1,0.001,1,0.628939422404569,0.6289254209177461,0.6743839688680191,0.0,0.0,0.820597940607054,0.820597940607054,True,1.6418397160014138
11,1,0.001,1,0.7079778985754722,0.7079580757376873,0.7538298753484094,2.9802322387695312e-08,2.9802322387695312e-08,0.6855076192339276,0.6855076192339276,True,1.5986049270140938
12,1,0.001,1,0.5810324120784377,0.5810080514366006,0.622980474762277,0.0,0.0,0.497057677338557,0.497057677338557,True,1.6137417650024872
13,1,0.001,1,0.6258056013839116,0.6257753367045691,0.6662256938484318,2.9802322387695312e-08,2.9802322387695312e-08,0.9352384386805315,0.9352384386805315,True,1.630701227026293
14,1,0.001,1,0.6037962139913975,0.6037671329075633,0.6387294831485354,2.9802322387695312e-08,2.9802322387695312e-08,0.1263686024665294,0.1263686024665294,True,1.5527607150143012
15,1,0.001,1,0.6304121584617893,0.6303753307448129,0.6687834771572363,0.0,0.0,0.36734262548270036,0.36734262548270036,True,1.6390076859970577
16,1,0.001,1,0.5576528146740988,0.5576216366988614,0.5874660667720869,0.0,0.0,0.18487969442412905,0.18487969442412905,True,1.6122663320275024
17,1,0.001,1,0.4882112101912521,0.4881780423559271,0.5167071497948715,0.0,0.0,0.165948487058811,0.165948487058811,True,1.5997399789921474
18,1,0.001,1,0.4924359439304633,0.49239762762846184,0.5252792310543652,0.0,0.0,0.27525860736707847,0.27525860736707847,True,1.5724481840152293
19,1,0.001,1,0.5419147016844043,0.5418741958430299,0.573346829584438,1.4901161193847656e-08,1.4901161193847656e-08,0.33334425855881045,0.33334425855881045,True,1.5778118019807152
20,1,0.001,1,0.5280819885323794,0.5280390444251748,0.5625535035547335,0.0,0.0,0.2627029700224108,0.2627029700224108,True,1.5940284180105664
21,1,0.001,1,0.6403833813642542,0.6403370325093548,0.6760655225026633,0.0,0.0,0.563475649824593,0.563475649824593,True,1.5904325770097785
22,1,0.001,1,0.49748684344259575,0.49744854274956063,0.5300003690628196,0.0,0.0,0.44774621903774,0.44774621903774,True,1.5948885819816496
23,1,0.001,1,0.5145693818512126,0.5145273069846197,0.5403420524510263,1.4901161193847656e-08,1.4901161193847656e-08,0.11465340301083991,0.11465340301083991,True,1.5248225909890607
24,1,0.001,1,0.4979467144513886,0.49790271274171877,0.5281372891406937,0.0,0.0,0.17121333890591164,0.17121333890591164,True,1.5814568499918096
25,1,0.001,1,0.5418766550388261,0.5418360063549205,0.5674259933057404,0.0,0.0,1.3559116709796732,0.9999993342206475,True,1.561539549002191
26,1,0.001,1,0.5823227863215716,0.5822792640679391,0.6161265439808387,0.0,0.0,2.91679978446305,0.9999996841817969,True,1.5243228950130288
27,1,0.001,1,0.5328922142697144,0.5328467583445479,0.5686111035671991,0.0,0.0,1.3633701382839483,0.9999992622486542,True,1.6185007310123183
28,1,0.001,1,0.4657362150880087,0.4656902627008546,0.49487707845200785,0.0,0.0,0.15583256528275144,0.15583256528275144,True,1.5743212099769153
29,1,0.001,1,0.48821728076080934,0.4881776319895233,0.5138629802482221,0.0,0.0,0.44193598944295925,0.44193598944295925,True,1.5915073470096104
30,1,0.001,1,0.4992148188733811,0.49917082166013665,0.5289866054772185,1.4901161193847656e-08,1.4901161193847656e-08,0.10037514364325449,0.10037514364325449,True,1.5973993240040727
31,1,0.001,1,0.46565403502832103,0.46560700841273117,0.4932665557039738,0.0,0.0,0.08618640801866612,0.08618640801866612,True,1.591233983024722
32,1,0.001,1,0.5228955976832241,0.5228494053873748,0.5541192416458155,0.0,0.0,0.23187593134123133,0.23187593134123133,True,1.552932869992219
33,1,0.001,1,0.4348753043032653,0.4348361440889008,0.46904485954946623,0.0,0.0,0.13241227277329548,0.13241227277329548,True,1.5849514479923528
34,1,0.001,1,0.48790317570360686,0.4878630350077369,0.5176687981193171,0.0,0.0,0.23960411653764935,0.23960411653764935,True,1.5917321550077759
35,1,0.001,1,0.44612619347155075,0.44608634467080216,0.4712794013211981,1.4901161193847656e-08,1.4901161193847656e-08,0.22431354137168688,0.22431354137168688,True,1.5824493679974694
36,1,0.001,1,0.48696951661628185,0.48693134635311064,0.5143413406917439,1.4901161193847656e-08,1.4901161193847656e-08,0.18535085236140275,0.18535085236140275,True,1.5965001320000738
37,1,0.001,1,0.46848972931150074,0.4684408810252296,0.5024028006012973,0.0,0.0,0.5449522626983683,0.5449522626983683,True,1.6564166530151851
38,1,0.001,1,0.4750439777891414,0.47500121426538394,0.5057276881298601,1.4901161193847656e-08,1.4901161193847656e-08,0.33633209765099403,0.33633209765099403,True,1.6146117830066942
39,1,0.001,1,0.4725154947401443,0.4724731730618933,0.5049959928188731,1.4901161193847656e-08,1.4901161193847656e-08,0.18644400338737402,0.18644400338737402,True,1.5649478519917466
40,1,0.001,1,0.5364236101251445,0.5363855488900444,0.5631234060768817,0.0,0.0,0.4852436225914167,0.4852436225914167,True,1.562400227994658
41,1,0.001,1,0.4589132309029451,0.45886454991201076,0.4907632087507089,0.0,0.0,1.8895303195386561,0.9999995013323189,True,1.718044840003131
42,1,0.001,1,0.4467785344836756,0.4467402074081346,0.47781231327094875,2.9802322387695312e-08,2.9802322387695312e-08,1.5209528469253557,0.9999993364025355,True,1.5965550650143996
43,1,0.001,1,0.5343649560677889,0.5343252175021055,0.5687396599580212,2.9802322387695312e-08,2.9802322387695312e-08,0.28618651285799773,0.28618651285799773,True,1.5253954929939937
44,1,0.001,1,0.46546329846299805,0.46542316717348614,0.5010142184031631,0.0,0.0,0.5194828255587399,0.5194828255587399,True,1.5663135640206747
45,1,0.001,1,0.6270408795771338,0.6269936721434035,0.6682312220145981,0.0,0.0,0.6958036078084575,0.6958036078084575,True,1.586345176998293
46,1,0.001,1,0.5222184991210927,0.522179637660109,0.5522089284449431,2.9802322387695312e-08,2.9802322387695312e-08,0.7039368137586269,0.7039368137586269,True,1.5573578450130299
47,1,0.001,1,0.4357263635081624,0.43568159974193327,0.4734652267309887,1.4901161193847656e-08,1.4901161193847656e-08,2.746845292048498,0.9999996658505683,True,1.5878309079853352
48,1,0.001,1,0.4846818387637507,0.4846355270499956,0.5284820706381381,1.4901161193847656e-08,1.4901161193847656e-08,2.2958501801093347,0.999999570975646,True,1.5792722449987195
49,1,0.001,1,0.4668592557479084,0.46681663823317887,0.5051339857245232,2.9802322387695312e-08,2.9802322387695312e-08,0.48642759746441366,0.48642759746441366,True,1.595472308981698
50,1,0.001,1,0.4132383269043677,0.41318885403592515,0.4489641652066796,0.0,0.0,1.437856923399244,0.9999993467177452,True,1.6616434959869366
