update,learning_rate,mean_loss,mean_candidate_thermal_smooth,best_candidate_thermal_smooth,worst_candidate_exact_tmax,mean_total_variation,mean_binarization_penalty,softmin,diversity_penalty,maximum_projection_absolute_error,gradient_norm_before_clipping,gradient_norm_after_clipping,wall_seconds
0,0.0001,0.6185643158227723,0.650559470902941,0.6040350200344752,0.8032961026412512,0.014286695048213005,0.18138487637043,0.6174643682410934,0.0010856608860194683,2.9802322387695312e-08,6.472647979546088,0.9999998565144859,1.9808384589850903
1,0.0001,0.5809471392855023,0.6353762953656834,0.5664321727522398,0.8132041165972994,0.013580375351011753,0.176202654838562,0.5799501864627139,0.0009833724470809102,2.9802322387695312e-08,1.47544792387429,0.9999994163405528,1.3370456732809544
2,0.0001,0.5766377940587377,0.6280134836491188,0.5622995533405978,0.7535240961942342,0.012565880082547665,0.175813227891922,0.5756820557459692,0.0009431724320165813,2.9802322387695312e-08,0.9696088947506623,0.9696088947506623,1.3733383631333709
3,0.0001,0.5854813949743485,0.6483523660633407,0.5710794362791651,0.8497105126896571,0.012247037142515182,0.17450246214866638,0.584640722537014,0.0008284253999590874,2.9802322387695312e-08,0.8599174827162042,0.8599174827162042,1.344097988680005
4,0.0001,0.561859967090784,0.6247911643864706,0.5477543609349775,0.7736106004949875,0.011364409700036049,0.17420563101768494,0.5611099216195341,0.000738681061193347,2.9802322387695312e-08,0.7358129984214454,0.7358129984214454,1.3502243161201477
5,0.0001,0.6064525447250302,0.6634892913580784,0.5941176676945741,0.8654960954558365,0.011119740083813667,0.1730971336364746,0.6057874547546047,0.0006539702299050987,2.9802322387695312e-08,0.5770520852041761,0.5770520852041761,1.339323972351849
6,0.0001,0.5909748256605483,0.6842746676244381,0.5767826832987706,0.8667602925316316,0.010586791671812534,0.1733551025390625,0.5903433746531548,0.0006208642153069377,4.470348358154297e-08,2.192207645165715,0.9999996143243575,1.360235477797687
7,0.0001,0.5016848508313179,0.6286979198091055,0.48724557871305807,0.8440450156105604,0.010782761499285698,0.17171186208724976,0.5011082903621191,0.0005657777073793113,2.9802322387695312e-08,1.8959565172007027,0.9999994856720613,1.3565647825598717
8,0.0001,0.5375676723485555,0.6732885105770006,0.5231503638053826,0.8899148857017276,0.011419684626162052,0.1711588352918625,0.5370126922377637,0.00054356042528525,2.9802322387695312e-08,0.5134570987924507,0.5134570987924507,1.3777699116617441
9,0.0001,0.48588168506891793,0.6040184594333384,0.47152474203275024,0.8232302590309406,0.011494752019643784,0.1686999499797821,0.4853841577448036,0.00048603257164359093,2.9802322387695312e-08,0.5758219063339224,0.5758219063339224,1.3779872432351112
