fixture_id,fixture_hash,role,scenario_index,iterations,explicit_relative_residual,converged,reason,wall_seconds,dtype,device
straight_path_binary,a166c3f104d59fef2aabc692e9623c28ffefe2d0a2c4b3eb1ca78df93c0f7533,forward,2,308,9.472066946659155e-07,True,CONVERGED,0.37638099999458063,float64,cuda:0
straight_path_binary,a166c3f104d59fef2aabc692e9623c28ffefe2d0a2c4b3eb1ca78df93c0f7533,adjoint,0,0,9.444412857341237e-30,True,CONVERGED,0.0004971000016666949,float64,cuda:0
straight_path_binary,a166c3f104d59fef2aabc692e9623c28ffefe2d0a2c4b3eb1ca78df93c0f7533,adjoint,1,305,9.193048961401008e-07,True,CONVERGED,0.37461529999563936,float64,cuda:0
straight_path_binary,a166c3f104d59fef2aabc692e9623c28ffefe2d0a2c4b3eb1ca78df93c0f7533,adjoint,2,305,9.193049092122161e-07,True,CONVERGED,0.3731218000029912,float64,cuda:0
dispersed_binary,22c8adae0cde4a6bf0d6b113c7f09eeeaf1ca59af8d988b161005316312660c1,forward,0,289,9.792553924720585e-07,True,CONVERGED,0.35500820000015665,float64,cuda:0
dispersed_binary,22c8adae0cde4a6bf0d6b113c7f09eeeaf1ca59af8d988b161005316312660c1,forward,1,293,9.282716732307351e-07,True,CONVERGED,0.35924700000032317,float64,cuda:0
dispersed_binary,22c8adae0cde4a6bf0d6b113c7f09eeeaf1ca59af8d988b161005316312660c1,forward,2,293,9.256682709366245e-07,True,CONVERGED,0.3645241999911377,float64,cuda:0
dispersed_binary,22c8adae0cde4a6bf0d6b113c7f09eeeaf1ca59af8d988b161005316312660c1,adjoint,0,281,9.942104507913187e-07,True,CONVERGED,0.35030630000983365,float64,cuda:0
dispersed_binary,22c8adae0cde4a6bf0d6b113c7f09eeeaf1ca59af8d988b161005316312660c1,adjoint,1,290,9.359489875069157e-07,True,CONVERGED,0.3631139000062831,float64,cuda:0
dispersed_binary,22c8adae0cde4a6bf0d6b113c7f09eeeaf1ca59af8d988b161005316312660c1,adjoint,2,290,9.257775671238555e-07,True,CONVERGED,0.36624820000724867,float64,cuda:0
projected_beta_1,4da58741249cb0b649008df6967cceee46c1ceba726a834c4decd8b7babbfd5a,forward,0,292,9.755827098601684e-07,True,CONVERGED,0.369597499986412,float64,cuda:0
projected_beta_1,4da58741249cb0b649008df6967cceee46c1ceba726a834c4decd8b7babbfd5a,forward,1,298,9.961008434944852e-07,True,CONVERGED,0.3788961999962339,float64,cuda:0
projected_beta_1,4da58741249cb0b649008df6967cceee46c1ceba726a834c4decd8b7babbfd5a,forward,2,298,9.893841160187133e-07,True,CONVERGED,0.3948490999900969,float64,cuda:0
projected_beta_1,4da58741249cb0b649008df6967cceee46c1ceba726a834c4decd8b7babbfd5a,adjoint,0,279,9.046943404880545e-07,True,CONVERGED,0.3544469000044046,float64,cuda:0
projected_beta_1,4da58741249cb0b649008df6967cceee46c1ceba726a834c4decd8b7babbfd5a,adjoint,1,290,9.874208481034442e-07,True,CONVERGED,0.3665763000026345,float64,cuda:0
projected_beta_1,4da58741249cb0b649008df6967cceee46c1ceba726a834c4decd8b7babbfd5a,adjoint,2,290,9.490941526044007e-07,True,CONVERGED,0.36630320000404026,float64,cuda:0
projected_beta_2,ae18c99a52599c37a4bdbef50b406e7f68171f66c64c12b1e8cc46e5654fe891,forward,0,292,9.531141794996521e-07,True,CONVERGED,0.3747688000003109,float64,cuda:0
projected_beta_2,ae18c99a52599c37a4bdbef50b406e7f68171f66c64c12b1e8cc46e5654fe891,forward,1,303,9.815665146137303e-07,True,CONVERGED,0.38643450000381563,float64,cuda:0
projected_beta_2,ae18c99a52599c37a4bdbef50b406e7f68171f66c64c12b1e8cc46e5654fe891,forward,2,303,9.646439531766813e-07,True,CONVERGED,0.38508140000340063,float64,cuda:0
projected_beta_2,ae18c99a52599c37a4bdbef50b406e7f68171f66c64c12b1e8cc46e5654fe891,adjoint,0,287,9.912301954022427e-07,True,CONVERGED,0.3685166999930516,float64,cuda:0
projected_beta_2,ae18c99a52599c37a4bdbef50b406e7f68171f66c64c12b1e8cc46e5654fe891,adjoint,1,291,9.090444115395731e-07,True,CONVERGED,0.3705913000012515,float64,cuda:0
projected_beta_2,ae18c99a52599c37a4bdbef50b406e7f68171f66c64c12b1e8cc46e5654fe891,adjoint,2,290,9.885576308192164e-07,True,CONVERGED,0.3672441999951843,float64,cuda:0
projected_beta_4,2fe2008e420278fffaf5ca0eeef0c48a19ff763716fe3a11eba79f8cb708a048,forward,0,305,9.967153332904605e-07,True,CONVERGED,0.3876674999919487,float64,cuda:0
projected_beta_4,2fe2008e420278fffaf5ca0eeef0c48a19ff763716fe3a11eba79f8cb708a048,forward,1,307,9.093423310363907e-07,True,CONVERGED,0.3899498999962816,float64,cuda:0
projected_beta_4,2fe2008e420278fffaf5ca0eeef0c48a19ff763716fe3a11eba79f8cb708a048,forward,2,308,9.842892098203228e-07,True,CONVERGED,0.39196930000616703,float64,cuda:0
projected_beta_4,2fe2008e420278fffaf5ca0eeef0c48a19ff763716fe3a11eba79f8cb708a048,adjoint,0,287,9.493888783035449e-07,True,CONVERGED,0.3640732000058051,float64,cuda:0
projected_beta_4,2fe2008e420278fffaf5ca0eeef0c48a19ff763716fe3a11eba79f8cb708a048,adjoint,1,293,9.409573513594227e-07,True,CONVERGED,0.3747010999941267,float64,cuda:0
projected_beta_4,2fe2008e420278fffaf5ca0eeef0c48a19ff763716fe3a11eba79f8cb708a048,adjoint,2,291,9.900111918988649e-07,True,CONVERGED,0.3693359999888344,float64,cuda:0
projected_beta_8,2aad9ef23bd3ddf06d745c3fb486eed7d533ef5fe13f7f190b80c9a5f69f2674,forward,0,312,9.149386370530384e-07,True,CONVERGED,0.3951307000097586,float64,cuda:0
projected_beta_8,2aad9ef23bd3ddf06d745c3fb486eed7d533ef5fe13f7f190b80c9a5f69f2674,forward,1,321,9.118113421439708e-07,True,CONVERGED,0.40680510000674985,float64,cuda:0
projected_beta_8,2aad9ef23bd3ddf06d745c3fb486eed7d533ef5fe13f7f190b80c9a5f69f2674,forward,2,321,9.483372396520649e-07,True,CONVERGED,0.407786900002975,float64,cuda:0
projected_beta_8,2aad9ef23bd3ddf06d745c3fb486eed7d533ef5fe13f7f190b80c9a5f69f2674,adjoint,0,276,9.783278263842893e-07,True,CONVERGED,0.34997150000708643,float64,cuda:0
projected_beta_8,2aad9ef23bd3ddf06d745c3fb486eed7d533ef5fe13f7f190b80c9a5f69f2674,adjoint,1,306,9.574635599281224e-07,True,CONVERGED,0.3875436999951489,float64,cuda:0
projected_beta_8,2aad9ef23bd3ddf06d745c3fb486eed7d533ef5fe13f7f190b80c9a5f69f2674,adjoint,2,308,9.642972023616153e-07,True,CONVERGED,0.3898957000055816,float64,cuda:0
