role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,1,282,9.48933515879319e-07,True,CONVERGED,float64,cuda:0
forward,2,278,9.617351521781182e-07,True,CONVERGED,float64,cuda:0
adjoint,0,282,9.022581502784712e-07,True,CONVERGED,float64,cuda:0
adjoint,1,296,9.206117191191841e-07,True,CONVERGED,float64,cuda:0
adjoint,2,296,9.567994263426747e-07,True,CONVERGED,float64,cuda:0
forward,0,276,9.572083336663002e-07,True,CONVERGED,float64,cuda:0
forward,1,278,9.205701482598104e-07,True,CONVERGED,float64,cuda:0
forward,2,287,9.147423281980574e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.225338393388486e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.016454889766311e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.594026009946706e-07,True,CONVERGED,float64,cuda:0
forward,0,272,9.593082814882403e-07,True,CONVERGED,float64,cuda:0
forward,1,273,9.735198015843566e-07,True,CONVERGED,float64,cuda:0
forward,2,284,8.945505149497096e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.988548236627885e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.696070476986337e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.254814663994222e-07,True,CONVERGED,float64,cuda:0
forward,0,268,9.217288142699819e-07,True,CONVERGED,float64,cuda:0
forward,1,271,9.484433232235697e-07,True,CONVERGED,float64,cuda:0
forward,2,280,9.537703911254176e-07,True,CONVERGED,float64,cuda:0
adjoint,0,272,8.446022079372466e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.569373362184682e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.598159027832871e-07,True,CONVERGED,float64,cuda:0
forward,0,268,9.739614198262961e-07,True,CONVERGED,float64,cuda:0
forward,1,276,9.933748831977574e-07,True,CONVERGED,float64,cuda:0
forward,2,278,9.306997815021238e-07,True,CONVERGED,float64,cuda:0
adjoint,0,276,9.115300163345088e-07,True,CONVERGED,float64,cuda:0
adjoint,1,286,9.29893008958144e-07,True,CONVERGED,float64,cuda:0
adjoint,2,287,9.55801662133051e-07,True,CONVERGED,float64,cuda:0
forward,0,270,8.435411546257768e-07,True,CONVERGED,float64,cuda:0
forward,1,275,9.436426566545647e-07,True,CONVERGED,float64,cuda:0
forward,2,275,9.823804552417826e-07,True,CONVERGED,float64,cuda:0
adjoint,0,275,9.398690226918269e-07,True,CONVERGED,float64,cuda:0
adjoint,1,285,9.088407401481271e-07,True,CONVERGED,float64,cuda:0
adjoint,2,286,9.425281211942244e-07,True,CONVERGED,float64,cuda:0
forward,0,270,8.874632902066692e-07,True,CONVERGED,float64,cuda:0
forward,1,273,9.869100367842153e-07,True,CONVERGED,float64,cuda:0
forward,2,277,9.587394466880525e-07,True,CONVERGED,float64,cuda:0
adjoint,0,275,8.448894676413183e-07,True,CONVERGED,float64,cuda:0
adjoint,1,284,9.940380806418818e-07,True,CONVERGED,float64,cuda:0
adjoint,2,286,8.932672144139481e-07,True,CONVERGED,float64,cuda:0
forward,0,269,9.760715777210078e-07,True,CONVERGED,float64,cuda:0
forward,1,272,9.689414325671325e-07,True,CONVERGED,float64,cuda:0
forward,2,276,9.893840648021061e-07,True,CONVERGED,float64,cuda:0
adjoint,0,274,9.094183265386901e-07,True,CONVERGED,float64,cuda:0
adjoint,1,283,9.843322112190153e-07,True,CONVERGED,float64,cuda:0
adjoint,2,285,9.111345686288498e-07,True,CONVERGED,float64,cuda:0
forward,0,264,9.357539436486474e-07,True,CONVERGED,float64,cuda:0
forward,1,267,9.440344388551224e-07,True,CONVERGED,float64,cuda:0
forward,2,275,9.883443082269626e-07,True,CONVERGED,float64,cuda:0
adjoint,0,268,9.334147959935308e-07,True,CONVERGED,float64,cuda:0
adjoint,1,282,9.139439362385431e-07,True,CONVERGED,float64,cuda:0
adjoint,2,283,9.67525759390926e-07,True,CONVERGED,float64,cuda:0
forward,0,262,9.768049526964316e-07,True,CONVERGED,float64,cuda:0
forward,1,265,8.691608394733359e-07,True,CONVERGED,float64,cuda:0
forward,2,276,9.681022765219778e-07,True,CONVERGED,float64,cuda:0
adjoint,0,266,9.764943339364546e-07,True,CONVERGED,float64,cuda:0
adjoint,1,283,9.05650841150724e-07,True,CONVERGED,float64,cuda:0
adjoint,2,284,9.310550129701934e-07,True,CONVERGED,float64,cuda:0
forward,0,267,8.79930387744545e-07,True,CONVERGED,float64,cuda:0
forward,1,265,9.614387342864557e-07,True,CONVERGED,float64,cuda:0
forward,2,275,9.303519468568243e-07,True,CONVERGED,float64,cuda:0
adjoint,0,272,9.114814302597735e-07,True,CONVERGED,float64,cuda:0
adjoint,1,280,9.648838813599917e-07,True,CONVERGED,float64,cuda:0
adjoint,2,282,9.117181801799738e-07,True,CONVERGED,float64,cuda:0
forward,0,269,9.79948037441409e-07,True,CONVERGED,float64,cuda:0
forward,1,265,9.417792797357026e-07,True,CONVERGED,float64,cuda:0
forward,2,276,9.937000586813106e-07,True,CONVERGED,float64,cuda:0
adjoint,0,274,9.001191072329182e-07,True,CONVERGED,float64,cuda:0
adjoint,1,283,9.380147929283571e-07,True,CONVERGED,float64,cuda:0
adjoint,2,285,9.094472392703573e-07,True,CONVERGED,float64,cuda:0
forward,0,269,9.86091479699726e-07,True,CONVERGED,float64,cuda:0
forward,1,265,9.33437748120236e-07,True,CONVERGED,float64,cuda:0
forward,2,276,9.772085162724063e-07,True,CONVERGED,float64,cuda:0
adjoint,0,273,9.996825345523408e-07,True,CONVERGED,float64,cuda:0
