completed_updates,split_name,task_count,invalid_count,median_relative_gap,p90_relative_gap,worst_relative_gap,median_absolute_tmax
250,validation,32,0,0.2992384359359423,0.912576831705762,1.1990464808586998,0.21182337836127335
500,validation,32,0,0.257227789754909,0.8138803614852732,1.213680484576356,0.20919190855761727
750,validation,32,0,0.24642507629603788,0.5683001142998547,0.7369630713916058,0.2016732171917594
1000,validation,32,0,0.24760574205484348,0.5074358105781048,0.6011279550603207,0.20168388857419536
1250,validation,32,0,0.2408483628473788,0.37528169256883437,0.48573442429319696,0.20283786471589454
1500,validation,32,0,0.23459090475072641,0.4024566478225115,0.4872763999842177,0.20378622287368287
1750,validation,32,0,0.229346524167596,0.36318579135887175,0.4719211746244037,0.20295746411123708
2000,validation,32,0,0.2318967131493001,0.36286371986793975,0.483895153364,0.20337412412812594
