iteration,total_objective,exact_peak,gradient_norm_before_clipping,maximum_relative_residual,wall_seconds
0,0.7226592801483063,0.8265104999116007,0.015120051801204681,9.719859271173165e-07,0.8231628146022558
1,0.7125468670604861,0.8164261047844716,0.01626536436378956,9.968954768565992e-07,0.8295017834752798
2,0.7014096695052113,0.8053966758882505,0.017368698492646217,9.950911318463781e-07,0.8173524551093578
3,0.689310467867875,0.7933722753757501,0.01840677671134472,9.993856950552126e-07,0.8078098297119141
4,0.6763199146995363,0.7804075575592395,0.019359542056918144,9.84466027780256e-07,0.8048184663057327
5,0.6625125460219837,0.7666150410976028,0.020212041214108467,9.983255723336228e-07,0.8177476525306702
6,0.6479713285699826,0.7520302498360337,0.020948372781276703,9.681318462620318e-07,0.8522745538502932
7,0.6327945985362118,0.7367523151847717,0.02155224047601223,9.946112552264128e-07,0.8261643145233393
8,0.6170947448741722,0.720894108392091,0.02200903184711933,9.75229049910261e-07,0.8311690296977758
9,0.6009967463112983,0.7045719823690243,0.022303150966763496,9.95945474464547e-07,0.7905607726424932
10,0.5846399908101658,0.6879033968325633,0.02241218462586403,9.970506556803479e-07,0.8448369465768337
11,0.5681868091793232,0.6710065869109704,0.02229844219982624,9.898983447681534e-07,0.8285400439053774
12,0.5518374854120697,0.6540004642239202,0.021898673847317696,9.389672826404596e-07,0.8272833824157715
13,0.535851876713382,0.6370059216902112,0.021119123324751854,9.63630637329482e-07,0.8349654767662287
14,0.5205686965395108,0.6201944051571933,0.019854716956615448,9.931832236576858e-07,0.8260137122124434
15,0.5063966997295449,0.6038517762204995,0.018061339855194092,9.660740135751506e-07,0.862687973305583
16,0.493739357944831,0.5879278771087574,0.015874959528446198,9.894586878831083e-07,0.8114637322723866
17,0.4828507720513509,0.578019973869821,0.013659541495144367,9.702850370396918e-07,0.8472362365573645
18,0.47371541670082057,0.5740480863868362,0.01183308381587267,9.373841192429306e-07,0.7936172112822533
19,0.4660705278809643,0.5699744008862072,0.010591842234134674,9.795047986999685e-07,0.8218486197292805
20,0.45954984199749327,0.5658449470521064,0.009852561168372631,9.978034758780278e-07,0.8160537108778954
21,0.4538190944880529,0.5616988073550483,0.00942338164895773,9.705662638303741e-07,0.8229928575456142
22,0.44863185895892804,0.5575680916240281,0.009149711579084396,9.837659483843185e-07,0.8250865023583174
23,0.4438272546568226,0.5534788806520498,0.008944232016801834,9.903781065892229e-07,0.7859738115221262
24,0.4393057488913371,0.549451076069401,0.00876570213586092,9.975679865564955e-07,0.803490873426199
25,0.43500705831398684,0.5454994091989062,0.00859678816050291,9.835452573623005e-07,0.819197392091155
26,0.4308944179682267,0.5416343597172922,0.00843108631670475,9.676194103217615e-07,0.8322053644806147
27,0.4269444758180013,0.5378627419094878,0.008266895078122616,9.924247791801044e-07,0.8493130896240473
28,0.4231417098149449,0.5341886434611319,0.008104367181658745,9.999228852381487e-07,0.8420791570097208
