iteration,total_objective,thermal_smooth,exact_continuous_tmax,total_variation,binarization_penalty,continuous_material_fraction,binary_material_fraction,projection_absolute_error,material_logit_mean,material_logit_std,material_logit_minimum,material_logit_maximum,material_std,hidden_state_rms,delta_state_rms,maximum_absolute_delta,maximum_absolute_state,gradient_norm_before_clipping,gradient_norm_after_clipping,conv3x3_weight_gradient_norm,conv1x1_weight_gradient_norm,all_parameter_gradients_finite,maximum_cg_iterations,maximum_explicit_relative_residual,all_cg_converged,finite,wall_seconds
0,0.6644396611045551,0.6644396611045551,0.717857933544868,0.0,0.1874999701976776,0.24999994039535522,0.0,5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08699973830972338,0.08699973830972338,0.0,0.08699973672628403,True,294,9.880164372320056e-07,True,True,2.844710999983363
1,0.6638363147984235,0.6638360549276439,0.7170092570519694,0.00025987077970057726,0.18749412894248962,0.2499999701976776,0.0,2.9802322387695312e-08,0.0032630199566483498,0.006673080381006002,-0.0008307944517582655,0.023112736642360687,0.002426415216177702,0.0,2.9016186090302654e-05,0.0003615128807723522,0.023112736642360687,0.09640509335272619,0.09640509335272619,0.0021549584344029427,0.09638086706399918,True,294,9.977585883174825e-07,True,True,2.828498100017896
2,0.6630663029581216,0.6630657338584448,0.7159364447898303,0.0005690996767953038,0.18747198581695557,0.2499999701976776,0.0,2.9802322387695312e-08,0.0005259751342236996,0.01442064717411995,-0.006497054360806942,0.0434541180729866,0.005290495231747627,0.00724825682118535,0.00012330018216744065,0.0006897876155562699,0.0434541180729866,0.11275953893054019,0.11275953893054019,0.00482169957831502,0.11265572905540466,True,295,9.69094805664675e-07,True,True,2.8261691999796312
3,0.6620378234236074,0.6620368711042489,0.7145836341251932,0.0009523193584755063,0.18742288649082184,0.2499999701976776,0.0,2.9802322387695312e-08,-0.002268349751830101,0.02369888499379158,-0.012120000086724758,0.06832011044025421,0.008780143223702908,0.015591147355735302,0.0002535977982915938,0.0011191882658749819,0.06832011044025421,0.1348376527590043,0.1348376527590043,0.008331294171512127,0.13457804918289185,True,303,9.879911654380007e-07,True,True,2.8583497000217903
4,0.6606236738051828,0.6606222345662843,0.712762986217651,0.0014392388984560966,0.1873265951871872,0.2499999850988388,0.0,1.4901161193847656e-08,-0.004686044529080391,0.035127054899930954,-0.01931161992251873,0.10006161034107208,0.01316829677671194,0.024539778009057045,0.00039657301385886967,0.0017194136744365096,0.10006161034107208,0.16489493465845428,0.16489493465845428,0.013098621740937233,0.16436901688575745,True,305,9.948522777660843e-07,True,True,2.892884700006107
5,0.6586178734860467,0.6586157977452121,0.7102536983862354,0.002075740834698081,0.18714436888694763,0.25,0.0,0.0,-0.006501569412648678,0.04959322512149811,-0.027270721271634102,0.14163611829280853,0.018858563154935837,0.03500170633196831,0.0005659775342792273,0.00259471801109612,0.14163611829280853,0.20640959450459231,0.20640959450459231,0.01980503462255001,0.20544610917568207,True,305,9.601070301774979e-07,True,True,2.882433199993102
6,0.6556972880211637,0.6556943569108357,0.7067139086986446,0.002931110328063369,0.18679991364479065,0.25,0.0,0.0,-0.007317826151847839,0.06838210672140121,-0.036128509789705276,0.1974201202392578,0.026459041982889175,0.048231739550828934,0.0007829499081708491,0.003915894310921431,0.1974201202392578,0.26378645612674484,0.26378645612674484,0.029414884746074677,0.26211655139923096,True,305,9.991093957196637e-07,True,True,2.9644046999746934
7,0.6513635316521568,0.6513594164604029,0.7013847014692943,0.004115191753953695,0.18613582849502563,0.25,0.0,0.0,-0.006507697980850935,0.09346690028905869,-0.046133916825056076,0.27418115735054016,0.036934737116098404,0.06581252068281174,0.001076670945622027,0.005971566308289766,0.27418115735054016,0.34095358692806743,0.34095358692806743,0.043081607669591904,0.33816713094711304,True,304,9.87040204097917e-07,True,True,2.9349873999890406
8,0.6449215701720531,0.644915766316917,0.6933153351526186,0.005803855136036873,0.18481214344501495,0.2499999701976776,0.0,2.9802322387695312e-08,-0.002914023818448186,0.12797406315803528,-0.0575227253139019,0.3828577995300293,0.051844410598278046,0.09022773802280426,0.0014956325758248568,0.009269433096051216,0.3828577995300293,0.43562528984835935,0.43562528984835935,0.061335768550634384,0.4311739206314087,True,303,9.705797511357893e-07,True,True,3.078821600007359
9,0.6356606894289657,0.6356524145943626,0.681709576271556,0.008274834603071213,0.1820666790008545,0.2499999850988388,0.0,1.4901161193847656e-08,0.005353560671210289,0.17708471417427063,-0.07072491943836212,0.54160475730896,0.07371099293231964,0.12571538984775543,0.0021264348179101944,0.014727192930877209,0.54160475730896,0.5238126750703046,0.5238126750703046,0.0812901183962822,0.5172541737556458,True,300,9.872606075219417e-07,True,True,2.9199843000096735
