role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,1,289,9.86014940012432e-07,True,CONVERGED,float64,cuda:0
forward,2,277,8.801375608970204e-07,True,CONVERGED,float64,cuda:0
adjoint,0,289,9.193721880034121e-07,True,CONVERGED,float64,cuda:0
adjoint,1,296,9.036190482278112e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.870951844840945e-07,True,CONVERGED,float64,cuda:0
forward,0,281,8.891076533805421e-07,True,CONVERGED,float64,cuda:0
forward,1,287,9.463180747951827e-07,True,CONVERGED,float64,cuda:0
forward,2,275,9.822517837024057e-07,True,CONVERGED,float64,cuda:0
adjoint,0,287,9.606062940415736e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.360933214954672e-07,True,CONVERGED,float64,cuda:0
adjoint,2,291,9.879666958282584e-07,True,CONVERGED,float64,cuda:0
forward,0,277,9.96541678266664e-07,True,CONVERGED,float64,cuda:0
forward,1,284,9.065459455485337e-07,True,CONVERGED,float64,cuda:0
forward,2,276,9.659984985978672e-07,True,CONVERGED,float64,cuda:0
adjoint,0,281,8.877722230531648e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.297860287659642e-07,True,CONVERGED,float64,cuda:0
adjoint,2,292,9.121075837833748e-07,True,CONVERGED,float64,cuda:0
forward,0,276,9.771198968529047e-07,True,CONVERGED,float64,cuda:0
forward,1,281,9.667061182911353e-07,True,CONVERGED,float64,cuda:0
forward,2,277,9.713235756127915e-07,True,CONVERGED,float64,cuda:0
adjoint,0,276,8.630520371287066e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.618447197409172e-07,True,CONVERGED,float64,cuda:0
adjoint,2,288,8.861700003827286e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.736462563253722e-07,True,CONVERGED,float64,cuda:0
forward,1,279,9.486584799554368e-07,True,CONVERGED,float64,cuda:0
forward,2,278,9.229401898343085e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.102664586981163e-07,True,CONVERGED,float64,cuda:0
adjoint,1,287,9.71441327235523e-07,True,CONVERGED,float64,cuda:0
adjoint,2,284,9.844255507352157e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.469374954585859e-07,True,CONVERGED,float64,cuda:0
forward,1,279,9.14522513387356e-07,True,CONVERGED,float64,cuda:0
forward,2,277,9.725329878607872e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.328309503867498e-07,True,CONVERGED,float64,cuda:0
adjoint,1,286,9.78342945914075e-07,True,CONVERGED,float64,cuda:0
adjoint,2,284,9.035332175984958e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.683328475009238e-07,True,CONVERGED,float64,cuda:0
forward,1,279,8.895039196100645e-07,True,CONVERGED,float64,cuda:0
forward,2,276,9.964608681889578e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.505540161515472e-07,True,CONVERGED,float64,cuda:0
adjoint,1,286,9.374274618210774e-07,True,CONVERGED,float64,cuda:0
adjoint,2,284,8.514071321832278e-07,True,CONVERGED,float64,cuda:0
forward,0,272,8.706457625869929e-07,True,CONVERGED,float64,cuda:0
forward,1,277,9.32587581893652e-07,True,CONVERGED,float64,cuda:0
forward,2,275,9.715698749030933e-07,True,CONVERGED,float64,cuda:0
adjoint,0,276,9.486030308266154e-07,True,CONVERGED,float64,cuda:0
adjoint,1,285,9.235989125393385e-07,True,CONVERGED,float64,cuda:0
adjoint,2,282,9.244566603422746e-07,True,CONVERGED,float64,cuda:0
forward,0,270,9.486276664282244e-07,True,CONVERGED,float64,cuda:0
forward,1,277,9.297216033279504e-07,True,CONVERGED,float64,cuda:0
forward,2,273,9.395935755995705e-07,True,CONVERGED,float64,cuda:0
adjoint,0,273,9.61749768853358e-07,True,CONVERGED,float64,cuda:0
