learning_rate,iteration,total_objective,thermal_smooth,exact_continuous_tmax,total_variation,binarization_penalty,continuous_material_fraction,binary_material_fraction,projection_absolute_error,material_logit_mean,material_logit_std,material_logit_minimum,material_logit_maximum,material_std,hidden_state_rms,delta_state_rms,maximum_absolute_delta,maximum_absolute_state,gradient_norm_before_clipping,gradient_norm_after_clipping,conv3x3_weight_gradient_norm,conv1x1_weight_gradient_norm,all_parameter_gradients_finite,maximum_cg_iterations,maximum_explicit_relative_residual,all_cg_converged,finite,wall_seconds
0.0003,0,0.7078165659453859,0.7040665665414323,0.717857933544868,0.0,0.1874999701976776,0.24999994039535522,0.0,5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4756661292789428,0.4756661292789428,0.0,0.4756661355495453,True,294,9.880164372320056e-07,True,True,6.764260500000091
0.0003,1,0.7068702055618736,0.7031200689755309,0.7168272415455564,0.0003019892319571227,0.18749172985553741,0.25,0.0,0.0,0.0021057957783341408,0.001972278580069542,0.0010302248410880566,0.007939158007502556,0.0028746090829372406,0.0,1.1270231880189385e-05,0.00012407217582222074,0.007939158007502556,0.5275101806858175,0.5275101806858175,0.003336347872391343,0.5274995565414429,True,294,9.742767174806851e-07,True,True,5.942428899987135
0.0003,2,0.7057796233580315,0.7020297035536363,0.7156383062915201,0.0006237352499738336,0.18746480345726013,0.25,0.0,0.0,0.0011013615876436234,0.0040356977842748165,-0.00103485316503793,0.013042757287621498,0.005933709908276796,0.002199210925027728,3.706780989887193e-05,0.00020444356778170913,0.013042757287621498,0.5883094319657287,0.5883094319657287,0.00736279645934701,0.5882630348205566,True,296,9.950494731040082e-07,True,True,5.807767200021772
0.0003,3,0.7045198535915908,0.7007705835697917,0.7143518353564332,0.0009693502215668559,0.18741503357887268,0.25,0.0,0.0,-3.0174953280948102e-05,0.006213024724274874,-0.0031738916877657175,0.018359512090682983,0.009217681363224983,0.004663955420255661,7.461792847607285e-05,0.0002894142235163599,0.018359512090682983,0.6530993178262832,0.6530993178262832,0.012134263291954994,0.6529858112335205,True,303,9.962940671441604e-07,True,True,5.892171100014821
0.0003,4,0.7030688364370382,0.6993207481181837,0.7128592468124263,0.0013445205986499786,0.18733718991279602,0.2499999701976776,0.0,2.9802322387695312e-08,-0.0011173603124916553,0.008520318195223808,-0.0052256532944738865,0.024110011756420135,0.012758784927427769,0.007239399943500757,0.00011455419007688761,0.00038302107714116573,0.024110011756420135,0.7214685368061472,0.7214685368061472,0.017688356339931488,0.7212501764297485,True,304,9.910632581592e-07,True,True,6.4086111999931745
0.0003,5,0.7013987209790964,0.6976524788084086,0.7111284967417002,0.0017538121901452541,0.18722441792488098,0.24999995529651642,0.0,4.470348358154297e-08,-0.002201165072619915,0.010979610495269299,-0.007244670297950506,0.030322618782520294,0.01660006307065487,0.009922605007886887,0.00015636722673662007,0.00048653865815140307,0.030322618782520294,0.7930798272293945,0.7930798272293945,0.024061866104602814,0.7927121520042419,True,305,9.87776509453445e-07,True,True,7.111088400008157
0.0003,6,0.6994825955323333,0.6957390307699254,0.7092466678125084,0.0022008793894201517,0.18706819415092468,0.2499999850988388,0.0,1.4901161193847656e-08,-0.003307216102257371,0.013609062880277634,-0.009252214804291725,0.03702574968338013,0.020780229941010475,0.0127217136323452,0.0002001067769015208,0.0006126918597146869,0.0382511205971241,0.8672548259290672,0.8672548259290672,0.0312764011323452,0.8666865825653076,True,305,9.600414749800173e-07,True,True,5.761874199990416
0.0003,7,0.697286303338865,0.6935464676011263,0.7070678587872952,0.002694247756153345,0.18685707449913025,0.25,0.0,0.0,-0.004400262609124184,0.016437029466032982,-0.011218857951462269,0.04433959722518921,0.02535587176680565,0.015663709491491318,0.0002461611875332892,0.0007681938586756587,0.047517888247966766,0.9431616230950272,0.9431616230950272,0.039339907467365265,0.9423346519470215,True,305,9.516993070850497e-07,True,True,5.2046704000094905
0.0003,8,0.6947722163853716,0.691037450641302,0.7045418982937093,0.0032407997641712427,0.186576247215271,0.25,0.0,0.0,-0.005463824607431889,0.019496608525514603,-0.013452412560582161,0.052379950881004333,0.03039347566664219,0.01877860724925995,0.0002949932240881026,0.0009391048224642873,0.05745508894324303,1.019512900785527,0.9999990514335065,0.04822792112827301,1.0183627605438232,True,304,9.9932672416055e-07,True,True,5.395029999985127
0.0003,9,0.6919143758381369,0.6881863701604425,0.7016354140209936,0.003846079343929887,0.18620797991752625,0.2499999701976776,0.0,2.9802322387695312e-08,-0.006489913910627365,0.022810831665992737,-0.0158565491437912,0.061225373297929764,0.03594448044896126,0.022100770846009254,0.0003471359668765217,0.0011291091796010733,0.06820123642683029,1.0943573751272058,0.9999990527948784,0.05782246217131615,1.0928164720535278,True,304,9.623549051625972e-07,True,True,6.104626699991059
