role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,0,225,9.880164372320056e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.83771419594861e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.837714263042086e-07,True,CONVERGED,float64,cuda:0
adjoint,0,225,8.172633963253749e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.264873241594658e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.264873249774438e-07,True,CONVERGED,float64,cuda:0
forward,0,257,8.985825604145354e-07,True,CONVERGED,float64,cuda:0
forward,1,303,9.916510794196975e-07,True,CONVERGED,float64,cuda:0
forward,2,303,9.924280614038361e-07,True,CONVERGED,float64,cuda:0
adjoint,0,251,9.603981824668904e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.573614014910894e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.4221671642146e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.337020828556083e-07,True,CONVERGED,float64,cuda:0
forward,1,305,9.307826776352003e-07,True,CONVERGED,float64,cuda:0
forward,2,305,9.308066956700438e-07,True,CONVERGED,float64,cuda:0
adjoint,0,255,9.11541672966456e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.880912790839928e-07,True,CONVERGED,float64,cuda:0
adjoint,2,291,9.873870464098628e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.891645730655651e-07,True,CONVERGED,float64,cuda:0
forward,1,304,9.398959400451452e-07,True,CONVERGED,float64,cuda:0
forward,2,304,9.406104617159817e-07,True,CONVERGED,float64,cuda:0
adjoint,0,258,8.574439264727715e-07,True,CONVERGED,float64,cuda:0
adjoint,1,295,9.33026187896206e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.315339442873051e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.812137584204495e-07,True,CONVERGED,float64,cuda:0
forward,1,302,9.869222300219769e-07,True,CONVERGED,float64,cuda:0
forward,2,302,9.8811724247531e-07,True,CONVERGED,float64,cuda:0
adjoint,0,270,9.667802699927655e-07,True,CONVERGED,float64,cuda:0
adjoint,1,294,9.99884440583353e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.965063524685611e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.467446951173672e-07,True,CONVERGED,float64,cuda:0
forward,1,296,9.678251018615638e-07,True,CONVERGED,float64,cuda:0
forward,2,296,9.97833082724506e-07,True,CONVERGED,float64,cuda:0
adjoint,0,270,9.703338793736957e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.73496997543273e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.816369513600321e-07,True,CONVERGED,float64,cuda:0
forward,0,260,9.97643536155623e-07,True,CONVERGED,float64,cuda:0
forward,1,299,8.351371851030876e-07,True,CONVERGED,float64,cuda:0
forward,2,298,9.890752857129061e-07,True,CONVERGED,float64,cuda:0
adjoint,0,256,8.856699455361918e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.739035898822618e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.235521502658916e-07,True,CONVERGED,float64,cuda:0
forward,0,281,9.388515944263706e-07,True,CONVERGED,float64,cuda:0
forward,1,298,9.840169053528411e-07,True,CONVERGED,float64,cuda:0
forward,2,298,9.403213445320461e-07,True,CONVERGED,float64,cuda:0
adjoint,0,273,9.958434880794568e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.8569471703509e-07,True,CONVERGED,float64,cuda:0
adjoint,2,288,9.948753650141644e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.869220291777624e-07,True,CONVERGED,float64,cuda:0
forward,1,296,9.472996552009519e-07,True,CONVERGED,float64,cuda:0
forward,2,292,9.840425607415628e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.387901635289726e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.369289197123412e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.701108719187095e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.937865680797747e-07,True,CONVERGED,float64,cuda:0
forward,1,292,9.72753257944545e-07,True,CONVERGED,float64,cuda:0
forward,2,282,9.239242162189592e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.130184557756021e-07,True,CONVERGED,float64,cuda:0
adjoint,1,288,9.98955742534487e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.942036278432606e-07,True,CONVERGED,float64,cuda:0
forward,0,279,8.607901232085214e-07,True,CONVERGED,float64,cuda:0
forward,1,291,9.561772854883197e-07,True,CONVERGED,float64,cuda:0
forward,2,279,9.258923042912685e-07,True,CONVERGED,float64,cuda:0
adjoint,0,281,9.302806730424825e-07,True,CONVERGED,float64,cuda:0
adjoint,1,288,9.66617149132792e-07,True,CONVERGED,float64,cuda:0
adjoint,2,296,9.25389811047879e-07,True,CONVERGED,float64,cuda:0
