iteration,total_objective,exact_peak,gradient_norm_before_clipping,maximum_relative_residual,wall_seconds
0,0.6607944784170828,0.7671952595367779,0.01142980344593525,9.77244419762774e-07,0.8975765034556389
1,0.6539053047817606,0.7602073638101333,0.0123800253495574,9.905889780942571e-07,0.9606742952018976
2,0.6461675795243026,0.752318658490798,0.01332546304911375,9.871271098441122e-07,0.8566700667142868
3,0.637624496300922,0.743524505680294,0.014251199550926685,9.777642529908055e-07,0.8526460155844688
4,0.6283301651250632,0.7339112184422115,0.0151285445317626,9.997720445484453e-07,0.8942024689167738
5,0.6183486054003821,0.7237874957904172,0.01593755930662155,9.93275681789254e-07,0.8950508832931519
6,0.6077464710267526,0.7130865576502151,0.016666654497385025,9.939078593049883e-07,0.9022792764008045
7,0.5965935398839234,0.7018255364877986,0.017307069152593613,9.893605148845748e-07,0.8628641609102488
8,0.5849670891977918,0.6900767722807412,0.01785152405500412,9.71093218180584e-07,0.9454799853265285
9,0.572951426623448,0.6779168612847549,0.01829569786787033,9.90086608535742e-07,0.9544852823019028
10,0.5606347250903981,0.6654283101724863,0.01863878034055233,9.931456372216742e-07,0.9414597861468792
11,0.548104401819192,0.6526948067406049,0.018883269280195236,9.7661625426869e-07,0.9359918646514416
12,0.5354409925349526,0.6397934831591421,0.019034886732697487,9.589117222753156e-07,0.9344194456934929
13,0.5227116103975092,0.6267877032421605,0.019101271405816078,9.955925405506005e-07,0.9592143129557371
14,0.5099686319546086,0.613726456995516,0.019089456647634506,9.854552684259956e-07,0.9199686888605356
15,0.49725581745695935,0.600691200889482,0.019004369154572487,9.705775027426408e-07,0.8858507163822651
16,0.484616486138422,0.5878799420409235,0.0188490841537714,9.642849405615966e-07,0.859182907268405
17,0.47209730254356835,0.5751400081051022,0.018626075237989426,9.821092746769384e-07,0.8429625518620014
18,0.4597467078675576,0.562517291837803,0.018337924033403397,9.818133067768716e-07,0.8561861552298069
19,0.44761225328978693,0.550055596484268,0.017987605184316635,9.922828987066497e-07,0.8547851741313934
20,0.4357385083021921,0.5377945669933746,0.01757846400141716,9.945901697035646e-07,0.8386851865798235
21,0.42416654014660155,0.5257694132439494,0.017114203423261642,9.858664445988802e-07,0.8535714223980904
22,0.41293437500576263,0.5140117800941725,0.016599133610725403,9.906002652310914e-07,0.8672216832637787
23,0.40207708730740943,0.5025503594497094,0.016038576140999794,9.8152379263608e-07,0.8804991655051708
24,0.3916260094424366,0.4914108137926143,0.01543937623500824,9.972227514614525e-07,0.8668452110141516
25,0.3816075787905184,0.4806155250847979,0.014810283668339252,9.8665459413597e-07,0.86490498483181
26,0.37204212644882634,0.47018338235599055,0.014162053354084492,9.593764252454306e-07,0.8214129228144884
27,0.36294212827060507,0.46012888357521675,0.013507197611033916,9.991531384579991e-07,0.8279822636395693
28,0.35431166828507077,0.45046224143488683,0.01285923458635807,9.885365065680421e-07,0.8794658556580544
29,0.3461463641296289,0.44118950250837585,0.012231594882905483,9.788823023096687e-07,0.8764644637703896
30,0.33843374595254816,0.43231256400196727,0.011636294424533844,9.980925775068646e-07,0.8685628771781921
31,0.33115438245369505,0.4238294327652853,0.011082676239311695,9.921957856243002e-07,0.8753584157675505
