candidate_id,category,seed,representation,fidelity,scenario_id,peak_temperature,protected_zone_peak,normalized_residual,wall_seconds,source_hash,integrated_power
random_filtered_seed_9103,random,9103,binary,reference_256,A,0.5117722170462393,0.47805564311269866,2.3854948175971906e-11,0.20486279999022372,7c78f0971ecf036d6450fcb6af4d93c3944a0c01e6a0a71442f423c3d28f6f39,1.0
random_filtered_seed_9103,random,9103,binary,reference_256,B,0.5218829818933081,0.4440742908603032,2.385856840531268e-11,0.20457010000245646,f261e16618c55f0b25eebf8bfb4b9c18d6cd2ab537ace816aa489d24a494b825,1.0
random_filtered_seed_9103,random,9103,binary,reference_256,C,0.5791671539152953,0.47154736116893436,2.409382300637203e-11,0.20313679998798762,6319647686ca9ac3aa927953f9fa82c84dc41ed500f0c150a9f133d3a226fbfa,1.0
straight_path,straight,,binary,low_64,A,0.12769106279228526,0.12726688449069842,4.698627835414118e-13,0.008441899990430102,2a7498982a98bc364963bb9cfa47f760ec763e4d72c3246be34429114911768d,1.0
straight_path,straight,,binary,low_64,B,0.31669107132448493,0.12266394278596271,4.4640584770752956e-13,0.008063999994192272,93e1b6acfc80baa32dd0d2f336f5f448f61fd52ff1c4ddca26572745f41b8126,1.0
straight_path,straight,,binary,low_64,C,0.3166910713244851,0.12266394278596311,4.522760906065433e-13,0.008558800007449463,90aa528e3b0d25b185da75e1e8a1e6076a713a1a50a42bc2c9a40d321a002108,1.0
straight_path,straight,,binary,reference_128,A,0.12769774040887202,0.12722599285707417,2.0227560409772475e-12,0.03965319998678751,af53b90d5fc14784fb5c84b999ba237b24552a9cadbdcf0a0dd8c0a0ce9ef7e9,1.0
straight_path,straight,,binary,reference_128,B,0.3169917624167801,0.12318103192609525,1.8188304120184656e-12,0.03937539999606088,bbeb7c4ffc720580645cfb2e4e9848a8cc65f61cfcc6814354ce969350b03639,1.0
straight_path,straight,,binary,reference_128,C,0.31699176241677585,0.12318103192609534,1.8265604211995814e-12,0.03933850000612438,29c68d61bf482209936e516c42a14936fc5275bcb6b40cb0562162a10114f0c8,1.0
straight_path,straight,,binary,reference_256,A,0.12769793624923825,0.12724781818983236,8.060270556133302e-12,0.2060127000004286,7c78f0971ecf036d6450fcb6af4d93c3944a0c01e6a0a71442f423c3d28f6f39,1.0
straight_path,straight,,binary,reference_256,B,0.31694179815032125,0.12331232217350033,7.391204687431802e-12,0.20759209999232553,f261e16618c55f0b25eebf8bfb4b9c18d6cd2ab537ace816aa489d24a494b825,1.0
straight_path,straight,,binary,reference_256,C,0.31694179815031337,0.12331232217349844,7.413941205243471e-12,0.20403399999486282,6319647686ca9ac3aa927953f9fa82c84dc41ed500f0c150a9f133d3a226fbfa,1.0
evenly_dispersed_binary,dispersed,,binary,low_64,A,0.5934093229887448,0.5603708565155673,2.74075726186896e-13,0.008340500004123896,2a7498982a98bc364963bb9cfa47f760ec763e4d72c3246be34429114911768d,1.0
evenly_dispersed_binary,dispersed,,binary,low_64,B,0.6359154858683945,0.5402102169214853,2.7911054131969825e-13,0.008131099995807745,93e1b6acfc80baa32dd0d2f336f5f448f61fd52ff1c4ddca26572745f41b8126,1.0
evenly_dispersed_binary,dispersed,,binary,low_64,C,0.6384807082385527,0.5415580999351866,2.771068088451052e-13,0.008128899993607774,90aa528e3b0d25b185da75e1e8a1e6076a713a1a50a42bc2c9a40d321a002108,1.0
evenly_dispersed_binary,dispersed,,binary,reference_128,A,0.5634229715848683,0.5317052017754751,4.3772159296576665e-12,0.04109140000946354,af53b90d5fc14784fb5c84b999ba237b24552a9cadbdcf0a0dd8c0a0ce9ef7e9,1.0
evenly_dispersed_binary,dispersed,,binary,reference_128,B,0.6039563164679678,0.5177466950309421,4.338604384220079e-12,0.04012269999657292,bbeb7c4ffc720580645cfb2e4e9848a8cc65f61cfcc6814354ce969350b03639,1.0
evenly_dispersed_binary,dispersed,,binary,reference_128,C,0.6058161113219753,0.5227360374287013,4.237862692570749e-12,0.0397540999983903,29c68d61bf482209936e516c42a14936fc5275bcb6b40cb0562162a10114f0c8,1.0
evenly_dispersed_binary,dispersed,,binary,reference_256,A,0.544083054924187,0.5135943878356823,2.1422474857255522e-11,0.20488799999293406,7c78f0971ecf036d6450fcb6af4d93c3944a0c01e6a0a71442f423c3d28f6f39,1.0
evenly_dispersed_binary,dispersed,,binary,reference_256,B,0.5833190516349486,0.5019083261251784,2.170283058083174e-11,0.2049618000019109,f261e16618c55f0b25eebf8bfb4b9c18d6cd2ab537ace816aa489d24a494b825,1.0
evenly_dispersed_binary,dispersed,,binary,reference_256,C,0.5849495361189074,0.5049819453345219,2.1756926147835962e-11,0.20462489999772515,6319647686ca9ac3aa927953f9fa82c84dc41ed500f0c150a9f133d3a226fbfa,1.0
single_A_20260828,single_A,20260828,binary,low_64,A,0.10747811439157282,0.10524196719008255,3.3703803509991695e-13,0.008496000009472482,2a7498982a98bc364963bb9cfa47f760ec763e4d72c3246be34429114911768d,1.0
single_A_20260828,single_A,20260828,binary,low_64,B,0.31883616562366274,0.16267116747879876,3.2270858586001143e-13,0.008208700004615821,93e1b6acfc80baa32dd0d2f336f5f448f61fd52ff1c4ddca26572745f41b8126,1.0
single_A_20260828,single_A,20260828,binary,low_64,C,0.3162831596249778,0.16317451302446112,3.374571507167637e-13,0.00811260000045877,90aa528e3b0d25b185da75e1e8a1e6076a713a1a50a42bc2c9a40d321a002108,1.0
single_A_20260828,single_A,20260828,binary,reference_128,A,0.10727861674841237,0.1042575007155208,1.3283884108639174e-12,0.03940729999158066,af53b90d5fc14784fb5c84b999ba237b24552a9cadbdcf0a0dd8c0a0ce9ef7e9,1.0
single_A_20260828,single_A,20260828,binary,reference_128,B,0.31787591523731223,0.16721412117372317,1.2694260347490125e-12,0.03919169999426231,bbeb7c4ffc720580645cfb2e4e9848a8cc65f61cfcc6814354ce969350b03639,1.0
single_A_20260828,single_A,20260828,binary,reference_128,C,0.31511749696890007,0.16764775864057951,1.274773539501983e-12,0.03909590000694152,29c68d61bf482209936e516c42a14936fc5275bcb6b40cb0562162a10114f0c8,1.0
single_A_20260828,single_A,20260828,binary,reference_256,A,0.10718755478835461,0.10428145595037819,5.3303893626756595e-12,0.20420380000723526,7c78f0971ecf036d6450fcb6af4d93c3944a0c01e6a0a71442f423c3d28f6f39,1.0
single_A_20260828,single_A,20260828,binary,reference_256,B,0.3173623196911966,0.16779555617782413,5.0738607997926346e-12,0.2038207000005059,f261e16618c55f0b25eebf8bfb4b9c18d6cd2ab537ace816aa489d24a494b825,1.0
single_A_20260828,single_A,20260828,binary,reference_256,C,0.31459422717943425,0.16821050246307404,4.961052445930689e-12,0.20254460000433028,6319647686ca9ac3aa927953f9fa82c84dc41ed500f0c150a9f133d3a226fbfa,1.0
single_A_20260829,single_A,20260829,binary,low_64,A,0.10750994286623787,0.1052948189923909,3.254369710777713e-13,0.008703700004843995,2a7498982a98bc364963bb9cfa47f760ec763e4d72c3246be34429114911768d,1.0
single_A_20260829,single_A,20260829,binary,low_64,B,0.3189563497201179,0.16422273350997332,2.9885653043141504e-13,0.008138100005453452,93e1b6acfc80baa32dd0d2f336f5f448f61fd52ff1c4ddca26572745f41b8126,1.0
single_A_20260829,single_A,20260829,binary,low_64,C,0.31767456411712014,0.16369862462205145,3.2159092616902777e-13,0.00823839999793563,90aa528e3b0d25b185da75e1e8a1e6076a713a1a50a42bc2c9a40d321a002108,1.0
single_A_20260829,single_A,20260829,binary,reference_128,A,0.1073039540698043,0.10430616031351238,1.3561427187049688e-12,0.03910500000347383,af53b90d5fc14784fb5c84b999ba237b24552a9cadbdcf0a0dd8c0a0ce9ef7e9,1.0
