candidate_id,case_id,grid_ny,grid_nx,design_hash_64,material_fraction,scenario_A_peak,scenario_B_peak,scenario_C_peak,scenario_A_residual,scenario_B_residual,scenario_C_residual,worst_peak,k_high,wall_seconds
random_filtered_seed_9101,shift_A_1_left,256,256,2f1356721e17051c58c11cdfd1638307a7251dd5656a9beb2f26bab8ad08c9f2,0.25,0.523213809891925,0.5913331056800399,0.48862023716050934,2.2081583448567566e-11,2.0167822867762384e-11,2.2979324754731748e-11,0.5913331056800399,20.0,0.6325666000047931
random_filtered_seed_9102,shift_A_1_left,256,256,660787503acb6bb82e07527b29282439058c85dc59dbf2feb202033d290e8172,0.25,0.4549196966577719,0.4967316775543087,0.5415047970605279,2.1975481703744906e-11,2.300088622884863e-11,2.2048293027070123e-11,0.5415047970605279,20.0,0.6135829999984708
random_filtered_seed_9103,shift_A_1_left,256,256,248fe4585c1bac0ec2fd67aaff4e8498debf99c87b647a57a9d009e935d776dc,0.25,0.5117815555676164,0.5218829818933081,0.5791671539152953,2.3846052345097085e-11,2.385856840531268e-11,2.409382300637203e-11,0.5791671539152953,20.0,0.6111822999955621
straight_path,shift_A_1_left,256,256,57649ac473a6a76edb7273831f2b0574ad161b66d511727e536db316df5c6ce4,0.25,0.12771191661642634,0.31694179815032125,0.31694179815031337,7.961803403243994e-12,7.391204687431802e-12,7.413941205243471e-12,0.31694179815032125,20.0,0.6077953000058187
evenly_dispersed_binary,shift_A_1_left,256,256,b8833787d8d703775992a5d3ac5378d7d0b7e24496917de225ba10962a8c613b,0.25,0.544066814783715,0.5833190516349486,0.5849495361189074,2.1581889900498903e-11,2.170283058083174e-11,2.1756926147835962e-11,0.5849495361189074,20.0,0.6154606000054628
single_A_20260828,shift_A_1_left,256,256,2bcc42fcc0dc8d29413adb4db8ff40a96bbef715d2c382b91b644ba38c9be2d1,0.25048828125,0.1068360191225644,0.3173623196911966,0.31459422717943425,5.3088323271583665e-12,5.0738607997926346e-12,4.961052445930689e-12,0.3173623196911966,20.0,0.6089556999941124
single_A_20260829,shift_A_1_left,256,256,2d0de72cec5f92d16c3a0534c9bd67e6cf0d777b6fb9e573c0104fc44caa8d8a,0.250244140625,0.10768049903758142,0.317343319776924,0.31601846114328797,5.338593704164303e-12,4.967112853757618e-12,4.9419909453731396e-12,0.317343319776924,20.0,0.6080818000045838
single_A_20260830,shift_A_1_left,256,256,5019dafb2f1462cbfcd955a51960603d8c046303897e2835d9a5d8820f5596a5,0.25048828125,0.10755451106486526,0.3162283111856872,0.3211513095413453,5.222951712908316e-12,4.944675823429319e-12,4.9654942265296865e-12,0.3211513095413453,20.0,0.6067150000017136
robust_20260828,shift_A_1_left,256,256,f37d26b6f37ecf0a1e8831d1a8ec583d22c852a33bbeccd99a9c7052e38d0a99,0.2509765625,0.15614765124683383,0.15596395806562802,0.156506824943584,7.33691734201588e-12,7.525272489260482e-12,7.538390297996635e-12,0.156506824943584,20.0,0.6097462000034284
robust_20260829,shift_A_1_left,256,256,934d30af2703bd5357fbccaa7ae73c7f864bf016860b291a62fec01d06459387,0.2509765625,0.15732143919266967,0.15737556496888783,0.15562258325449235,7.40991964677891e-12,7.587633429414703e-12,7.309671493784678e-12,0.15737556496888783,20.0,0.613064499993925
