seed,case_id,candidate_id,candidate_peak,strongest_baseline_id,strongest_baseline_peak,relative_improvement,passed_two_percent,locked_baseline_count,reported_metrics_match
20260828,shift_A_1_left,robust_20260828,0.156506824943584,straight_path,0.31694179815032125,0.506196955223448,True,6,True
20260828,shift_A_1_right,robust_20260828,0.156506824943584,straight_path,0.31694179815032125,0.506196955223448,True,6,True
20260828,shift_A_1_up,robust_20260828,0.1600343040810046,straight_path,0.31694179815032125,0.49506721734095016,True,6,True
20260828,shift_A_1_down,robust_20260828,0.156506824943584,straight_path,0.31694179815032125,0.506196955223448,True,6,True
20260828,shift_A_2_left,robust_20260828,0.156506824943584,straight_path,0.31694179815032125,0.506196955223448,True,6,True
20260828,shift_A_2_right,robust_20260828,0.156506824943584,straight_path,0.31694179815032125,0.506196955223448,True,6,True
20260828,shift_A_2_up,robust_20260828,0.16399363315040447,straight_path,0.31694179815032125,0.482574926666427,True,6,True
20260828,shift_A_2_down,robust_20260828,0.156506824943584,straight_path,0.31694179815032125,0.506196955223448,True,6,True
20260828,shift_B_1_left,robust_20260828,0.15847191881037723,straight_path,0.3230678557488895,0.5094779131058075,True,6,True
20260828,shift_B_1_right,robust_20260828,0.156506824943584,single_A_20260828,0.31459422717943425,0.5025120888365264,True,6,True
20260828,shift_B_1_up,robust_20260828,0.1579876267764563,straight_path,0.3180985052399126,0.5033374122355567,True,6,True
20260828,shift_B_1_down,robust_20260828,0.156506824943584,single_A_20260828,0.31459422717943425,0.5025120888365264,True,6,True
20260828,shift_B_2_left,robust_20260828,0.1611364236649549,straight_path,0.3292221476108558,0.510554120267085,True,6,True
20260828,shift_B_2_right,robust_20260828,0.156506824943584,single_A_20260828,0.31459422717943425,0.5025120888365264,True,6,True
20260828,shift_B_2_up,robust_20260828,0.1603670739569576,straight_path,0.31927203731472387,0.49771024325918334,True,6,True
20260828,shift_B_2_down,robust_20260828,0.1566999668631989,single_A_20260828,0.31459422717943425,0.5018981490279465,True,6,True
20260828,shift_C_1_left,robust_20260828,0.15615495681263328,straight_path,0.31694179815032125,0.5073071531620102,True,6,True
20260828,shift_C_1_right,robust_20260828,0.15890243537369172,single_A_20260828,0.3207356372408214,0.5045688195403703,True,6,True
20260828,shift_C_1_up,robust_20260828,0.15785417364128965,single_A_20260828,0.3179786548465389,0.5035699056042855,True,6,True
20260828,shift_C_1_down,robust_20260828,0.1568754104315839,straight_path,0.31694179815032125,0.5050340114585329,True,6,True
20260828,shift_C_2_left,robust_20260828,0.15615495681263328,straight_path,0.31694179815032125,0.5073071531620102,True,6,True
20260828,shift_C_2_right,robust_20260828,0.16143659791968643,single_A_20260828,0.32688538424437047,0.5061369957152906,True,6,True
20260828,shift_C_2_up,robust_20260828,0.16032688327804615,straight_path,0.31927203731471576,0.4978361254981837,True,6,True
20260828,shift_C_2_down,robust_20260828,0.15726378629585136,straight_path,0.31694179815032125,0.5038086260201526,True,6,True
20260828,intensity_minus_5pct,robust_20260828,0.14868148369640485,straight_path,0.30109470824280515,0.5061969552234478,True,6,True
20260828,intensity_plus_5pct,robust_20260828,0.16433216619076324,straight_path,0.3327888880578373,0.5061969552234479,True,6,True
20260828,k_high_19,robust_20260828,0.16278897531630795,single_A_20260828,0.321466291111764,0.49360483566312335,True,6,True
20260828,k_high_21,robust_20260828,0.15124737493128632,straight_path,0.3124272149677813,0.5158956464567802,True,6,True
20260829,shift_A_1_left,robust_20260829,0.15737556496888783,straight_path,0.31694179815032125,0.5034559471570654,True,6,True
20260829,shift_A_1_right,robust_20260829,0.1576320815036557,straight_path,0.31694179815032125,0.5026465981337908,True,6,True
20260829,shift_A_1_up,robust_20260829,0.16140092248133867,straight_path,0.31694179815032125,0.4907553266142941,True,6,True
20260829,shift_A_1_down,robust_20260829,0.15737556496888783,straight_path,0.31694179815032125,0.5034559471570654,True,6,True
20260829,shift_A_2_left,robust_20260829,0.15737556496888783,straight_path,0.31694179815032125,0.5034559471570654,True,6,True
20260829,shift_A_2_right,robust_20260829,0.15780243708118472,straight_path,0.31694179815032125,0.5021091001498605,True,6,True
20260829,shift_A_2_up,robust_20260829,0.16540868524461055,straight_path,0.31694179815032125,0.47811022020465904,True,6,True
20260829,shift_A_2_down,robust_20260829,0.15737556496888783,straight_path,0.31694179815032125,0.5034559471570654,True,6,True
20260829,shift_B_1_left,robust_20260829,0.15895138075747742,straight_path,0.3230678557488895,0.5079938225701249,True,6,True
20260829,shift_B_1_right,robust_20260829,0.1574716324313547,single_A_20260829,0.31601846114328797,0.5017011605535461,True,6,True
20260829,shift_B_1_up,robust_20260829,0.1594320960732259,straight_path,0.3180985052399126,0.49879646258324656,True,6,True
20260829,shift_B_1_down,robust_20260829,0.1574716324313547,single_A_20260829,0.31601846114328797,0.5017011605535461,True,6,True
20260829,shift_B_2_left,robust_20260829,0.16074664543509165,straight_path,0.3292221476108558,0.5117380571094021,True,6,True
20260829,shift_B_2_right,robust_20260829,0.1574716324313547,single_A_20260829,0.31601846114328797,0.5017011605535461,True,6,True
20260829,shift_B_2_up,robust_20260829,0.16175970668599846,straight_path,0.31927203731472387,0.4933483431668553,True,6,True
20260829,shift_B_2_down,robust_20260829,0.1574716324313547,single_A_20260829,0.31601846114328797,0.5017011605535461,True,6,True
20260829,shift_C_1_left,robust_20260829,0.1574716324313547,straight_path,0.31694179815032125,0.5031528395738197,True,6,True
20260829,shift_C_1_right,robust_20260829,0.1578731914941484,single_A_20260829,0.3221731910816652,0.5099741509710832,True,6,True
20260829,shift_C_1_up,robust_20260829,0.1577974155405313,straight_path,0.31809850523990457,0.5039353755481399,True,6,True
20260829,shift_C_1_down,robust_20260829,0.1574716324313547,straight_path,0.31694179815032125,0.5031528395738197,True,6,True
20260829,shift_C_2_left,robust_20260829,0.1574716324313547,straight_path,0.31694179815032125,0.5031528395738197,True,6,True
20260829,shift_C_2_right,robust_20260829,0.16053372350980116,single_A_20260829,0.32833514719210355,0.5110675025726823,True,6,True
20260829,shift_C_2_up,robust_20260829,0.1602541103836644,straight_path,0.31927203731471576,0.4980640593159831,True,6,True
20260829,shift_C_2_down,robust_20260829,0.1574716324313547,straight_path,0.31694179815032125,0.5031528395738197,True,6,True
20260829,intensity_minus_5pct,robust_20260829,0.1495980508097869,straight_path,0.30109470824280515,0.50315283957382,True,6,True
20260829,intensity_plus_5pct,robust_20260829,0.16534521405292224,straight_path,0.3327888880578373,0.5031528395738203,True,6,True
20260829,k_high_19,robust_20260829,0.1641846172370824,single_A_20260829,0.3214381395497718,0.4892186177189472,True,6,True
20260829,k_high_21,robust_20260829,0.15257288230394536,straight_path,0.3124272149677813,0.5116530347086464,True,6,True
20260830,shift_A_1_left,robust_20260830,0.15663546358885735,straight_path,0.31694179815032125,0.50579108056121,True,6,True
20260830,shift_A_1_right,robust_20260830,0.15663546358885735,straight_path,0.31694179815032125,0.50579108056121,True,6,True
20260830,shift_A_1_up,robust_20260830,0.16000309766223555,straight_path,0.31694179815032125,0.4951656783800153,True,6,True
20260830,shift_A_1_down,robust_20260830,0.15663546358885735,straight_path,0.31694179815032125,0.50579108056121,True,6,True
20260830,shift_A_2_left,robust_20260830,0.15663546358885735,straight_path,0.31694179815032125,0.50579108056121,True,6,True
20260830,shift_A_2_right,robust_20260830,0.15663546358885735,straight_path,0.31694179815032125,0.50579108056121,True,6,True
20260830,shift_A_2_up,robust_20260830,0.16392832655976,straight_path,0.31694179815032125,0.4827809789795823,True,6,True
20260830,shift_A_2_down,robust_20260830,0.15663546358885735,straight_path,0.31694179815032125,0.50579108056121,True,6,True
20260830,shift_B_1_left,robust_20260830,0.15807320962468135,single_A_20260830,0.32239468351033435,0.509690395934788,True,6,True
20260830,shift_B_1_right,robust_20260830,0.15663546358885735,straight_path,0.31694179815031337,0.5057910805611977,True,6,True
20260830,shift_B_1_up,robust_20260830,0.15807447899297342,straight_path,0.3180985052399126,0.5030643766346771,True,6,True
20260830,shift_B_1_down,robust_20260830,0.15663546358885735,straight_path,0.31694179815031337,0.5057910805611977,True,6,True
20260830,shift_B_2_left,robust_20260830,0.16046937870686223,single_A_20260830,0.3285679528942897,0.5116097681063554,True,6,True
20260830,shift_B_2_right,robust_20260830,0.15663546358885735,straight_path,0.31694179815031337,0.5057910805611977,True,6,True
20260830,shift_B_2_up,robust_20260830,0.16047173144410534,straight_path,0.31927203731472387,0.4973824429042635,True,6,True
20260830,shift_B_2_down,robust_20260830,0.15663546358885735,straight_path,0.31694179815031337,0.5057910805611977,True,6,True
20260830,shift_C_1_left,robust_20260830,0.15615921571593164,single_A_20260830,0.3162283111856872,0.5061820520420262,True,6,True
20260830,shift_C_1_right,robust_20260830,0.15875898860434817,straight_path,0.3230678557488806,0.5085893388051861,True,6,True
20260830,shift_C_1_up,robust_20260830,0.15871406829047674,straight_path,0.31809850523990457,0.5010537123688235,True,6,True
20260830,shift_C_1_down,robust_20260830,0.15615921571593164,straight_path,0.31694179815032125,0.5072937156686812,True,6,True
20260830,shift_C_2_left,robust_20260830,0.15615921571593164,single_A_20260830,0.3162283111856872,0.5061820520420262,True,6,True
20260830,shift_C_2_right,robust_20260830,0.16116398283076414,straight_path,0.32922214761084695,0.5104704103283292,True,6,True
20260830,shift_C_2_up,robust_20260830,0.16107332850941067,straight_path,0.31927203731471576,0.4954981655639451,True,6,True
20260830,shift_C_2_down,robust_20260830,0.15615921571593164,single_A_20260830,0.3162283111856872,0.5061820520420262,True,6,True
20260830,intensity_minus_5pct,robust_20260830,0.14880369040941446,straight_path,0.30109470824280515,0.50579108056121,True,6,True
20260830,intensity_plus_5pct,robust_20260830,0.1644672367683002,straight_path,0.3327888880578373,0.50579108056121,True,6,True
20260830,k_high_19,robust_20260830,0.16331916659447965,straight_path,0.32187504039581927,0.4926007111528709,True,6,True
20260830,k_high_21,robust_20260830,0.15123710583905217,straight_path,0.3124272149677813,0.5159285152074594,True,6,True
