task_index,task_id,family,resolution,design_hash_64,transferred_design_hash,material_fraction,scenario_peaks,worst_peak,maximum_normalized_residual,wall_seconds,validation_accessed,test_id_accessed,test_ood_accessed
4,0f050ab14547e6e284f6566d25e74c57ea62d046ded41ebaf4e801533115cc35,SENS_UNET_BEST4_R25,256,aba163b8b737906f438809125ecd629d8cfc47ced0be027f6ad9899a9a1cf947,cdcc712505bddc2f5fdccba3df2ee3e7c9620b046b74378e3ae01ae93fbd8568,0.25,"(0.13710258977778111, 0.15915480876151877, 0.15961600823304256)",0.15961600823304256,7.792052210397967e-12,1.0832159999990836,True,False,False
5,f0f63c6a8bd3208f35b547bf28e88af7f3ecfffceb100ccc304505f42b3c32ff,REFERENCE,256,358d370aae3817d0f86bc2e043a36486525ac97704036dcbcde32b07ddbfd650,592486fb0717c7631e398bf08a79d59c9486756b732897e9d92419973021e9d5,0.25,"(0.1286532660551323, 0.12845871783127916, 0.12874959917793188)",0.12874959917793188,5.7757272569469856e-12,1.0899185999878682,True,False,False
5,f0f63c6a8bd3208f35b547bf28e88af7f3ecfffceb100ccc304505f42b3c32ff,FIELD_UNET_BEST4_R25,256,9234b034fd03090d05a52689df153a77942304ac92ea12a4125aa01232a52c33,6240a9dcfb20376be60e4134f31a6abd3cf0f48e64a67a678872b2cb4c768ec4,0.25,"(0.11644261356792093, 0.11667032952390571, 0.11773513057551836)",0.11773513057551836,5.578006603595585e-12,1.081031300011091,True,False,False
5,f0f63c6a8bd3208f35b547bf28e88af7f3ecfffceb100ccc304505f42b3c32ff,SENS_UNET_BEST4_R25,256,6b2c9016fb48985e6bce7bf5b1a80caeb943999c85b84365640c3fe9f04b9d77,da9f1b9a79a8699d7e4632988ffe3e5ee2cd49b6d5e6b1adccd9770d6a2f41d1,0.25,"(0.12000324035115505, 0.11850429596557834, 0.12092223034274266)",0.12092223034274266,5.571290535781899e-12,1.1044178000302054,True,False,False
6,ca65d9ce246df633c8807cb3d4d344809e2a59719834f085852b2881fc57062d,REFERENCE,256,9f1f730491e2e2faf4ab40731e7a86a8e8242398f01d30402e8bc968c3722807,6027be4aa2ed3a699748d9f22fdc2e29598b3894db4039e837db0e410a1ff82e,0.25,"(0.1256737006823567, 0.12822545632964463, 0.12524649237134572)",0.12822545632964463,6.401822378516668e-12,1.0862538000219502,True,False,False
6,ca65d9ce246df633c8807cb3d4d344809e2a59719834f085852b2881fc57062d,FIELD_UNET_BEST4_R25,256,0333cae7d4d28fa7c9e66211de6484a2915e34f54e357656f13ed897c3d9ff61,1b7c73e12bbffa421b21efbebe68ead496c93a0954316a3302d52759a59f0dcc,0.25,"(0.126606003280103, 0.12811738317378665, 0.12884671189174907)",0.12884671189174907,6.449096731373247e-12,1.0932244000141509,True,False,False
6,ca65d9ce246df633c8807cb3d4d344809e2a59719834f085852b2881fc57062d,SENS_UNET_BEST4_R25,256,02de8e79173a1b79fd2cc0b90ae0981e50977b2525edf2155285317f59ad1776,61665126182b28cfa8f745b9e39f8541fc1de86eded58fd468a674aa7fa067e4,0.25,"(0.12660515215396667, 0.12816743846849304, 0.12596162924294654)",0.12816743846849304,6.4322984543505115e-12,1.0796721000224352,True,False,False
7,050dd427b5bf0bf9dcef75ec4864547280b28aa793a5611a5ab2956002d9fff8,REFERENCE,256,df3a5c3a4659d32891305ec746513b273992144c2be8ab93505aa0f2e0fcd408,20b54bfdcff581fac25e7e9c83d6f7111e799a7be9bfc506dbd9927b0b09bc54,0.25,"(0.1552205828280694, 0.154899831597303, 0.15232133488746386)",0.1552205828280694,7.584839044566674e-12,1.092651700018905,True,False,False
7,050dd427b5bf0bf9dcef75ec4864547280b28aa793a5611a5ab2956002d9fff8,FIELD_UNET_BEST4_R25,256,f83f8d52dd86142bea89f00b404a65e95e3b6af5fb44baa4dd9103762496d00f,73f5a966180b330c9292e42acf8c4e5a2766f1ffefaf9b82d4ac364228cae14d,0.25,"(0.14770924526690193, 0.1493155208808704, 0.11567487017049942)",0.1493155208808704,7.397745322212031e-12,1.0913113999995403,True,False,False
7,050dd427b5bf0bf9dcef75ec4864547280b28aa793a5611a5ab2956002d9fff8,SENS_UNET_BEST4_R25,256,0883fc84071832702e57eedb8f15af29081c964f2213242b7fabb07ad21bcce8,726b24e08a7a8b93645bdccbf019f9336221802cb309cce13642b3eaa8ae134b,0.25,"(0.14840591765794972, 0.1496877164791241, 0.12734245823364052)",0.1496877164791241,7.674485500576718e-12,1.0743959000101313,True,False,False
8,46ed40b69c025bd39164d640cf34e9724ae4682637bca1284cb4b7957e942984,REFERENCE,256,c391b699d4859fb5c44627a5293a15b99e8b99c9c4a1bc45801bb74bafee3d2c,f7124f28c6cd796c8c58e49d28728edb5dc86420f2ae154727e2b8ae38cc0e53,0.25,"(0.17549781930412764, 0.11942894512250443, 0.17554302996729407)",0.17554302996729407,8.476475471246685e-12,1.101155899988953,True,False,False
8,46ed40b69c025bd39164d640cf34e9724ae4682637bca1284cb4b7957e942984,FIELD_UNET_BEST4_R25,256,cf4095f3c160c2986a2c0a71bd223a307258372ce26d6023183b11c07b9265a0,bdedd12533560e9c850769d7fe1bc811794b4ee5504d8df3024121acba74ac82,0.25,"(0.16509803775893586, 0.16829942066737788, 0.16494797338497827)",0.16829942066737788,7.616464404519257e-12,1.092147700022906,True,False,False
8,46ed40b69c025bd39164d640cf34e9724ae4682637bca1284cb4b7957e942984,SENS_UNET_BEST4_R25,256,63fc9e41086fa27c382c37c7a7b11fc30f8f2d01fe81639c64af6fdee1c9dd35,19745739108c8ebd11e659b51479d0af355fcc0d46491c54f2992b30dd14caf0,0.25,"(0.16592676605572532, 0.16584511180279052, 0.16576133811597796)",0.16592676605572532,7.837012596994819e-12,1.1068458000081591,True,False,False
9,569242322c9b5b2eee171be6732698fe9a21a5f2c1d9b84af8c8d8d97c8baa45,REFERENCE,256,75c7045aa2ccf83908707d63c99a0da4064d764f0ba39c9751a6476987462a93,c8d93a46cd4e11e159194094835e3c8d425d7fcf4dc347a1d372563d0f6121d3,0.25,"(0.13257466509443366, 0.1336646591583031, 0.13343163783890402)",0.1336646591583031,6.6841798601507265e-12,1.095964499982074,True,False,False
9,569242322c9b5b2eee171be6732698fe9a21a5f2c1d9b84af8c8d8d97c8baa45,FIELD_UNET_BEST4_R25,256,48c2f10ac680bc1af82f80d41115ba9b03ad1e699deee9fbb9f743f2c61e9a72,de97256fbb43ca926c3d389da661cb9ce28a0c405caf0dd6a54e36087bd7607f,0.25,"(0.11549063808731098, 0.13268204198316533, 0.1314017005509449)",0.13268204198316533,6.723421163292911e-12,1.0917046999675222,True,False,False
9,569242322c9b5b2eee171be6732698fe9a21a5f2c1d9b84af8c8d8d97c8baa45,SENS_UNET_BEST4_R25,256,6abc2b52e8de93998776e09d96e138d49dd4cdf6dfdcefee8d38cf892b42d798,5c8c23c49a12850d2586d7a3a230d8f6a08c1bb8fb27e696f0ac470c99b9c6ff,0.25,"(0.12971196759918957, 0.13179713097418982, 0.13065702651014505)",0.13179713097418982,6.4062897222692514e-12,1.1014151999843307,True,False,False
10,d11fc9871c9f86468d4481918ceac9d3a8e08383a0e8e44d8ae90a668774d241,REFERENCE,256,3986bd05099e1a71b76cf6eab1bafeeda467e4cc1cef78f21860f8da1e7efb63,05e07bd4b85cf4413f7d05620615fef609d7fa17d475257dcdf31cf99585ced6,0.25,"(0.18779594704156088, 0.14868615707676047, 0.18553748799735664)",0.18779594704156088,8.639817530272657e-12,1.104888400004711,True,False,False
10,d11fc9871c9f86468d4481918ceac9d3a8e08383a0e8e44d8ae90a668774d241,FIELD_UNET_BEST4_R25,256,97fc9e66e2e60c598e8709eb12b0c20fd87ca95ed90d5a361b43978429b504aa,7e46ebd7b2ac95864a438b377925f05d995fdbb2e5f354488f1e41a7225d1a4e,0.25,"(0.1642090457585826, 0.1346921452291037, 0.1669729648912263)",0.1669729648912263,8.013033333230889e-12,1.0897102000308223,True,False,False
10,d11fc9871c9f86468d4481918ceac9d3a8e08383a0e8e44d8ae90a668774d241,SENS_UNET_BEST4_R25,256,58f2f9bcd353831c41c13fdb6d1517bdb487dd4b97b0aa46a559d78f1532e91a,7b94fd67860478d298093cec8dca49c83e3d5bf54c7fe1a5bde9288d8fcbaa39,0.25,"(0.17109455145220448, 0.132506978108201, 0.17193158009707732)",0.17193158009707732,8.549237883695089e-12,1.087097400042694,True,False,False
11,63011dbf6f9e9901fb8178b0af3d4847297f44cd71ef646910bea41baffc802e,REFERENCE,256,d55f6c7bbc98630c62ff2cd4e15587e4ae2784061d755cc57ed736bc8240f8da,db44c0233e1047132741644db4963b2593b782b8dfecd21a350d53258cd5d33f,0.25,"(0.1805665748703055, 0.17998106954755638, 0.17921431442172236)",0.1805665748703055,8.971639570093581e-12,1.10142119997181,True,False,False
11,63011dbf6f9e9901fb8178b0af3d4847297f44cd71ef646910bea41baffc802e,FIELD_UNET_BEST4_R25,256,e0670f80befd276a9fee32d3b200c3edd088fd956ab88c93feeb83bc1f05d75d,b5d72ff7d8994113528ebd6b0000cf0d9dab9e6fe821e9118afc2e198db1c114,0.25,"(0.160640385089665, 0.16076730971960354, 0.16199332280545992)",0.16199332280545992,7.979566275740886e-12,1.0867270999588072,True,False,False
11,63011dbf6f9e9901fb8178b0af3d4847297f44cd71ef646910bea41baffc802e,SENS_UNET_BEST4_R25,256,e0ace2e9870138f87d5aff094cb2bf273ae4a6b500f5ed5bf2a405f80b1e5146,eda24200103b33a279db8a163ffab898e44ab20a3eec55d8cfe7d1398c39f827,0.25,"(0.16379843996007906, 0.16158928113505644, 0.16353029997162274)",0.16379843996007906,8.225028208843421e-12,1.08988019998651,True,False,False
12,231ccab8ef938da783182ba3c69514454c399cdc8f359442fd2ebcc6a4cf6967,REFERENCE,256,9db9ce99eb72e89aeb79ab2dbec4a029a23d8d6fad8db3f50b5640f9350905dd,3f41f07faa94320ffdbbedc4f33f2050bd4862de620893a9d43d44859b323f83,0.25,"(0.1416958540473751, 0.14118049194442184, 0.13928724747219276)",0.1416958540473751,6.352029295310162e-12,1.0914979999652132,True,False,False
12,231ccab8ef938da783182ba3c69514454c399cdc8f359442fd2ebcc6a4cf6967,FIELD_UNET_BEST4_R25,256,3358997eaf887377f52cef16afcf4d2f58d3f942a314ffe86dd06b8e8679bf10,de4e521cac3ec23e08b5bcc5f71220a83cea84991c3bb72a6aef6af8c33410e1,0.25,"(0.13219898346116835, 0.13062486777953994, 0.13417472646843068)",0.13417472646843068,6.3943528151081135e-12,1.0925803999998607,True,False,False
12,231ccab8ef938da783182ba3c69514454c399cdc8f359442fd2ebcc6a4cf6967,SENS_UNET_BEST4_R25,256,1080cd6e69db7016475bf187b347b495bb84441145a82f94869451b3c585b599,2796eba251083c5e81a8b389fb177753613220535a399c4d9efa4ea267813fc6,0.25,"(0.13437625117253552, 0.1328594441274309, 0.13583338564471245)",0.13583338564471245,6.728721252552761e-12,1.0874961000517942,True,False,False
13,66bc814a14e3750de55feaa939f6c3b0803be6f11f3c8469ea8fcd5604bf4f76,REFERENCE,256,eae4aef6e72c4ace4de1a52a92beb4c71583fb8f56aa78d637a0620a71baaadc,e9c3d25ae19261f6b6b259b1893c8983011ad35c8a5e6f418f48f8f707b80929,0.25,"(0.10563803379713724, 0.10524227985816438, 0.10652862698390686)",0.10652862698390686,4.86861464611961e-12,1.0913473999826238,True,False,False
13,66bc814a14e3750de55feaa939f6c3b0803be6f11f3c8469ea8fcd5604bf4f76,FIELD_UNET_BEST4_R25,256,adab4b4de2e23b446e2a27aa66462b69ae2a11a44d547be6f9383cbde75304bf,2738f3392365eb516e583fb8b63ccffada9e4543112da5f50881a1dab35c8280,0.25,"(0.10249626788479128, 0.09864713656226516, 0.10092421250512738)",0.10249626788479128,4.7805746248301775e-12,1.0971069000079297,True,False,False
13,66bc814a14e3750de55feaa939f6c3b0803be6f11f3c8469ea8fcd5604bf4f76,SENS_UNET_BEST4_R25,256,b81db5141d85dbb0985035f6e676a6b5c8ad4e2e92554a187cf4c3cbe5496016,4e7ceaa23648212d3515cf3a68e5d55c589cae9515be4c07ac46ff1b325f2c9f,0.25,"(0.10307322089119828, 0.09589384923400286, 0.10219915599579159)",0.10307322089119828,4.8978478593802045e-12,1.1121334999916144,True,False,False
14,4dc3e3682dd538e657a5e36d181f5886be516d4ca9f0765666d2fe443069ba07,REFERENCE,256,d2e697964f40e9aa62ce45a9353ebba8ccb1a730599de2553618663a09c30d28,a12e94fc0710c78c3750e55e104c771b22f8b2e84d4bcd7a7373050962f7a61f,0.25,"(0.15771686016325753, 0.15790634501109338, 0.1587639548049939)",0.1587639548049939,7.715989138241665e-12,1.1032598000019789,True,False,False
14,4dc3e3682dd538e657a5e36d181f5886be516d4ca9f0765666d2fe443069ba07,FIELD_UNET_BEST4_R25,256,56a7572aa72e068bc96e5bcd7ec0adb4b356bd1514b09d594ce6a8a636a3627d,e17f5976ba550d34dff339763a7c563ab17b648e414362e5834e21311e18c09b,0.25,"(0.14939255397001228, 0.14844775897188822, 0.1491260436862337)",0.14939255397001228,7.594271595998947e-12,1.10042929998599,True,False,False
14,4dc3e3682dd538e657a5e36d181f5886be516d4ca9f0765666d2fe443069ba07,SENS_UNET_BEST4_R25,256,e1a29a40b5ca6833b3f4b8403c3bc75fafb41e844897ca6d5edc0489f9912bf0,5214611ce0105be937ab05d1388c4220e44fa534496470be8b769a36aa6ed9c1,0.25,"(0.1488887416275819, 0.15025999871805262, 0.15078420096952497)",0.15078420096952497,7.740722842793586e-12,1.094431999954395,True,False,False
15,3dc71a8026cf176a7c2304ab6ef2b151580f3d0ea66c3fc8a469e7f1f9f6a6ee,REFERENCE,256,1eabff9bae35beed7e586d194406810d79de69ef98fb62215af1746500f0842e,8870039062d38346db2434d37bea90e865cac3c7a209328c8680a0072226425e,0.25,"(0.17538734297058545, 0.1373196773668741, 0.17461415871817573)",0.17538734297058545,8.213638555164525e-12,1.094036500027869,True,False,False
15,3dc71a8026cf176a7c2304ab6ef2b151580f3d0ea66c3fc8a469e7f1f9f6a6ee,FIELD_UNET_BEST4_R25,256,b8c0dbc0058ef99fe331ddb3cc968504a57283f62a50a78d294634a83fd126a9,52f4ca4e93910566b57c3a70fb588c47762f92e771ce532a428a036729fe4805,0.25,"(0.16157763930626404, 0.16184181056393687, 0.16310464215814163)",0.16310464215814163,8.138341377878716e-12,1.0976585000171326,True,False,False
15,3dc71a8026cf176a7c2304ab6ef2b151580f3d0ea66c3fc8a469e7f1f9f6a6ee,SENS_UNET_BEST4_R25,256,d306d6183b2ce756d9e4b3b8b5c2c6b650a42f9b6d32d9b672d7978d11a16a8f,d88e0ecde355b9ea0e0a1dcc150d32bab095c40b73426ff62dc59dc47435d24c,0.25,"(0.164951402893831, 0.15076678817837375, 0.1656044111864313)",0.1656044111864313,8.248006116667549e-12,1.1096920000272803,True,False,False
16,2af2b400deeac908e49ee1451a4f8af6a1d2ec2e8958918eb34e36b663e6d4ad,REFERENCE,256,248a76da39b6d3c1a05b721074b12532fff2a8538426adedf08af8204a0f398f,0cd75e58679c91f2c9c1009795bedde4024f2048d3ded286318007c510411b7c,0.25,"(0.1609843716208371, 0.10995845316593285, 0.16289573576456745)",0.16289573576456745,8.050803982865939e-12,1.100129900034517,True,False,False
16,2af2b400deeac908e49ee1451a4f8af6a1d2ec2e8958918eb34e36b663e6d4ad,FIELD_UNET_BEST4_R25,256,e7e6ca0c215266c29e70609f665f4e9d66e32f17bc80ce14484daa7abbb81559,0c7147abf0065cbf73441cc053f0338f5a63042c64b4a5aab46a2b5808543302,0.25,"(0.15562600643334876, 0.14124570475665066, 0.15275861792679912)",0.15562600643334876,7.797992545217102e-12,1.102212600002531,True,False,False
16,2af2b400deeac908e49ee1451a4f8af6a1d2ec2e8958918eb34e36b663e6d4ad,SENS_UNET_BEST4_R25,256,c72f09b5e7c5b508ee8d1622ad0049714d656cf00baf08a7a2af240e41084124,a42ef102c8010425c0bd88781500e597331144eb4e988d99c83bc77091b6969b,0.25,"(0.15614810813602958, 0.1526426580936692, 0.15560204786244)",0.15614810813602958,7.760935476906136e-12,1.1083112999913283,True,False,False
17,75f39e4eebb06b6785de01fb2a31fc571a2ec3456d92dbf09fce5f79d455196c,REFERENCE,256,9ef97a8b2a117bd78e70bd4ad8345e33f73f9203c2a3c882e96cdad37d736d0b,8306ab924db5625d7331ccd84af59b00ddc50eae5e2de08ed279137a7081d908,0.25,"(0.1844516346100665, 0.18409288801426643, 0.1835635578700912)",0.1844516346100665,9.02597484065777e-12,1.1153793000266887,True,False,False
17,75f39e4eebb06b6785de01fb2a31fc571a2ec3456d92dbf09fce5f79d455196c,FIELD_UNET_BEST4_R25,256,9d8eb2cdcf54d77e809afa3ffffcb7d1a659f50bf0a5962a9e0bba3ad4e4fb0c,a1b7cadcdcf38f4c2c97df7c0843a7c480bb306ebcf29c6e963bd975c268b865,0.25,"(0.1745102728150819, 0.1665539492298193, 0.1757064460231363)",0.1757064460231363,8.573102153461794e-12,1.1333167000557296,True,False,False
17,75f39e4eebb06b6785de01fb2a31fc571a2ec3456d92dbf09fce5f79d455196c,SENS_UNET_BEST4_R25,256,09d218c089f93ed76caf781ea03967cb5315f4914a317fd6aec0eb17d816f9a2,5ed6f339f3a10a33bf79fd5cd44165b7ae90967b3b12e2cfa8ac3d2e6a42f2c3,0.25,"(0.17670633844474615, 0.16444793072767644, 0.17595450512142108)",0.17670633844474615,8.857141673056954e-12,1.0970343999797478,True,False,False
18,f4ece7d737b76e01c5014072c3532767f34501ca99a6451cbad28a872cabfc78,REFERENCE,256,d9dab6d97c6f93a9dc403f1d08d06b2a3f01ab73d881903df0b5d41d3b6fa909,c67069f6c7fb3d92de1cb093f308a5dd3e9d96b09b8fb85d48d1f2f8c427aa7e,0.25,"(0.15396494935815658, 0.10576093333932542, 0.15345121593151897)",0.15396494935815658,7.490945315008463e-12,1.1181186999892816,True,False,False
18,f4ece7d737b76e01c5014072c3532767f34501ca99a6451cbad28a872cabfc78,FIELD_UNET_BEST4_R25,256,279b9a95dbec055f237278a841cbb24f1c19600d784576433321e0847413c5fe,4798ef9a6aea74da7d0f94195612049d03f219bd6cd527758614c412ecd4eea9,0.25,"(0.1476525125149431, 0.14786980616807302, 0.14765257560574804)",0.14786980616807302,7.111066055993118e-12,1.123165600001812,True,False,False
18,f4ece7d737b76e01c5014072c3532767f34501ca99a6451cbad28a872cabfc78,SENS_UNET_BEST4_R25,256,5167a838b03ae62968ceb74ea98f0de51d28d326e17adcc2b829b45bfcc3511a,838da46b0746bd2163a585a8cad73f11e085d5109167e30c6c437ac19b754352,0.25,"(0.14872779133119152, 0.1396143643504652, 0.14893162671310808)",0.14893162671310808,7.261841808757734e-12,1.1111443000263534,True,False,False
19,dcdae30491623e954cd149a0efb86d707466306eb0a513eed3def915f8e71443,REFERENCE,256,13fff5d34c60ff35071a818f0a1edb83c832469ee3b1a6031c748a8fa6abdf5a,8aff685f468009604574ca4061218c4579c07a9ebaea34c89d40e2d94fa5fc1d,0.25,"(0.15655435878495477, 0.15725532264461844, 0.15651428981467688)",0.15725532264461844,7.96490838345454e-12,1.1136812000186183,True,False,False
