seed,comparator_id,comparator_tmax_256,nca_tmax_256,nca_relative_improvement
20260911,parametric_branching_tree,0.1650978093408512,0.1893982971956948,-0.14718843303774093
20260911,waveforge_20260828,0.156506824943584,0.1893982971956948,-0.21015998672241396
20260911,waveforge_20260829,0.1574716324313547,0.1893982971956948,-0.20274549943627218
20260911,waveforge_20260830,0.15663546358885735,0.1893982971956948,-0.20916612915217303
20260912,parametric_branching_tree,0.1650978093408512,0.15483529959128456,0.06216018123159504
20260912,waveforge_20260828,0.156506824943584,0.15483529959128456,0.010680207415248385
20260912,waveforge_20260829,0.1574716324313547,0.15483529959128456,0.016741636568855526
20260912,waveforge_20260830,0.15663546358885735,0.15483529959128456,0.011492697479403092
20260913,parametric_branching_tree,0.1650978093408512,0.1611499978371461,0.023911955703510773
20260913,waveforge_20260828,0.156506824943584,0.1611499978371461,-0.029667542583116168
20260913,waveforge_20260829,0.1574716324313547,0.1611499978371461,-0.023358908198242427
20260913,waveforge_20260830,0.15663546358885735,0.1611499978371461,-0.028821916473134437
