role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
adjoint,0,279,9.26086229909473e-07,True,CONVERGED,float64,cuda:0
forward,0,281,9.875409662924132e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,8.914964773219146e-07,True,CONVERGED,float64,cuda:0
forward,0,281,9.673801148990724e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,8.588241752187862e-07,True,CONVERGED,float64,cuda:0
forward,0,281,9.489341751154054e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,8.228262041978128e-07,True,CONVERGED,float64,cuda:0
forward,0,281,9.293172021255992e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.815277937842781e-07,True,CONVERGED,float64,cuda:0
forward,0,280,9.959561451664023e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.149234583283908e-07,True,CONVERGED,float64,cuda:0
forward,0,279,9.933138190672812e-07,True,CONVERGED,float64,cuda:0
adjoint,0,277,9.589910968831485e-07,True,CONVERGED,float64,cuda:0
forward,0,279,9.414716790988694e-07,True,CONVERGED,float64,cuda:0
adjoint,0,276,9.938095043346933e-07,True,CONVERGED,float64,cuda:0
forward,0,278,9.421909374533204e-07,True,CONVERGED,float64,cuda:0
adjoint,0,277,9.67903629328417e-07,True,CONVERGED,float64,cuda:0
forward,0,277,9.908149208197096e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,8.667581459873735e-07,True,CONVERGED,float64,cuda:0
forward,0,277,9.69607241429558e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.013933687015114e-07,True,CONVERGED,float64,cuda:0
forward,0,277,9.505069594233531e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.247960807542167e-07,True,CONVERGED,float64,cuda:0
forward,0,277,9.030502870467225e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.408642452107922e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.8452989475542e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.511086158155273e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.70539494652086e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.585141256203677e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.542486101894862e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.654824504858767e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.261722118458529e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.72564743344338e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.974078773983806e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.799773466259293e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.594006868603428e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.871974656137868e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.253020356998501e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.896708160398974e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.95765037053642e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.609188464005523e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.812393302334067e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.992727141842784e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.74522300535349e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,8.3707391950412e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.728666313562485e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,8.521281221050552e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.748732691973996e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,8.653689887121624e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.768423132418133e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,8.773742110763784e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.764513622921635e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,8.884439065704797e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.72289180455586e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,8.986803093972032e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.632806816070864e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.081691060150562e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.473090706477636e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.170500931249946e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.266379930647343e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.255302264789378e-07,True,CONVERGED,float64,cuda:0
forward,0,270,9.892375483893362e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.338533226275869e-07,True,CONVERGED,float64,cuda:0
forward,0,270,9.799544732462967e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.422639099192814e-07,True,CONVERGED,float64,cuda:0
forward,0,270,9.744451979201695e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.509505307929157e-07,True,CONVERGED,float64,cuda:0
forward,0,270,9.761158466511629e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.6002183500816e-07,True,CONVERGED,float64,cuda:0
forward,0,270,9.872851578842233e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.69499784066282e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.450564250894559e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.793288432726883e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.686577519563829e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.8945008908269e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.98069437164525e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.997667345771627e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.834360045753426e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.211290021861231e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.161613538734468e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.337592916870664e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.283658890812404e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.449367475708282e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.36455878538089e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.524546950850048e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.453243432388843e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.614512093402516e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.545800353599266e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.71532856986514e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.624917286331778e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.801876300802944e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.68090466220286e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.877402946462367e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.709879244517474e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.943910837423123e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.711071296121086e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.002030889070292e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.685894548200725e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.052139035454675e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.637122894833646e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.094606895260109e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.56890311298404e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.129865035058233e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.486075360380381e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.158384276262709e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.394010149734517e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.180677080656356e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.298032690796212e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.197262437629786e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.202885708189675e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.208677710837986e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.111868136707032e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.215445922263378e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.115236666360628e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.218111030298972e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.968853159746713e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.217035401539123e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.909110073215046e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.212714767228662e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.862736981125823e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.205468803127107e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.828493405874856e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.195556547576817e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.805125611714574e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.183141070042193e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.791288628244275e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.168318602791105e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.785598757190895e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.151117714754235e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.786762814275256e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.131592150446672e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.79383212815747e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.109866985972698e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.806449611356902e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.086323459195591e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.824609210767257e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.06166225998577e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.848634453150368e-07,True,CONVERGED,float64,cuda:0
