iteration,beta,alpha,binarization_weight,total_objective,thermal_smooth,exact_peak,total_variation,binarization_penalty,continuous_material_fraction,binary_material_fraction,gradient_norm_before_clipping,best_exact_peak,maximum_cg_iterations,maximum_explicit_relative_residual,wall_seconds
0,1.0,50.0,0.0,0.5847353380467655,0.5847292505158955,0.6684588775373795,0.006087530869990587,0.1873520016670227,0.25,0.0,0.012085886672139168,0.6684588775373795,292,9.755827098601684e-07,1.2279428000038024
1,1.0,50.0,0.0,0.5771809468599673,0.577174454583757,0.6607019642847448,0.006492276210337877,0.18727214634418488,0.2499999701976776,0.0,0.012683984823524952,0.6607019642847448,292,9.579322357278123e-07,0.7770482000050833
2,1.0,50.0,0.0,0.5692232103370066,0.5692162236914906,0.6525617172341118,0.006986645516008139,0.18704742193222046,0.25,0.0,0.01325683668255806,0.6525617172341118,291,9.982255419712086e-07,0.7935703000111971
3,1.0,50.0,0.0,0.5608948937855674,0.56088738432862,0.644259404028497,0.0075094569474458694,0.1866832971572876,0.2499999850988388,0.0,0.013796559534966946,0.644259404028497,292,9.982519518389606e-07,0.7999597000016365
4,1.0,50.0,0.0,0.5522295637746945,0.5522215247286155,0.6355695252691724,0.008039046078920364,0.18618670105934143,0.2500000298023224,0.0,0.014299746602773666,0.6355695252691724,291,9.962457090223373e-07,0.7926244999980554
5,1.0,50.0,0.0,0.543259047661451,0.5432504690704023,0.626524301335186,0.008578591048717499,0.18556496500968933,0.2499999701976776,0.0,0.01476470660418272,0.626524301335186,291,9.62580973866625e-07,0.862282599991886
6,1.0,50.0,0.0,0.5340081376653159,0.5339990167539561,0.6171479748403641,0.009120911359786987,0.1848263144493103,0.2499999850988388,0.0,0.015192518942058086,0.6171479748403641,291,9.303262114821639e-07,0.8295868999994127
7,1.0,50.0,0.0,0.5244922998897215,0.5244826418064018,0.6074556491065263,0.009658083319664001,0.1839790940284729,0.2499999701976776,0.0,0.015585036017000675,0.6074556491065263,291,9.603479350612401e-07,0.8433934999920893
8,1.0,50.0,0.0,0.5147149469273848,0.5147047564497901,0.5974597575017221,0.010190477594733238,0.1830310821533203,0.25,0.0,0.015944376587867737,0.5974597575017221,291,9.142960137850239e-07,0.8961359999957494
9,1.0,50.0,0.0,0.504672909481808,0.5046621898528034,0.5871551570865604,0.010719629004597664,0.18198738992214203,0.2499999850988388,0.0,0.016269689425826073,0.5871551570865604,290,9.87997351547183e-07,0.8526216000027489
10,1.0,50.0,0.0,0.4943656744821577,0.49435442373665256,0.5765322018032281,0.011250745505094528,0.18085062503814697,0.25,0.0,0.01655673235654831,0.5765322018032281,290,9.274942830432476e-07,0.8157117999944603
11,1.0,50.0,0.0,0.48379989006196755,0.4837881074325522,0.5655981610721303,0.011782629415392876,0.179622083902359,0.25,0.0,0.016799796372652054,0.5655981610721303,290,9.451909384137465e-07,0.8924237999890465
12,1.0,50.0,0.0,0.47298849692478634,0.4729761832049475,0.5543679431864991,0.01231371983885765,0.17830248177051544,0.2499999850988388,0.0,0.01699291728436947,0.5543679431864991,289,9.926810409372336e-07,0.8266625000105705
13,1.0,50.0,0.0,0.46195206887116297,0.46193921555047496,0.5430349721052543,0.012853320688009262,0.17689162492752075,0.25,0.0,0.017130305990576744,0.5430349721052543,289,9.66551921824446e-07,0.8552262000011979
14,1.0,50.0,0.0,0.45072276798530403,0.4507093757957864,0.531556983773302,0.013392189517617226,0.17538860440254211,0.25,0.0,0.017207106575369835,0.531556983773302,288,9.686639024774465e-07,0.8333819999970729
15,1.0,50.0,0.0,0.4393445048093448,0.43933058373477557,0.51988985480727,0.013921074569225311,0.17379267513751984,0.2499999850988388,0.0,0.017220288515090942,0.51988985480727,288,9.846044141653165e-07,0.8726169000001391
16,1.0,50.0,0.0,0.427870139624192,0.42785570324697964,0.5080907484007952,0.014436377212405205,0.1721043884754181,0.2499999701976776,0.0,0.017169220373034477,0.5080907484007952,288,8.992764498720553e-07,0.8137134999997215
17,1.0,50.0,0.0,0.4163574364478949,0.41634249583773947,0.49622156045779214,0.014940610155463219,0.17032575607299805,0.2499999850988388,0.0,0.017055688425898552,0.49622156045779214,288,9.036052178727985e-07,0.864669699993101
18,1.0,50.0,0.0,0.40486485519466187,0.40484942295608306,0.4843445221434021,0.015432238578796387,0.16846045851707458,0.2499999701976776,0.0,0.016883516684174538,0.4843445221434021,288,9.137881164394344e-07,0.8933132999954978
19,1.0,50.0,0.0,0.39344811311513206,0.3934322004817428,0.4725186928130304,0.015912633389234543,0.16651350259780884,0.2499999701976776,0.0,0.01665809378027916,0.4725186928130304,288,9.27690356825598e-07,0.9054119999927934
20,1.0,50.0,0.0,0.38215777268480955,0.3821413933284253,0.46079760437688555,0.016379356384277344,0.16449081897735596,0.25,0.0,0.016385791823267937,0.46079760437688555,288,9.399994005534009e-07,0.8475615000061225
21,1.0,50.0,0.0,0.371038399319264,0.37102156540295755,0.4492285914143707,0.016833916306495667,0.1623988151550293,0.25,0.0,0.016073472797870636,0.4492285914143707,288,9.509324784352119e-07,0.8203924000117695
22,1.0,50.0,0.0,0.36012795604265646,0.3601106834138127,0.4378524166596527,0.017272628843784332,0.16024404764175415,0.25,0.0,0.015727870166301727,0.4378524166596527,288,9.59195462547599e-07,0.8299232999997912
23,1.0,50.0,0.0,0.3494592443593308,0.3494415482618376,0.4267049302740139,0.017696097493171692,0.1580330729484558,0.25,0.00341796875,0.015355116687715054,0.4267049302740139,288,9.641528192119298e-07,0.856200499998522
24,1.0,50.0,0.0,0.33906189258547376,0.33904379065113016,0.4158191168247945,0.01810193434357643,0.15577241778373718,0.2499999850988388,0.0302734375,0.014960605651140213,0.4158191168247945,288,9.66008082230878e-07,0.8494145999866305
25,1.0,50.0,0.0,0.3289630771578316,0.32894458733694887,0.40522559353514115,0.018489820882678032,0.15346893668174744,0.2499999701976776,0.08642578125,0.01454905141144991,0.40522559353514115,288,9.955046473202607e-07,0.8306829999928595
26,1.0,50.0,0.0,0.31918776041530394,0.3191689007885786,0.3949525777918511,0.018859626725316048,0.15113012492656708,0.25,0.1611328125,0.014124752953648567,0.3949525777918511,288,9.615985954281602e-07,0.8350829999981215
27,1.0,50.0,0.0,0.30975847380728533,0.30973926421375086,0.38502547917463165,0.019209593534469604,0.1487640142440796,0.2499999850988388,0.23828125,0.013691850937902927,0.38502547917463165,288,9.568140825792068e-07,0.8575091999955475
28,1.0,50.0,0.0,0.3006937886554086,0.3006742484200084,0.3754652098775082,0.01954023540019989,0.1463792473077774,0.25,0.2783203125,0.013254381716251373,0.3754652098775082,288,9.50938569200997e-07,0.8297102000069572
