iteration,total_objective,exact_peak,gradient_norm_before_clipping,maximum_relative_residual,wall_seconds
0,0.6475861071463559,0.7507697628512688,0.014333600178360939,9.75984015807216e-07,0.7630683444440365
1,0.637944159425334,0.7411576804374271,0.015463941730558872,9.78619796638897e-07,0.7526030670851469
2,0.6273197155822323,0.7305036806752253,0.01654084399342537,9.830536271313722e-07,0.7425076309591532
3,0.6157857307830654,0.7188638565405061,0.0175185464322567,9.762390805415532e-07,0.7952425144612789
4,0.6034431835207521,0.7063115271545486,0.01834237389266491,9.92145558836691e-07,0.7588233537971973
5,0.5904301390759025,0.6929344818181562,0.01894221641123295,9.877192803716577e-07,0.7747815288603306
6,0.5769393038050649,0.678835557593539,0.019222768023610115,9.84849446256702e-07,0.7699499689042568
7,0.5632393240090118,0.6641306084160916,0.019061889499425888,9.910456171178082e-07,0.7782342284917831
8,0.5496914336997941,0.6489556392823,0.01833176054060459,9.826274347561348e-07,0.770772410556674
9,0.536746110353371,0.6334778961887276,0.016980810090899467,9.93053340817174e-07,0.7718183752149343
10,0.5248634698470089,0.6179648561306756,0.015181134454905987,9.77633932949929e-07,0.7869836054742336
11,0.5143452873185561,0.6084575641437671,0.01337649580091238,9.996672501933619e-07,0.7807581853121519
12,0.5052001390787543,0.604215782894221,0.012031971476972103,9.971180555505084e-07,0.7551625594496727
13,0.4971740991543434,0.5996174514799024,0.011298132129013538,9.79976358504486e-07,0.7996712513267994
14,0.4899185315930349,0.5946537509987841,0.011017058044672012,9.980808516614331e-07,0.7972851227968931
15,0.4831364490631659,0.5893977422631843,0.010971265845000744,9.860562300232345e-07,0.7640485726296902
16,0.4766293465502951,0.5839190347591614,0.011019857600331306,9.847024281273707e-07,0.7679283674806356
17,0.4702819904802104,0.5782774881453231,0.011095920577645302,9.854424060349325e-07,0.8166637681424618
18,0.46403359169282177,0.5725217997368398,0.01117294654250145,9.963008098832501e-07,0.7892996836453676
19,0.45785487838003863,0.5666904971371594,0.01124236173927784,9.814256148490597e-07,0.8121556714177132
20,0.45173345587573066,0.5608134842579939,0.011302788741886616,9.942179921156035e-07,0.7850941009819508
21,0.4456652290230961,0.5549134159705448,0.011355357244610786,9.950511987855235e-07,0.762690581381321
