iteration,total_objective,exact_peak,gradient_norm_before_clipping,maximum_relative_residual,wall_seconds
0,0.6636569946764713,0.7621742521606912,0.011317805387079716,9.739740817709876e-07,0.81141590885818
1,0.656472563510929,0.7535754265530108,0.011808286421000957,9.815075072928583e-07,0.7381701823323965
2,0.6487049951972128,0.744146477256985,0.012298617511987686,9.97543699910262e-07,0.8421522974967957
3,0.6403851698017613,0.7339162882070227,0.012790384702384472,9.839820261545234e-07,0.8014465346932411
4,0.6315521055921279,0.7229501836644462,0.013286374509334564,9.725706346821796e-07,0.8217140343040228
5,0.6222459391638947,0.7138712808035829,0.01378670148551464,9.774916262792666e-07,0.8255437389016151
6,0.6125029909209977,0.7059075847485922,0.014282293617725372,9.880908995784609e-07,0.8181442078202963
7,0.602360508794443,0.6971220384931947,0.014751387760043144,9.891440315491776e-07,0.8164025917649269
8,0.5918638931171876,0.6878644022156742,0.015163459815084934,9.946546850896434e-07,0.8198917079716921
9,0.5810748212486945,0.6779166841955201,0.015483473427593708,9.823339589749663e-07,0.8777889255434275
10,0.5700741513624514,0.6673696168839788,0.015678422525525093,9.76841830246197e-07,0.813411695882678
11,0.5589610762073822,0.6563221073707632,0.015722179785370827,9.988087715346218e-07,0.8243518956005573
12,0.5478483452345944,0.6448762586577864,0.015600383281707764,9.884788765152442e-07,0.8057406097650528
13,0.5368554258736847,0.633135299434463,0.0153149189427495,9.86546742727631e-07,0.817449139431119
14,0.526098748221063,0.6212021556199051,0.014885874465107918,9.98619328093577e-07,0.809051463380456
15,0.515681912895528,0.6091782347368437,0.014352882280945778,9.823106678689507e-07,0.8049266077578068
16,0.505683510613627,0.5971600779819266,0.01377086527645588,9.986808283380324e-07,0.7644694093614817
17,0.49614958295064826,0.587784327430432,0.013198603875935078,9.991364632632031e-07,0.7876073159277439
18,0.48709231758698945,0.5819053028708571,0.01268486026674509,9.921521904249122e-07,0.7989806849509478
19,0.47849445164916177,0.5758732503970226,0.01225842535495758,9.518340864589206e-07,0.7917395755648613
20,0.47031840103985906,0.569732554544077,0.011926379054784775,9.975437826905497e-07,0.8240763023495674
21,0.4625161931477408,0.5635197792954028,0.01167940441519022,9.70608982666378e-07,0.8269458431750536
22,0.45503752017454746,0.5573112714225764,0.011499892920255661,9.987972654268796e-07,0.8270071242004633
23,0.4478357223304088,0.551137401051497,0.011368641629815102,9.827379452680705e-07,0.7863774709403515
24,0.4408700146460765,0.5449566434087469,0.011268659494817257,9.998385457684106e-07,0.7973871901631355
25,0.43410640836434755,0.5387818697380478,0.011186436749994755,9.89292825678104e-07,0.8055717349052429
26,0.42751732176119767,0.5326222325680441,0.011111823841929436,9.744226185679354e-07,0.85901072435081
27,0.42108102090845795,0.5264842515938575,0.011037352494895458,9.518717915728409e-07,0.7844020090997219
28,0.4147806706552239,0.5204646374959173,0.010957621969282627,9.986045203093982e-07,0.8310852516442537
29,0.4086038701324566,0.5144848220339373,0.010868707671761513,9.883113088768865e-07,0.8244986943900585
30,0.4025418958875383,0.5085394349598263,0.010767853818833828,9.851664188463763e-07,0.822902899235487
31,0.3965894858491941,0.5026322302548457,0.010653290897607803,9.775798134934876e-07,0.8012827876955271
32,0.39074408621059725,0.49676744370690873,0.010524104349315166,9.893984114164711e-07,0.8042940068989992
33,0.38500572685230083,0.49095033077498446,0.01038030069321394,9.856317582426194e-07,0.7968640364706516
34,0.3793762805849973,0.48518704398875584,0.010222741402685642,9.957506394905145e-07,0.7976295817643404
35,0.37385901877786143,0.47948468827168816,0.010053090751171112,9.62705168324932e-07,0.75697329826653
36,0.3684579726617391,0.4738511371565813,0.00987384095788002,9.759057505937294e-07,0.7707604318857193
37,0.363177303053214,0.4682948093477889,0.009688150137662888,9.818682529437706e-07,0.7849836554378271
38,0.3580208778122862,0.46282453751003216,0.009499672800302505,9.925155043618448e-07,0.8310906756669283
39,0.3529915597691876,0.45744910932346206,0.009312252514064312,9.824803900559827e-07,0.7999794818460941
40,0.3480909932363868,0.4521771221540279,0.009129599668085575,9.861707573333493e-07,0.7944658994674683
41,0.34331923775377,0.44701657351387797,0.008954927325248718,9.929222701079787e-07,0.7917602080851793
42,0.3386747679184474,0.44197464985627477,0.008790596388280392,9.747747850559458e-07,0.7625786010175943
43,0.3341545886484501,0.4370574606975994,0.008637906052172184,9.809819371821653e-07,0.7900291793048382
44,0.3297546200688617,0.4322699242253938,0.00849700253456831,9.810980652483379e-07,0.7925587520003319
45,0.32547005292821274,0.42761557834697156,0.008366979658603668,9.75588591895994e-07,0.7987411934882402
46,0.321295775952026,0.4230964785922535,0.008246147073805332,9.891717781903587e-07,0.7832997422665358
47,0.3172269521415619,0.4187133074538627,0.008132340386509895,9.956594959984477e-07,0.7918413635343313
48,0.3132594074286426,0.41446545533662826,0.00802331231534481,9.92353561580042e-07,0.761938076466322
49,0.3093896688582676,0.41035097331109205,0.007917005568742752,9.990891249272284e-07,0.8269301224499941
50,0.3056152860799087,0.4063669043316276,0.007811815477907658,9.95783883900878e-07,0.7845323961228132
51,0.30193470645368675,0.4025093938692091,0.0077066486701369286,9.59207607713673e-07,0.7853268571197987
52,0.2983471945092791,0.39877393285093465,0.007600950542837381,9.740240095771071e-07,0.851840553805232
53,0.2948524900594673,0.3951554354540866,0.007494580000638962,9.993119215557638e-07,0.8357203397899866
54,0.29145076779580026,0.3916485748349002,0.007387672550976276,9.971793698344555e-07,0.8125175926834345
55,0.288142234942132,0.3882478071320993,0.00728053692728281,9.810722133566027e-07,0.7725397795438766
56,0.2849270258281987,0.38494759534554307,0.007173467893153429,9.750715259466116e-07,0.8234989121556282
57,0.2818049733736126,0.38174245834481285,0.00706665450707078,9.990359959287074e-07,0.7693209275603294
58,0.2787756736376716,0.3786272063450838,0.00696011446416378,9.806078504464906e-07,0.784183319658041
59,0.275838279658661,0.3755968787208987,0.006853744387626648,9.753592427039282e-07,0.8301729839295149
60,0.27299159785539917,0.37264688678724556,0.0067472876980900764,9.680974490866575e-07,0.7887660767883062
61,0.2702340874822549,0.3697730165518015,0.006640431936830282,9.636936026054482e-07,0.781571451574564
62,0.26756386190025366,0.36697140681356927,0.006532879080623388,9.864915841154332e-07,0.7887039259076118
63,0.264978844511461,0.36423861557831594,0.006424406543374062,9.89146422670067e-07,0.7365240454673767
