split,method,task_count,median_tmax_scipy256,mean_tmax_scipy256,minimum_tmax_scipy256,maximum_tmax_scipy256,median_relative_gap,p90_relative_gap,worst_relative_gap,win_count,win_rate
test_id,SENS_UNET_BEST4_R25,32,0.1570320351720648,0.16022851348358066,0.1286830173318146,0.1900513363368003,-0.041391788095330895,-0.01430532136007545,-0.00021285056760589338,32,1.0
test_id,FIELD_UNET_BEST4_R25,32,0.15488696070687605,0.15744213903474724,0.1271397046384851,0.18649338854074,-0.05529142201784992,-0.018962118338485823,-0.013990532794091015,32,1.0
test_id,SENS_UNET_BEST4,32,0.1568292006456679,0.1605019516629176,0.1290015599689812,0.1909312391817764,-0.0393145664398587,-0.010041937867609992,-0.0023389341197024294,32,1.0
test_id,SENS_UNET_BEST4_R50,32,0.15689693806263605,0.1602757624260755,0.1285889433233389,0.1914780122516396,-0.041955029028038715,-0.014700366362095952,-0.002248449033179001,32,1.0
test_id,STRONGER_ADAM_OR_MMA_600,32,0.16331165981786222,0.1681310610989456,0.1341161992366326,0.2107677147731613,0.0,0.0,0.0,0,0.0
test_ood,SENS_UNET_BEST4_R25,16,0.1730798103916691,0.17552210474550967,0.1271732675527741,0.2056073787432332,0.011813766913074675,0.05001775542809295,0.07400492489058674,7,0.4375
test_ood,FIELD_UNET_BEST4_R25,16,0.16858222040742554,0.16518509938811576,0.1196882191651135,0.1952651238765432,-0.054950374816361114,-0.02488875708474092,-0.01384178109039158,16,1.0
test_ood,SENS_UNET_BEST4,16,0.1762791758301202,0.1799848615368571,0.1323818050607079,0.2147480406555746,0.03769351203282567,0.08528296526859791,0.10352222970268099,5,0.3125
test_ood,SENS_UNET_BEST4_R50,16,0.1737805220987375,0.1742000765810195,0.1256256913434311,0.2040444491848359,0.003396172246382001,0.03455291774240232,0.06162007339623288,7,0.4375
test_ood,STRONGER_ADAM_OR_MMA_600,16,0.18361030620432076,0.1762646914019682,0.1215148088461977,0.2192498158801408,0.0,0.0,0.0,0,0.0
