role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,1,290,9.533635103381469e-07,True,CONVERGED,float64,cuda:0
forward,2,292,9.75398849716033e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,8.665709603225573e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.903698027558353e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.582283214444908e-07,True,CONVERGED,float64,cuda:0
forward,0,291,9.682031036199231e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.803971212820787e-07,True,CONVERGED,float64,cuda:0
forward,2,292,9.994043801459096e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,8.742411159287386e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.683070798024249e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.780035579561633e-07,True,CONVERGED,float64,cuda:0
forward,0,291,9.192716994046449e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.868073509415603e-07,True,CONVERGED,float64,cuda:0
forward,2,293,9.179602499548061e-07,True,CONVERGED,float64,cuda:0
adjoint,0,289,9.75875432831358e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.360944521618697e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.894340591264682e-07,True,CONVERGED,float64,cuda:0
forward,0,291,8.768947502137993e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.715177201535966e-07,True,CONVERGED,float64,cuda:0
forward,2,292,9.85685498008092e-07,True,CONVERGED,float64,cuda:0
adjoint,0,288,9.78073851808814e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.080287647109094e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.970701293231879e-07,True,CONVERGED,float64,cuda:0
forward,0,290,9.871163591216405e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.469602093311283e-07,True,CONVERGED,float64,cuda:0
forward,2,292,9.510479240703491e-07,True,CONVERGED,float64,cuda:0
adjoint,0,288,9.001695614676017e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.975161810518824e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.05481098579234e-07,True,CONVERGED,float64,cuda:0
