iteration,total_objective,exact_peak,gradient_norm_before_clipping,maximum_relative_residual,wall_seconds
0,0.4996445139272274,0.5990696627702488,0.014162762090563774,9.902919330436753e-07,0.842110451310873
1,0.49001634100930996,0.5881652905028059,0.01451408863067627,9.75470490930551e-07,0.8437706213444471
2,0.47999725108224744,0.5765920709056821,0.014677357859909534,9.919050030930345e-07,0.8323102742433548
3,0.46969333195865753,0.5644347847996232,0.014689229428768158,9.76540399075962e-07,0.8432200402021408
4,0.45920162070864307,0.5518173336758849,0.014611346647143364,9.79567249642744e-07,0.80687565356493
5,0.44860429891027337,0.5388622871411278,0.014514068141579628,9.90276220714818e-07,0.8206364959478378
6,0.4379625456036332,0.5294011708822552,0.01445897575467825,9.67130066759163e-07,0.8158301636576653
7,0.4273145113364523,0.5208283452861292,0.014478618279099464,9.93797691738169e-07,0.8156727403402328
8,0.41668464628792856,0.5117864236302784,0.014570392668247223,9.822865733600381e-07,0.8165709376335144
9,0.4060915344716657,0.5023782157401206,0.014706998132169247,9.928307873581285e-07,0.8415476214140654
10,0.3955530133425892,0.4928310073159998,0.014850976876914501,9.98693158179624e-07,0.8348616808652878
11,0.3850887677201685,0.4830306092991599,0.014966086484491825,9.955603690140618e-07,0.821847215294838
12,0.3747234118617192,0.4730431355410302,0.015023431740701199,9.872219540308803e-07,0.8267572689801455
13,0.3644866012906861,0.4629322208556124,0.015003152191638947,9.803753815777494e-07,0.8204382006078959
14,0.35441329503511826,0.4527599433123663,0.014893822371959686,9.977025217698373e-07,0.8178458269685507
15,0.3445422675995098,0.4425864785739193,0.0146911246702075,9.846571089535794e-07,0.8336350284516811
16,0.3349145843013416,0.4324700237959033,0.01439664326608181,9.432869433891021e-07,0.8488529473543167
17,0.32557110313405,0.42246593313023834,0.014017116278409958,9.981359283455159e-07,0.8973327800631523
18,0.31655093233878256,0.4126269333506381,0.013563869521021843,9.728606616435508e-07,0.8647053446620703
19,0.3078886058773453,0.4031561557818153,0.013052305206656456,9.89324395218134e-07,0.8820557724684477
20,0.2996123065253335,0.3939711029042808,0.012501008808612823,9.816156892412565e-07,0.8604597244411707
21,0.29174224108592806,0.3850834624205938,0.01193041168153286,9.95621059554435e-07,0.9006372671574354
22,0.2842892162072837,0.3765273930194533,0.01136086881160736,9.976253134453841e-07,0.8624749779701233
23,0.2772546818372803,0.3683313640708664,0.01081053540110588,9.85476085959064e-07,0.8506164960563183
24,0.2706310212594887,0.36051720022331046,0.010293436236679554,9.577918116424656e-07,0.8355436995625496
25,0.26440323455075115,0.35309986249826575,0.00981830433011055,9.986614146712106e-07,0.8660959471017122
26,0.2585505783008928,0.3460869317289993,0.0093884551897645,9.728116325843605e-07,0.8881043717265129
27,0.2530489815066052,0.3399922829574754,0.009002618491649628,9.858967882121878e-07,0.8662460818886757
28,0.24787286709947495,0.3353493410842711,0.008656439371407032,9.991724406252432e-07,0.8732400201261044
29,0.2429963707494171,0.3308644824899712,0.008344121277332306,9.768163850647692e-07,0.838387368246913
30,0.23839491532762314,0.32652322094695113,0.008059710264205933,9.90398517793412e-07,0.8558753337711096
31,0.23404539892582393,0.32231424803091,0.0077980863861739635,9.886591775047552e-07,0.8511899169534445
