learning_rate,model_seed,valid,median_best4_r25_gap,p90_best4_r25_gap
0.0001,2026092303,True,0.009742493913100218,0.04109979184628067
0.0001,2026092304,True,0.0010674435791191933,0.02938289015191631
0.0003,2026092303,True,0.019784999411422782,0.062087944318391604
0.0003,2026092304,True,0.012046072510556546,0.05343850796857005
