family,task_index,task_id,tmax_256,scenario_a_256,scenario_b_256,scenario_c_256,material_fraction,maximum_residual,wall_seconds
REFERENCE,0,8b3bfefc7f914f920a892edfb68771b9e81be78889f3dfc68dbfcc50b7d6a117,0.17010847588033307,0.16868660137021887,0.10687440876184191,0.17010847588033307,0.25,8.312848947632827e-12,1.0768759999773465
REFERENCE,1,85b8bba89f2470f302978c6c6db1ffc24f52fb4d224ca06284391ae31fb59a85,0.16644821434947762,0.16644821434947762,0.16637934611122904,0.16587896954079445,0.25,7.506164364915909e-12,1.073657999979332
REFERENCE,2,2e9132acd0f83a92366f8dcf5a18e0bd2918f2c1f4a93b91c721141429f2d1c0,0.150051915316541,0.14849740112842683,0.14993549374199291,0.150051915316541,0.25,7.623893015115215e-12,1.0853094000485726
REFERENCE,3,32ef2ab494b8629eb36881798fcdb2e85199a388b2e87060792f5a44ef9ac591,0.15081818460653454,0.15081818460653454,0.15013789710124054,0.15004960814167237,0.25,7.637283263935925e-12,1.1210663000238128
REFERENCE,4,0f050ab14547e6e284f6566d25e74c57ea62d046ded41ebaf4e801533115cc35,0.1702247210104285,0.16560704358327116,0.1674661664304298,0.1702247210104285,0.25,8.186950894269536e-12,1.0010463999933563
REFERENCE,5,f0f63c6a8bd3208f35b547bf28e88af7f3ecfffceb100ccc304505f42b3c32ff,0.12874959917793188,0.1286532660551323,0.12845871783127916,0.12874959917793188,0.25,5.7757272569469856e-12,1.0325615999754518
REFERENCE,6,ca65d9ce246df633c8807cb3d4d344809e2a59719834f085852b2881fc57062d,0.12822545632964463,0.1256737006823567,0.12822545632964463,0.12524649237134572,0.25,6.401822378516668e-12,1.0197597999940626
REFERENCE,7,050dd427b5bf0bf9dcef75ec4864547280b28aa793a5611a5ab2956002d9fff8,0.1552205828280694,0.1552205828280694,0.154899831597303,0.15232133488746386,0.25,7.584839044566674e-12,1.042634800018277
REFERENCE,8,46ed40b69c025bd39164d640cf34e9724ae4682637bca1284cb4b7957e942984,0.17554302996729407,0.17549781930412764,0.11942894512250443,0.17554302996729407,0.25,8.476475471246685e-12,1.0304801000165753
REFERENCE,9,569242322c9b5b2eee171be6732698fe9a21a5f2c1d9b84af8c8d8d97c8baa45,0.1336646591583031,0.13257466509443366,0.1336646591583031,0.13343163783890402,0.25,6.6841798601507265e-12,1.0404916999978013
REFERENCE,10,d11fc9871c9f86468d4481918ceac9d3a8e08383a0e8e44d8ae90a668774d241,0.18779594704156088,0.18779594704156088,0.14868615707676047,0.18553748799735664,0.25,8.639817530272657e-12,1.0568882999941707
REFERENCE,11,63011dbf6f9e9901fb8178b0af3d4847297f44cd71ef646910bea41baffc802e,0.1805665748703055,0.1805665748703055,0.17998106954755638,0.17921431442172236,0.25,8.971639570093581e-12,1.041535299969837
REFERENCE,12,231ccab8ef938da783182ba3c69514454c399cdc8f359442fd2ebcc6a4cf6967,0.1416958540473751,0.1416958540473751,0.14118049194442184,0.13928724747219276,0.25,6.352029295310162e-12,1.0306484999600798
REFERENCE,13,66bc814a14e3750de55feaa939f6c3b0803be6f11f3c8469ea8fcd5604bf4f76,0.10652862698390686,0.10563803379713724,0.10524227985816438,0.10652862698390686,0.25,4.86861464611961e-12,1.0376427000155672
REFERENCE,14,4dc3e3682dd538e657a5e36d181f5886be516d4ca9f0765666d2fe443069ba07,0.1587639548049939,0.15771686016325753,0.15790634501109338,0.1587639548049939,0.25,7.715989138241665e-12,1.0276963000069372
REFERENCE,15,3dc71a8026cf176a7c2304ab6ef2b151580f3d0ea66c3fc8a469e7f1f9f6a6ee,0.17538734297058545,0.17538734297058545,0.1373196773668741,0.17461415871817573,0.25,8.213638555164525e-12,1.0155436999630183
REFERENCE,16,2af2b400deeac908e49ee1451a4f8af6a1d2ec2e8958918eb34e36b663e6d4ad,0.16289573576456745,0.1609843716208371,0.10995845316593285,0.16289573576456745,0.25,8.050803982865939e-12,1.0459687000256963
REFERENCE,17,75f39e4eebb06b6785de01fb2a31fc571a2ec3456d92dbf09fce5f79d455196c,0.1844516346100665,0.1844516346100665,0.18409288801426643,0.1835635578700912,0.25,9.02597484065777e-12,1.0779036000021733
REFERENCE,18,f4ece7d737b76e01c5014072c3532767f34501ca99a6451cbad28a872cabfc78,0.15396494935815658,0.15396494935815658,0.10576093333932542,0.15345121593151897,0.25,7.490945315008463e-12,1.0179873000015505
REFERENCE,19,dcdae30491623e954cd149a0efb86d707466306eb0a513eed3def915f8e71443,0.15725532264461844,0.15655435878495477,0.15725532264461844,0.15651428981467688,0.25,7.96490838345454e-12,1.0299634999828413
REFERENCE,20,77059e75195a0b81facf226b4e071ddb158fb843893ade2f83035a3635d7e2e0,0.15134101863323554,0.1492848606154266,0.11959249187089713,0.15134101863323554,0.25,7.1956007727656085e-12,1.013467299984768
REFERENCE,21,4ab9eb5c9f7a0f55b84b696c757a64089ad3f4128876a5e93d434852691dc911,0.156900854626161,0.156900854626161,0.15657335691842425,0.15597110728057398,0.25,7.256222772110491e-12,1.0374022999894805
REFERENCE,22,91e6d9f16b8b0ca0071bdcf76165e97eb5b777a70d82236d7b3481c0a6afee9a,0.16575104704460406,0.1652451319636939,0.16565149211208904,0.16575104704460406,0.25,7.272014319151057e-12,1.0338834000285715
REFERENCE,23,e13cf57ce6e1026b692ce99a3c4ca73d63e0bb61c00a4b755f479383238ea02a,0.14879691572451334,0.14879691572451334,0.12239079623266508,0.14784790641196055,0.25,7.391035420751396e-12,1.03283250000095
REFERENCE,24,5213fa694c90a9c22dc5fc9ff63cd6bc34702c4c53d5e66f028d306cf3f040d7,0.16881980189452184,0.16815089400027633,0.12503910456796843,0.16881980189452184,0.25,7.635064958447619e-12,1.0582858999841847
REFERENCE,25,5a97ee0cb94f0d9665b61d0e4e5538a05a1a6f69bd05b640b24c872cd449dc6a,0.14986549734996682,0.14986549734996682,0.1041748803123127,0.1474286201548615,0.25,6.9206840844927735e-12,0.9559288999880664
REFERENCE,26,55c52cc6b6fe9d5239a60902fc27862dbc7e930495b2d2938360aea62cf7fc8f,0.17815809291304333,0.17698876673722408,0.17769316425861204,0.17815809291304333,0.25,8.471706412794937e-12,1.019275699974969
REFERENCE,27,e65d6934aa137d0dc64d654f7586d1783bbd91fc1ab8bc25643c2d4071b60777,0.16238201965346596,0.16194976992928184,0.16238201965346596,0.16175506888253824,0.25,7.743377200327843e-12,1.0006760000251234
REFERENCE,28,0d00c9213318579b16d3289130e95b3c21287a73649de59dd40930755ce004e6,0.16055587283933198,0.16039405483639183,0.16011292349367365,0.16055587283933198,0.25,7.753238279730588e-12,0.9822907000198029
REFERENCE,29,f7e09d487ac9f9ba0c2caaed01edbb118d218894c0760c8542d17d2889e14bfe,0.18178750742913294,0.18178750742913294,0.1805486200794714,0.17958359675314806,0.25,8.94392976234667e-12,1.0317652000230737
REFERENCE,30,f0c0ff05e0da1d036f4e8ddc31979a99ddfd15b9ea96efb7f9adfc0428225071,0.1411878452902493,0.13861843662729642,0.1411878452902493,0.14004638036126058,0.25,7.091552372175887e-12,1.0079622999764979
REFERENCE,31,62ec0fa57d6e1d7c024679957b0c74ecae2d8520d9e5d7729e572a8ceaa8b1ca,0.18053549245655962,0.17829842580504496,0.18053549245655962,0.18014534824177578,0.25,8.435645469110343e-12,0.9828675999888219
