role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,1,283,9.798199190859203e-07,True,CONVERGED,float64,cuda:0
forward,2,274,9.402347384442158e-07,True,CONVERGED,float64,cuda:0
adjoint,0,276,9.572316913227037e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.261423271404275e-07,True,CONVERGED,float64,cuda:0
adjoint,2,287,9.861762482045265e-07,True,CONVERGED,float64,cuda:0
forward,0,272,9.943009430179638e-07,True,CONVERGED,float64,cuda:0
forward,1,281,9.209262268646759e-07,True,CONVERGED,float64,cuda:0
forward,2,271,9.881190356119644e-07,True,CONVERGED,float64,cuda:0
adjoint,0,276,8.683744721954154e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.872472932117703e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,8.909080899583368e-07,True,CONVERGED,float64,cuda:0
forward,0,273,8.996702159939774e-07,True,CONVERGED,float64,cuda:0
forward,1,278,9.795100938354968e-07,True,CONVERGED,float64,cuda:0
forward,2,270,9.745640070156e-07,True,CONVERGED,float64,cuda:0
adjoint,0,275,9.448956944136096e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.700034368437513e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,8.813216386135358e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.058622762931136e-07,True,CONVERGED,float64,cuda:0
forward,1,277,9.921984514204458e-07,True,CONVERGED,float64,cuda:0
forward,2,270,9.673105549985633e-07,True,CONVERGED,float64,cuda:0
adjoint,0,276,8.961472404435834e-07,True,CONVERGED,float64,cuda:0
adjoint,1,287,9.265063898968993e-07,True,CONVERGED,float64,cuda:0
adjoint,2,285,9.927476293535945e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.119981084007167e-07,True,CONVERGED,float64,cuda:0
forward,1,278,9.887631563266465e-07,True,CONVERGED,float64,cuda:0
forward,2,267,9.546348757651114e-07,True,CONVERGED,float64,cuda:0
adjoint,0,274,9.524921673112277e-07,True,CONVERGED,float64,cuda:0
adjoint,1,288,9.847327922872892e-07,True,CONVERGED,float64,cuda:0
adjoint,2,286,9.68482745057208e-07,True,CONVERGED,float64,cuda:0
forward,0,273,8.958345960578189e-07,True,CONVERGED,float64,cuda:0
forward,1,277,9.073527238079744e-07,True,CONVERGED,float64,cuda:0
forward,2,270,9.193714135252866e-07,True,CONVERGED,float64,cuda:0
adjoint,0,269,9.663577881069055e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.266720196703841e-07,True,CONVERGED,float64,cuda:0
adjoint,2,287,9.683919766294175e-07,True,CONVERGED,float64,cuda:0
forward,0,272,9.127773639383938e-07,True,CONVERGED,float64,cuda:0
forward,1,275,9.92553526694669e-07,True,CONVERGED,float64,cuda:0
forward,2,270,9.538617672991631e-07,True,CONVERGED,float64,cuda:0
adjoint,0,269,9.985225384648278e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.401072678295088e-07,True,CONVERGED,float64,cuda:0
adjoint,2,286,9.993086255845588e-07,True,CONVERGED,float64,cuda:0
forward,0,270,9.982152990574353e-07,True,CONVERGED,float64,cuda:0
forward,1,275,9.006040190577332e-07,True,CONVERGED,float64,cuda:0
forward,2,270,9.326355924729056e-07,True,CONVERGED,float64,cuda:0
adjoint,0,270,9.666604063346936e-07,True,CONVERGED,float64,cuda:0
adjoint,1,288,9.903434846929967e-07,True,CONVERGED,float64,cuda:0
adjoint,2,286,9.816596287201319e-07,True,CONVERGED,float64,cuda:0
forward,0,266,9.583046085409402e-07,True,CONVERGED,float64,cuda:0
forward,1,275,9.480369001424981e-07,True,CONVERGED,float64,cuda:0
