iteration,beta,alpha,binarization_weight,total_objective,exact_peak,continuous_material_fraction,binary_material_fraction,gradient_norm_before_clipping,maximum_cg_iterations,maximum_residual,wall_seconds
0,1.0,50.0,0.0,0.5699873988078183,0.6525135894953752,0.25,0.0,0.010380465537309647,306,9.883837137228846e-07,2.4450914000044577
1,1.0,50.0,0.0,0.5625299592349379,0.6455054550743883,0.2499999701976776,0.0,0.010607961565256119,305,9.910782239838504e-07,2.427487900000415
2,1.0,50.0,0.0,0.5548946715009216,0.638579079828965,0.2499999701976776,0.0,0.010785001330077648,305,9.851227842549704e-07,2.445297699989169
3,1.0,50.0,0.0,0.5471239959467313,0.6314808107218771,0.24999995529651642,0.0,0.010909943841397762,305,9.856867301154782e-07,2.4271157999901334
4,1.0,50.0,0.0,0.5392628674840922,0.6242490532860442,0.25,0.0,0.010983151383697987,304,9.923244450213154e-07,2.4230899999965914
5,1.0,50.0,0.0,0.5313555399582596,0.6169268959220597,0.2499999850988388,0.0,0.011006553657352924,304,9.98617868585834e-07,2.405475999999908
6,1.0,50.0,0.0,0.523445995883519,0.6095476181487294,0.2499999701976776,0.0,0.01098260935395956,304,9.74942715673903e-07,2.4006113999930676
7,1.0,50.0,0.0,0.5155767195075754,0.6021448188089723,0.2499999701976776,0.0,0.010914826765656471,305,9.824133718489875e-07,2.3954945000004955
8,1.0,50.0,0.0,0.5077876103920771,0.5947588510853571,0.25,0.0,0.010807543061673641,305,9.927621602432363e-07,2.40311909999582
9,1.0,50.0,0.0,0.5001154819516802,0.5875791645391324,0.2499999850988388,0.0,0.010665412992238998,305,9.551770657729477e-07,2.397406999996747
10,1.0,50.0,0.0,0.49259395919054955,0.58048276149673,0.25,0.0,0.010493224486708641,305,9.837268612427433e-07,2.4112746000027983
11,1.0,50.0,0.0,0.48525352075541106,0.5735089017635937,0.2500000298023224,0.0,0.010295969434082508,305,9.814745104683867e-07,2.418058800001745
12,1.0,50.0,0.0,0.47812058079261843,0.5666902780537405,0.2499999850988388,0.0,0.010078774765133858,305,9.826837698196069e-07,2.399553900002502
13,1.0,50.0,0.0,0.4712164172443603,0.5600503035823835,0.2499999701976776,0.0,0.009846658445894718,305,9.923216453304374e-07,2.4172544999892125
14,1.0,50.0,0.0,0.46455739074074537,0.5536038718872238,0.25,0.0,0.00960426777601242,305,9.799731985344034e-07,2.406299800000852
15,1.0,50.0,0.0,0.4581547883987133,0.5473587691095333,0.2499999701976776,0.0,0.00935570988804102,305,9.59502324376667e-07,2.4335124000062933
16,1.0,50.0,0.0,0.4520146059076414,0.54131705059457,0.25,0.0,0.009104502387344837,305,9.774037754475199e-07,2.3756623000081163
